time,actual-u1,actual-u2,S1-noise-u1,S1-noise-u2,S1-gp-u1,S1-gp-u2,S1-proj-u1,S1-proj-u2,S2-noise-u1,S2-noise-u2,S2-gp-u1,S2-gp-u2,S2-proj-u1,S2-proj-u2,S3-noise-u1,S3-noise-u2,S3-gp-u1,S3-gp-u2,S3-proj-u1,S3-proj-u2,S4-noise-u1,S4-noise-u2,S4-gp-u1,S4-gp-u2,S4-proj-u1,S4-proj-u2,S5-noise-u1,S5-noise-u2,S5-gp-u1,S5-gp-u2,S5-proj-u1,S5-proj-u2,S6-noise-u1,S6-noise-u2,S6-gp-u1,S6-gp-u2,S6-proj-u1,S6-proj-u2,S7-noise-u1,S7-noise-u2,S7-gp-u1,S7-gp-u2,S7-proj-u1,S7-proj-u2,S8-noise-u1,S8-noise-u2,S8-gp-u1,S8-gp-u2,S8-proj-u1,S8-proj-u2,S9-noise-u1,S9-noise-u2,S9-gp-u1,S9-gp-u2,S9-proj-u1,S9-proj-u2,S10-noise-u1,S10-noise-u2,S10-gp-u1,S10-gp-u2,S10-proj-u1,S10-proj-u2,S11-noise-u1,S11-noise-u2,S11-gp-u1,S11-gp-u2,S11-proj-u1,S11-proj-u2,S12-noise-u1,S12-noise-u2,S12-gp-u1,S12-gp-u2,S12-proj-u1,S12-proj-u2,S13-noise-u1,S13-noise-u2,S13-gp-u1,S13-gp-u2,S13-proj-u1,S13-proj-u2,S14-noise-u1,S14-noise-u2,S14-gp-u1,S14-gp-u2,S14-proj-u1,S14-proj-u2,S15-noise-u1,S15-noise-u2,S15-gp-u1,S15-gp-u2,S15-proj-u1,S15-proj-u2,S16-noise-u1,S16-noise-u2,S16-gp-u1,S16-gp-u2,S16-proj-u1,S16-proj-u2,S17-noise-u1,S17-noise-u2,S17-gp-u1,S17-gp-u2,S17-proj-u1,S17-proj-u2,S18-noise-u1,S18-noise-u2,S18-gp-u1,S18-gp-u2,S18-proj-u1,S18-proj-u2,S19-noise-u1,S19-noise-u2,S19-gp-u1,S19-gp-u2,S19-proj-u1,S19-proj-u2,S20-noise-u1,S20-noise-u2,S20-gp-u1,S20-gp-u2,S20-proj-u1,S20-proj-u2,S21-noise-u1,S21-noise-u2,S21-gp-u1,S21-gp-u2,S21-proj-u1,S21-proj-u2,S22-noise-u1,S22-noise-u2,S22-gp-u1,S22-gp-u2,S22-proj-u1,S22-proj-u2,S23-noise-u1,S23-noise-u2,S23-gp-u1,S23-gp-u2,S23-proj-u1,S23-proj-u2,S24-noise-u1,S24-noise-u2,S24-gp-u1,S24-gp-u2,S24-proj-u1,S24-proj-u2,S25-noise-u1,S25-noise-u2,S25-gp-u1,S25-gp-u2,S25-proj-u1,S25-proj-u2,S26-noise-u1,S26-noise-u2,S26-gp-u1,S26-gp-u2,S26-proj-u1,S26-proj-u2,S27-noise-u1,S27-noise-u2,S27-gp-u1,S27-gp-u2,S27-proj-u1,S27-proj-u2,S28-noise-u1,S28-noise-u2,S28-gp-u1,S28-gp-u2,S28-proj-u1,S28-proj-u2,S29-noise-u1,S29-noise-u2,S29-gp-u1,S29-gp-u2,S29-proj-u1,S29-proj-u2,S30-noise-u1,S30-noise-u2,S30-gp-u1,S30-gp-u2,S30-proj-u1,S30-proj-u2
0,0,1,0.162582812,0.768223708,0.332697947,1.03766864,-0.299305031,0.837291446,-2.007762857,1.337505658,-0.008470165,1.006070838,-0.686048081,1.347538283,-0.890699576,1.423284733,0.247251052,0.709160453,0.270470258,0.833983583,-0.473478066,2.411617542,0.119005855,1.125855022,0.329819041,1.144258293,-0.654005459,2.223359145,-0.081968516,1.002245462,-0.217963177,0.804856078,1.252617882,1.4962075,0.170872801,0.881807095,0.210810462,0.760249208,0.146684295,-1.897794645,-0.069440826,0.816994003,-0.255456505,0.540914364,1.160548286,0.854207342,0.015927369,1.154222463,0.119989422,0.873273143,0.772807901,1.08063502,0.240317191,0.92803928,-0.014824661,0.78620661,0.02397711,-0.114753528,-0.168036153,1.247545725,-0.329854626,1.163754679,1.669852345,0.647581432,-0.061864603,1.001869507,-0.117584191,1.09607316,1.194615484,0.755614319,0.179485073,0.980907275,0.199107997,1.010825409,-0.016306905,1.824242952,-0.221205432,0.726209127,-0.400959876,0.712133741,-0.647064214,0.690948697,0.241416669,1.067272405,0.355393653,1.146602926,-0.677654,0.929563416,0.253047938,0.881200253,0.239181026,0.8946415,0.373377236,-0.619641588,0.288570269,1.213692352,0.098641011,1.146651185,0.096161647,0.613754532,0.193694755,1.148395001,0.017379539,1.033911261,2.537376584,1.357580692,0.462077942,1.243486194,0.250968962,1.263851267,0.367312631,0.348255626,0.039753477,0.928568661,-0.291975715,0.597425819,-0.787738832,0.197823134,0.360483504,1.043823094,0.524061805,1.170761827,-1.198955099,1.52925328,-0.00845184,1.067383149,-0.050590927,1.029934583,1.087657494,1.204871417,0.313828024,0.960657508,0.441157244,0.887773175,-1.380668634,0.424772207,-0.024867537,1.167837441,-0.134763282,1.011335401,-1.289579825,2.22957383,0.183883621,1.022407869,-0.820829944,1.689603462,0.15389122,-0.088322764,0.280370734,1.232545968,0.126442638,1.179962046,-0.144560312,3.043761179,0.158312954,1.291353208,0.584411126,1.973330447,-0.417163418,0.820512164,-0.053893755,1.114421445,-0.122950981,1.126564135,-1.048838378,0.552420709,0.00430929,1.142364634,-0.050548351,1.106093895,0.891108954,1.535955728,0.139576076,1.107014221,0.216254613,1.721079572,-1.147103896,-0.167922609,0.063788022,1.147032919,0.12875349,1.139300938
0.01001001,0.009999963,0.997989992,-1.37275115,1.70025772,0.338480728,1.03316258,-0.262500566,0.847897414,0.448730272,1.13519183,0.000398417,1.000683686,-0.640642092,1.323459965,1.539213929,0.951201826,0.253674688,0.715667843,0.272552161,0.831848111,0.945462832,1.862856567,0.128288733,1.119947288,0.322605488,1.147374928,-0.173572361,2.260254273,-0.071754965,1.001093695,-0.20626954,0.808156491,-1.814917681,3.025973714,0.17688922,0.878885194,0.211481933,0.76035231,-2.351350317,-0.300729777,-0.060359845,0.816284433,-0.243635508,0.54632095,1.882307384,3.057697535,0.022263687,1.15201064,0.12534611,0.880391684,0.76213224,0.19557782,0.248856354,0.927662974,-0.002521837,0.792706552,-0.467835078,0.411675467,-0.155605086,1.240854717,-0.311784951,1.152906648,-0.032954377,0.9579218,-0.054042028,0.99936538,-0.127753267,1.086102877,-0.777910286,1.598892253,0.188465834,0.975479039,0.194683971,1.002898212,-1.044659848,-0.778500775,-0.211756721,0.730021762,-0.392794546,0.714549075,0.395198041,-0.950619894,0.247073559,1.062921694,0.348343494,1.122632805,-0.356297931,-0.982137181,0.259197568,0.885459507,0.247510399,0.892522697,0.834623534,2.028077137,0.295020191,1.20795362,0.110401963,1.140907528,0.17833857,0.492688459,0.201452712,1.143554359,0.039057188,1.036541219,1.007596407,2.613467007,0.466836018,1.239439266,0.268655729,1.247635414,-1.00081251,-1.168300972,0.049084655,0.924115223,-0.268412501,0.605864957,0.885459373,3.910549086,0.364435445,1.040765928,0.505000382,1.14297701,-0.691425979,0.447224035,0.000227681,1.066725638,-0.04339721,1.028660858,1.133996037,1.140317022,0.318934205,0.959659378,0.44307054,0.886965945,0.221257343,1.721083366,-0.013404703,1.162376101,-0.124380712,1.016223626,-3.091063415,2.263726097,0.191674291,1.015989665,-0.482377386,1.478192714,0.01262473,2.685272181,0.286006181,1.226472181,0.127912258,1.171911455,0.247814632,1.179648848,0.165163739,1.285436661,0.335535041,2.055294114,1.086540684,2.446414563,-0.045228667,1.109338732,-0.107271941,1.115980712,0.357523447,0.584754167,0.011275616,1.137238307,-0.038975028,1.105128731,0.090762133,2.121354525,0.146537904,1.100927237,0.174147924,1.615351738,-0.536739833,1.646292159,0.072976722,1.141169169,0.126748947,1.128247092
0.02002002,0.019979726,0.995963988,-0.948669473,0.731594525,0.344248481,1.028607628,-0.225180911,0.858636168,-0.227526729,1.860408484,0.009273449,0.995261093,-0.594925463,1.297074711,0.352626379,-0.5297019,0.26009618,0.722076956,0.274779199,0.82451593,-0.599852005,0.323740794,0.137584655,1.113996066,0.315571035,1.150024263,0.721876792,1.321175198,-0.061524609,0.999881038,-0.194640463,0.811543996,0.111399553,0.383256456,0.182903453,0.875910943,0.212183945,0.760450753,1.523122375,-0.895978125,-0.051272943,0.815509539,-0.231701099,0.551984242,0.904990091,0.702161197,0.028686484,1.149724448,0.130581662,0.887431566,0.833610917,1.34822227,0.257383065,0.92721663,0.009812464,0.798982521,-1.554194488,0.87261588,-0.143162489,1.234113196,-0.294223516,1.142997549,-1.284971021,1.293985244,-0.046216604,0.996764052,-0.136898562,1.07591368,0.425554717,1.260646164,0.197443701,0.970009845,0.191032389,0.995347147,0.374033535,0.598938131,-0.202297046,0.733745412,-0.384387336,0.716773147,1.192128583,0.770186291,0.252736421,1.058518286,0.3424088,1.100631581,0.116615975,-0.517759258,0.26534835,0.88958225,0.255508251,0.890731828,0.774151823,0.049425352,0.301483815,1.202157642,0.122571501,1.135983047,2.025031231,0.982121373,0.209233215,1.138651134,0.060499655,1.038932043,2.008943984,0.988473712,0.471583316,1.235332286,0.285683749,1.23260489,0.186387035,0.893878998,0.058438163,0.919624004,-0.244732795,0.614454154,2.247521782,1.39356393,0.368414418,1.037650216,0.489422543,1.118356761,0.603756758,0.590376961,0.008907961,1.065946898,-0.03635229,1.027336987,0.596459653,1.506895343,0.324084223,0.95857739,0.444999234,0.88614489,1.313421333,1.380899998,-0.001927733,1.156854343,-0.114490533,1.020848089,0.390955738,2.762977077,0.199457034,1.009533539,-0.30601271,1.35350426,-0.054174555,0.306172408,0.2916351,1.220328823,0.129691251,1.164046727,-0.080685021,1.663130847,0.172028143,1.279473695,0.277742374,1.951710337,-1.185086831,0.990891641,-0.036540211,1.104213804,-0.092503799,1.105960999,0.830499248,0.862831531,0.018264029,1.13206557,-0.027360852,1.103342228,0.851090582,2.267228816,0.153500739,1.094797295,0.146035959,1.522429229,-1.307189825,2.65727345,0.082170806,1.135259698,0.125347652,1.117654025
0.03003003,0.029939129,0.993921974,0.193061493,-0.883612801,0.350000708,1.024003971,-0.187388078,0.869496495,-2.762452164,0.578034523,0.018154161,0.989803299,-0.549112657,1.268940051,0.214134216,0.796762775,0.266514962,0.728384645,0.277069066,0.830224916,0.210929168,2.273521471,0.146892484,1.108001628,0.308768392,1.152166903,0.809376892,2.068513986,-0.051278692,0.998607373,-0.183075453,0.815011826,-0.131455086,-0.083116299,0.188915015,0.872884344,0.212917845,0.760543912,0.126020601,1.377284964,-0.042180896,0.814669134,-0.219656759,0.557908427,-1.684822656,1.268027956,0.035195151,1.147363829,0.13570042,0.894389211,-2.559120662,2.558129588,0.26589651,0.926699947,0.022170176,0.805022065,-0.32658433,2.278160125,-0.130709909,1.227321525,-0.277148188,1.13391422,-0.573651552,0.231989839,-0.038388997,0.994065938,-0.14493466,1.064753666,0.772501746,0.674189614,0.206417828,0.964499924,0.188097261,0.988140393,-0.911988447,1.485308625,-0.192827307,0.737378677,-0.375740589,0.718808123,1.058164338,1.960745314,0.258404765,1.054062345,0.337439871,1.080353875,1.679257811,0.403490216,0.271499768,0.893566814,0.263210304,0.889233511,0.21899879,1.906976542,0.307960553,1.196304716,0.135158835,1.131835724,-0.227606101,1.977175852,0.217035287,1.133685516,0.081668666,1.041081262,-0.288624378,0.599105774,0.476319474,1.231165389,0.302084092,1.218630314,-0.537489766,-0.03088792,0.067812927,0.915095196,-0.220923171,0.623172433,0.609652632,2.532821962,0.372420121,1.03447597,0.47668279,1.096348305,0.658174949,3.156767538,0.017588274,1.065046446,-0.029448027,1.025961525,-1.437108112,0.792277757,0.329277665,0.957411277,0.446943806,0.885309517,-1.169454037,-0.148154014,0.00956141,1.151272486,-0.108432462,1.025378848,0.475368718,1.275513718,0.207231138,1.003039808,-0.192598046,1.267820158,1.186153254,1.824482016,0.29725705,1.214116269,0.131798089,1.156366058,0.303976763,2.254958611,0.178905475,1.273464572,0.267927837,1.826917665,-0.3958043,0.114362003,-0.027829287,1.099046888,-0.078539994,1.09644386,-0.540953962,1.105448209,0.025273972,1.126846637,-0.015761064,1.100808544,0.285295002,0.734703101,0.16046395,1.088624665,0.127609473,1.4421194,0.284689504,2.475279488,0.091369417,1.129304769,0.124498417,1.107487999
0.04004004,0.03987801,0.991863872,0.273635693,1.22521651,0.355736909,1.019351802,-0.149189821,0.880450519,-1.186872518,2.308393425,0.027039777,0.984310551,-0.503445501,1.239616485,1.116062452,-0.003848559,0.272930467,0.734587774,0.279388612,0.825990677,-0.218141847,1.057318924,0.156211081,1.10196425,0.302247495,1.153769272,0.709083573,-2.588010714,-0.041018465,0.997272594,-0.171573973,0.818553412,0.830902133,0.915142658,0.194923417,0.869805403,0.213685206,0.760631035,-0.537518889,0.072281913,-0.033084481,0.813763042,-0.207506017,0.564097755,-0.643485113,2.173008174,0.041789046,1.144928735,0.140706855,0.901261205,-0.345038177,0.900395364,0.27439587,0.926112632,0.034543577,0.810813507,-0.844476494,1.870919421,-0.118248896,1.220480073,-0.260537061,1.125560511,-1.161315034,1.663555379,-0.030559875,0.991271476,-0.151868717,1.054650845,0.655562695,1.195496762,0.215387368,0.958949516,0.185829267,0.981248082,-0.309218818,2.452271695,-0.183348406,0.740920171,-0.366857067,0.720657039,-0.788724377,1.497049581,0.264078095,1.049554039,0.333313355,1.061594487,0.686635051,1.822213378,0.277651305,0.897411563,0.270647909,0.887996795,-0.776366941,1.620041492,0.314449809,1.190395148,0.148168207,1.128421291,-1.109469008,1.86960369,0.224857944,1.128657705,0.102528561,1.042985261,-0.158670284,0.145843375,0.481044132,1.226938713,0.317886648,1.205599704,0.524883565,1.261361079,0.077207868,0.910528993,-0.196977004,0.631996715,-1.145526208,0.817445502,0.376452244,1.03124321,0.46627948,1.076529243,0.550586329,0.778714705,0.026267891,1.064023822,-0.022676571,1.024533163,1.75112019,1.611450381,0.334514102,0.956160779,0.448904802,0.884459345,-0.356551593,0.148519741,0.021060749,1.145630858,-0.098931243,1.029839333,-0.265004746,0.445120206,0.21499589,0.996508793,-0.11139819,1.203709853,-0.085146573,0.527307109,0.302871591,1.207834903,0.134251164,1.148867337,-0.888198881,1.940252256,0.185795041,1.267409559,0.265550861,1.718981044,-0.645496916,2.577093776,-0.019096799,1.093838217,-0.065290103,1.087377115,1.533648339,0.795573715,0.032304884,1.121581727,-0.004224826,1.097603805,-1.541645803,1.604192499,0.167426905,1.082409619,0.115945231,1.372881641,0.284386454,1.981315253,0.100571692,1.12330465,0.124155432,1.097717875
0.05005005,0.049796209,0.989789552,1.225657028,-0.354216516,0.361456587,1.014651317,-0.110679928,0.891452805,0.486120766,-0.075648052,0.03592952,0.978783094,-0.458174592,1.209639524,0.359731051,0.722212132,0.279342123,0.740683224,0.281770308,0.828747819,0.143661435,2.714079915,0.165539297,1.095884213,0.296054401,1.154804448,0.757718437,-0.282833494,-0.030745181,0.995876597,-0.16013543,0.822162388,1.549634947,1.117126058,0.200928173,0.866674132,0.214487606,0.760711251,-0.755597543,0.953363966,-0.02398448,0.812791092,-0.195252489,0.570556404,-0.434095106,0.490310625,0.048467498,1.142419124,0.145605549,0.908044288,0.880573504,-0.856987723,0.28288033,0.925454402,0.04692529,0.816346063,0.988912573,2.259060893,-0.105781003,1.213589213,-0.244368522,1.117854159,-0.297701033,0.248413763,-0.022729906,0.988381126,-0.157661423,1.042912853,-0.009835861,1.237241386,0.22435147,0.95335886,0.184184926,0.974642213,1.118517773,0.276053802,-0.17386125,0.744368524,-0.357740029,0.722323734,0.357417916,0.139489259,0.269755916,1.044993543,0.329926664,1.044180464,-0.94898978,-1.274436511,0.283802439,0.901114892,0.277848749,0.886994415,-1.132340106,2.233490854,0.320950987,1.184429249,0.161598681,1.125692588,-0.743398115,0.8859853,0.23270019,1.123567904,0.123046508,1.044639573,-0.598081328,1.98589072,0.485756925,1.222652402,0.333119885,1.193415861,0.715161945,-1.604493876,0.086621896,0.905925595,-0.17289433,0.640901787,0.193197119,-1.578825998,0.380510471,1.02795196,0.457816665,1.058569264,0.837211107,0.481048958,0.034946084,1.062878594,-0.016030346,1.023050719,0.108472256,-0.027274865,0.339793088,0.954825652,0.450882654,0.883593837,-0.005410731,2.434797413,0.032568303,1.139929792,-0.089718018,1.034107651,-0.694599844,-0.709688575,0.222750579,0.989940816,-0.049282034,1.153077372,0.551893091,1.871012365,0.30847828,1.201485119,0.13706886,1.141548472,1.352141107,0.434007002,0.192696142,1.261308925,0.264961627,1.628021829,-0.540167002,1.129263181,-0.01034366,1.088588026,-0.052676775,1.07871589,0.208414741,1.579491166,0.039356201,1.116271064,0.007205134,1.093803963,0.288108488,0.448882456,0.174388968,1.076152433,0.109084214,1.312955667,0.735286248,1.921774693,0.109776771,1.117259612,0.124277707,1.088314919
0.06006006,0.059693562,0.987698822,0.373630759,2.05625094,0.367159244,1.009902718,-0.071977544,0.902440084,-0.501247458,0.59568244,0.04482261,0.97322118,-0.413541381,1.179496559,1.068852343,0.097400995,0.28574936,0.74666789,0.284207109,0.825211727,0.407721215,1.38602615,0.17487598,1.089761801,0.290230349,1.155252743,-0.277639097,1.015417868,-0.020460102,0.994419286,-0.148759156,0.825832601,-0.315854341,-0.119227127,0.206928791,0.863490549,0.215326657,0.760783634,-1.007229394,0.341979757,-0.014881676,0.811753122,-0.182899881,0.577288274,0.628995285,0.743323712,0.055229803,1.139834964,0.150401186,0.914735344,0.874561303,1.564444358,0.291349073,0.924724981,0.05930841,0.821609935,0.120914034,-0.265904709,-0.093307789,1.206649322,-0.22862141,1.110724278,-0.170747387,0.13426686,-0.014899762,0.985395364,-0.162217473,1.03155302,0.012930827,0.455735334,0.233309283,0.947728201,0.183125869,0.968296544,-1.704213388,0.605408669,-0.164366747,0.747722381,-0.348393207,0.723812947,0.551880476,1.959137575,0.275437727,1.040381037,0.327193749,1.02796497,-0.349308251,1.805325381,0.289952649,0.904675231,0.284837393,0.886202275,1.23565462,1.194665478,0.327463481,1.178407336,0.175443905,1.123598947,0.319861353,2.138218106,0.240561023,1.118416326,0.143192675,1.046039173,-1.665236082,1.112955972,0.490457491,1.218306606,0.347811003,1.181993884,0.367926881,1.34687659,0.096053919,0.901285202,-0.148681532,0.649860611,1.097491891,0.681687454,0.384594476,1.024602253,0.45097771,1.042204934,0.359942852,0.710191643,0.043622121,1.06161036,-0.009502036,1.021513123,-0.614973093,1.12722404,0.345114161,0.953405663,0.452877898,0.8827125,-1.192073664,0.784892683,0.044082084,1.134169631,-0.082091519,1.038254822,1.421362198,0.169156864,0.230494489,0.983336204,0.000440774,1.111561319,-1.133402923,0.021413402,0.314076675,1.195067318,0.140269203,1.134407075,1.746720842,1.611100626,0.199608075,1.255162945,0.265056202,1.550842267,0.514108168,0.014008846,-0.001570788,1.083296556,-0.040633355,1.070421334,-0.30124827,2.250460765,0.046427351,1.110914875,0.018492601,1.089483039,0.587234406,1.054229664,0.181349505,1.069853387,0.105700488,1.260747005,0.838391747,-1.426054532,0.118983786,1.11116993,0.124828528,1.079252619
0.07007007,0.069569904,0.985591439,0.331888631,1.497758615,0.372844381,1.005106209,-0.0332253,0.913331826,-0.750627312,1.816310116,0.053718267,0.967625062,-0.369763873,1.149609981,2.262540247,0.877603444,0.292151605,0.752538686,0.286700677,0.827951292,-0.782266422,2.18728316,0.184219971,1.083597303,0.284811031,1.155102,0.93652159,1.477633475,-0.010164492,0.992900571,-0.137444399,0.829558121,0.97895003,-0.902520269,0.212924782,0.860254674,0.216204221,0.760847226,-0.477647335,1.765921613,-0.005776853,0.810648978,-0.17045201,0.584296793,0.241712757,2.844911222,0.062075225,1.137176233,0.155098531,0.92133138,2.072853298,2.180673737,0.299801284,0.923924103,0.071686545,0.826596364,0.117289349,1.80375244,-0.080830816,1.199660785,-0.213275015,1.104109472,-0.056997883,0.582156628,-0.007070114,0.982314691,-0.165565347,1.020291721,-0.322002672,3.132973305,0.242259955,0.942057788,0.182618215,0.962186472,-0.64437528,0.502733705,-0.15486581,0.750980403,-0.338820629,0.725130165,0.511785624,2.907612672,0.281123027,1.035716703,0.325041868,1.012822497,-0.12740139,0.610828843,0.29610141,0.908091045,0.291635702,0.885598842,-0.911440384,0.802369227,0.333986683,1.172329732,0.189691836,1.122085634,0.446586925,1.177364325,0.248439428,1.113203189,0.162940365,1.047178754,0.557693294,0.965074841,0.495145468,1.213901481,0.361985993,1.17125958,-0.185046908,3.186716081,0.105502832,0.89660802,-0.124351079,0.658844359,1.890874751,0.032608549,0.388703927,1.021194123,0.445506617,1.027222608,0.190048697,0.63549498,0.052295272,1.060218744,-0.003084562,1.019919411,1.097743977,0.314148691,0.350476843,0.951900592,0.454891065,0.881814762,0.753211937,2.230406335,0.055600095,1.128350722,-0.071062874,1.042215635,-0.123844397,1.075121713,0.238226909,0.976695288,0.041586789,1.07656761,0.350810168,1.417875509,0.319666332,1.188581911,0.143869941,1.127440722,1.654395637,-0.230119689,0.206530131,1.248971898,0.26551881,1.484628294,-0.068868484,0.631187558,0.007220893,1.077964048,-0.029102007,1.062459595,-1.458512702,0.641386045,0.05351776,1.105513392,0.029607691,1.084711745,-0.785486837,1.580199371,0.188307876,1.063512765,0.104879949,1.214920168,-1.008245476,1.875127668,0.128191872,1.105035883,0.125774996,1.070506537
0.08008008,0.079425066,0.983467102,-0.538601472,0.646119854,0.378511502,1.000262002,0.005413871,0.92403186,-0.090952336,1.186191444,0.062615704,0.961994996,-0.327027224,1.120328435,0.764119166,-0.238635382,0.298548283,0.758292543,0.289277199,0.821801518,1.060045206,0.863904366,0.193570104,1.077391009,0.27982611,1.154347594,0.133504244,0.456651339,0.00014038,0.991320369,-0.126190309,0.833333243,0.390346264,-0.095218033,0.218915654,0.856966536,0.217122055,0.760901,0.147173261,0.908060633,0.003329203,0.809478515,-0.157912829,0.591584661,-0.701849935,0.684675886,0.069002999,1.134442915,0.159702426,0.927829502,-0.645851279,0.257504137,0.308236147,0.923051509,0.084053843,0.831297729,0.790551798,2.012760633,-0.068351648,1.192623986,-0.198309194,1.097956181,0.258184273,2.976501034,0.000758363,0.979139625,-0.167759223,1.009906428,-1.697231936,0.916118295,0.251202631,0.936347873,0.182632037,0.956288905,0.753850464,1.893804811,-0.145359352,0.754141266,-0.329026778,0.726281683,0.702367801,2.203234595,0.286811308,1.031000732,0.32340908,0.998645102,1.403475137,1.036610522,0.302248196,0.911360833,0.298263233,0.885164897,1.010653186,-0.539301546,0.340519978,1.166196766,0.204324475,1.121093344,-0.215147628,2.333100434,0.256334385,1.107928716,0.182266104,1.048052987,0.714017108,0.773772735,0.499820492,1.20943719,0.375669499,1.161147699,1.669249071,0.794456747,0.114967529,0.891894257,-0.099921288,0.667822699,1.569103484,1.042002332,0.392838482,1.017727613,0.441194419,1.013446547,-0.117776301,-0.566945714,0.060964804,1.0587034,0.003228921,1.01826872,-2.248989772,0.604578958,0.355880639,0.950310231,0.456922615,0.880900086,0.974531287,1.985479496,0.067120336,1.122473421,-0.061600216,1.04591586,0.060548348,0.781813165,0.245947122,0.970018401,0.076513173,1.046439698,-1.306470178,2.22080753,0.325246806,1.182029316,0.147888092,1.120646645,1.663604548,2.601477266,0.213461597,1.242736064,0.266228024,1.427208543,-1.569202856,2.523982167,0.016030452,1.072590749,-0.018032229,1.054801004,0.371304733,1.287148406,0.060626847,1.10006685,0.04052651,1.079556486,-0.058099662,2.066458719,0.195263444,1.057130855,0.10597912,1.174389683,0.820874003,0.271610131,0.137400159,1.098857754,0.127087639,1.062054066
0.09009009,0.089258877,0.981325457,1.60954907,1.004069097,0.384160109,0.995370311,0.043761232,0.934431147,0.030329181,0.814334852,0.071514137,0.956331242,-0.285479001,1.091925091,0.845788984,-0.838268201,0.304938817,0.763926415,0.29200554,0.817786089,-0.221259527,-0.453676701,0.202925211,1.071143217,0.27529898,1.15299215,0.996882923,1.514678062,0.010453241,0.989678603,-0.114995936,0.837152498,1.310823569,1.961379057,0.224900913,0.853626165,0.218082159,0.760943836,0.270712159,-1.387411645,0.012435702,0.808241593,-0.145286455,0.599153593,-0.670133893,0.304999259,0.076012325,1.131635004,0.164217775,0.934226913,-0.701316655,1.312652215,0.316652848,0.92210695,0.096405079,0.835707611,-0.113905571,1.484018422,-0.055871853,1.18553932,-0.183704392,1.092217528,-0.354319873,2.292332534,0.008584995,0.975870704,-0.168750937,0.997870787,-0.467137547,-0.830896682,0.260136455,0.930598711,0.183140889,0.950582145,-0.929837975,1.106300834,-0.135848292,0.757203665,-0.319016495,0.727274511,0.759146313,0.982059355,0.292502064,1.026233318,0.322242289,0.985339406,-1.184918264,1.806003746,0.308392479,0.914483128,0.30473752,0.884883104,-0.004508619,0.132588204,0.347062749,1.160008773,0.219317617,1.120557804,1.080296177,0.515563002,0.264244862,1.10259314,0.201149689,1.048656752,3.183926227,0.491743462,0.5044822,1.204913899,0.388885084,1.151600728,-1.043748924,0.968801199,0.124446892,0.887144124,-0.075415907,0.6767642,-0.141725984,0.895089564,0.396997795,1.014202773,0.437869108,1.000730363,0.163680151,2.04598264,0.069629983,1.057064008,0.009445046,1.016560276,-0.014844333,1.009902663,0.361325039,0.948634384,0.458973143,0.879967891,1.632939138,1.244736634,0.078640799,1.11653809,-0.051617954,1.049387156,1.18051786,1.451664965,0.253654414,0.96330588,0.106764491,1.020061421,-0.665772874,1.808452073,0.330817653,1.175409962,0.152340059,1.11402188,0.993322115,3.186691438,0.220401757,1.23645573,0.267125077,1.376932022,2.046985185,2.708035868,0.024856954,1.067176911,-0.007379663,1.04741942,-1.757332439,0.761369938,0.067754028,1.094575489,0.051230668,1.074078685,-1.39138534,1.058932984,0.202215566,1.050707947,0.108535583,1.138282103,-0.350933559,1.138156379,0.146607774,1.092635831,0.128740013,1.053874367
