time,actual-u1,actual-u2,S1-noise-u1,S1-noise-u2,S1-gp-u1,S1-gp-u2,S1-proj-u1,S1-proj-u2,S2-noise-u1,S2-noise-u2,S2-gp-u1,S2-gp-u2,S2-proj-u1,S2-proj-u2,S3-noise-u1,S3-noise-u2,S3-gp-u1,S3-gp-u2,S3-proj-u1,S3-proj-u2,S4-noise-u1,S4-noise-u2,S4-gp-u1,S4-gp-u2,S4-proj-u1,S4-proj-u2,S5-noise-u1,S5-noise-u2,S5-gp-u1,S5-gp-u2,S5-proj-u1,S5-proj-u2,S6-noise-u1,S6-noise-u2,S6-gp-u1,S6-gp-u2,S6-proj-u1,S6-proj-u2,S7-noise-u1,S7-noise-u2,S7-gp-u1,S7-gp-u2,S7-proj-u1,S7-proj-u2,S8-noise-u1,S8-noise-u2,S8-gp-u1,S8-gp-u2,S8-proj-u1,S8-proj-u2,S9-noise-u1,S9-noise-u2,S9-gp-u1,S9-gp-u2,S9-proj-u1,S9-proj-u2,S10-noise-u1,S10-noise-u2,S10-gp-u1,S10-gp-u2,S10-proj-u1,S10-proj-u2,S11-noise-u1,S11-noise-u2,S11-gp-u1,S11-gp-u2,S11-proj-u1,S11-proj-u2,S12-noise-u1,S12-noise-u2,S12-gp-u1,S12-gp-u2,S12-proj-u1,S12-proj-u2,S13-noise-u1,S13-noise-u2,S13-gp-u1,S13-gp-u2,S13-proj-u1,S13-proj-u2,S14-noise-u1,S14-noise-u2,S14-gp-u1,S14-gp-u2,S14-proj-u1,S14-proj-u2,S15-noise-u1,S15-noise-u2,S15-gp-u1,S15-gp-u2,S15-proj-u1,S15-proj-u2,S16-noise-u1,S16-noise-u2,S16-gp-u1,S16-gp-u2,S16-proj-u1,S16-proj-u2,S17-noise-u1,S17-noise-u2,S17-gp-u1,S17-gp-u2,S17-proj-u1,S17-proj-u2,S18-noise-u1,S18-noise-u2,S18-gp-u1,S18-gp-u2,S18-proj-u1,S18-proj-u2,S19-noise-u1,S19-noise-u2,S19-gp-u1,S19-gp-u2,S19-proj-u1,S19-proj-u2,S20-noise-u1,S20-noise-u2,S20-gp-u1,S20-gp-u2,S20-proj-u1,S20-proj-u2,S21-noise-u1,S21-noise-u2,S21-gp-u1,S21-gp-u2,S21-proj-u1,S21-proj-u2,S22-noise-u1,S22-noise-u2,S22-gp-u1,S22-gp-u2,S22-proj-u1,S22-proj-u2,S23-noise-u1,S23-noise-u2,S23-gp-u1,S23-gp-u2,S23-proj-u1,S23-proj-u2,S24-noise-u1,S24-noise-u2,S24-gp-u1,S24-gp-u2,S24-proj-u1,S24-proj-u2,S25-noise-u1,S25-noise-u2,S25-gp-u1,S25-gp-u2,S25-proj-u1,S25-proj-u2,S26-noise-u1,S26-noise-u2,S26-gp-u1,S26-gp-u2,S26-proj-u1,S26-proj-u2,S27-noise-u1,S27-noise-u2,S27-gp-u1,S27-gp-u2,S27-proj-u1,S27-proj-u2,S28-noise-u1,S28-noise-u2,S28-gp-u1,S28-gp-u2,S28-proj-u1,S28-proj-u2,S29-noise-u1,S29-noise-u2,S29-gp-u1,S29-gp-u2,S29-proj-u1,S29-proj-u2,S30-noise-u1,S30-noise-u2,S30-gp-u1,S30-gp-u2,S30-proj-u1,S30-proj-u2
0,0,1,0.000892278,0.998272844,-0.001184941,0.997141596,-0.002308481,0.99639213,-0.001106597,1.000710708,0.000326658,1.001185661,-0.002058872,1.000702979,0.002025425,0.999869789,0.000893704,1.002159643,-0.000259225,1.002036851,0.00367318,0.997313156,0.002173108,0.998559027,0.000988115,0.998608614,0.002909624,1.000023309,0.002689202,1.001646255,0.001339583,1.001031835,-0.001089416,1.00153675,-0.001513598,1.00418842,-0.002378115,1.004129831,-0.001182547,1.002977742,0.002995375,1.00123933,0.000777081,1.000775521,-0.004727966,0.999959857,0.00072632,1.000771295,0.000477294,1.00009,-0.00636134,1.001217878,-0.000551997,1.002422926,-0.002807593,1.001422299,-0.000251389,1.000854046,-0.000620023,1.000277966,-0.001789258,1.000822695,0.000978817,0.998147124,-0.000771921,1.000192838,-0.001734463,0.999112199,-0.003138032,1.000976334,-0.003171164,1.001142051,-0.00143294,1.001924353,-0.002213551,0.996364184,0.000205392,0.997683835,-0.000689706,0.997600658,-0.001382798,0.998936334,0.000414868,0.999308319,-0.000377351,0.998209138,0.000815746,0.999037739,0.003715345,0.99851871,0.00186748,0.998344517,0.000787808,0.998478347,0.000454176,0.998542794,-0.000244453,0.998364404,-0.002393435,0.996200248,0.002758133,0.999142354,0.00151399,1.000804398,-0.000323029,1.000858239,-0.001332075,1.00141907,-0.002562757,1.001721355,-0.004576158,1.003854002,-0.003707094,1.00210698,-0.004842812,1.001383018,-0.00103528,0.998026476,-0.002399788,0.99681063,-0.00350772,0.995497201,-0.004014393,0.999620103,1.88E-05,0.998172233,-0.00163533,0.997632994,0.001978446,0.99313127,0.001610713,0.994580031,0.001460941,0.995004599,0.000122496,1.005719282,0.002742584,1.004452304,0.001605115,1.003760851,0.003642542,1.002402337,0.000935402,1.003158809,7.71E-06,1.003578179,0.003948495,0.998796203,0.002002055,0.99916274,-0.000560748,0.999566298,0.001417708,0.99328177,0.000110709,0.997499189,-0.001156376,0.997298035,-0.00365372,1.001990653,-0.001751134,0.999173196,-0.002507554,0.999156229,-0.0049966,1.004991574,-0.001231175,0.999978986,-0.002850121,0.99992766,-0.003382095,1.001006594,-0.000484158,1.002683129,-0.001900287,1.001659961,-0.001109201,0.998399743,-0.003148856,1.001357666,-0.003205236,1.000639572
0.040160643,0.03999763,0.991838977,0.035075785,0.989860727,0.038827808,0.989456219,0.038073694,0.988931566,0.040735154,0.993964182,0.04015809,0.99190856,0.038789712,0.99158111,0.03831445,0.993809201,0.040485082,0.993395852,0.039673868,0.993110041,0.037924617,0.992831011,0.041412749,0.990649649,0.040568379,0.990419763,0.042196248,0.997214187,0.041711835,0.993114625,0.040872961,0.992723818,0.035247366,0.996922427,0.038739259,0.995061059,0.03829847,0.994774583,0.042765027,0.993103799,0.041802329,0.992751539,0.040533084,0.992344029,0.040307069,0.992385334,0.041194041,0.992359695,0.040880017,0.991829509,0.042769769,0.991104657,0.039484376,0.993281636,0.03811608,0.992654292,0.031326722,0.995072543,0.039453231,0.992517153,0.03859435,0.992349824,0.040944521,0.99100853,0.039565915,0.992577674,0.039008545,0.99177421,0.031880908,0.994508704,0.037486465,0.993454499,0.038050381,0.99361155,0.039841926,0.989607611,0.040237143,0.990148986,0.03962102,0.989850911,0.038848582,0.991737958,0.040102913,0.991139855,0.039453914,0.99052032,0.041021568,0.991121198,0.042775028,0.991259498,0.041796647,0.990937273,0.040790442,0.988121125,0.040456677,0.991006757,0.039813688,0.990777292,0.043374041,0.995374032,0.042512013,0.991930019,0.041592766,0.992340845,0.037801688,0.993070899,0.038983542,0.993286749,0.038287634,0.993198046,0.033146271,0.994080639,0.036828342,0.99378009,0.035990702,0.993245498,0.037583639,0.986724973,0.03784519,0.988555901,0.037090265,0.987831364,0.040503154,0.989759916,0.040140945,0.990727485,0.039098471,0.99030923,0.037324636,0.991694358,0.040909102,0.987839347,0.040524643,0.987918579,0.04436592,0.99440579,0.042439373,0.994987456,0.041820216,0.994540531,0.036160611,0.991800805,0.04025587,0.994582173,0.039507303,0.99456088,0.035226803,0.990176977,0.041283714,0.991117646,0.039797015,0.990952213,0.041432409,0.992555432,0.040058998,0.990897281,0.039325052,0.990613134,0.040466805,0.986309802,0.038758391,0.990445618,0.03837008,0.990111396,0.039569221,0.985733191,0.039281616,0.992155227,0.038343945,0.991980146,0.043803016,0.995586557,0.039589845,0.993460256,0.038744835,0.992875337,0.035612859,0.994387601,0.037685045,0.992725745,0.037680182,0.992359528
0.080321285,0.079662277,0.983415701,0.076056017,0.979374803,0.078472535,0.981433769,0.078058404,0.981118069,0.075470168,0.980673744,0.079675078,0.982547191,0.079145663,0.982409498,0.079838394,0.988647971,0.079798672,0.984387175,0.079336284,0.984099584,0.078873783,0.981858937,0.080407354,0.982345788,0.079913785,0.982025767,0.079655238,0.983312522,0.080549783,0.984294708,0.080163458,0.984152427,0.083573918,0.987056926,0.078606599,0.985693365,0.078483053,0.985370124,0.080940544,0.984175847,0.080444857,0.983905158,0.079978891,0.983639427,0.086153204,0.98381743,0.081124607,0.983681951,0.080853574,0.983351625,0.080647554,0.985182806,0.079132662,0.983994904,0.078539177,0.983746588,0.082349888,0.979100569,0.079136959,0.98420179,0.078611775,0.983667896,0.076017987,0.989154768,0.079515334,0.984449505,0.07928806,0.98416324,0.07877688,0.979490013,0.077650142,0.985153143,0.077459849,0.984946261,0.083122783,0.98493582,0.079867471,0.982151558,0.079510464,0.981811583,0.07779532,0.986091763,0.079453378,0.982732718,0.079008362,0.982566894,0.08419618,0.97968841,0.08155139,0.983400003,0.081283782,0.983084474,0.073975458,0.987051228,0.080039563,0.983009091,0.079538172,0.982829564,0.081156506,0.983347003,0.081896411,0.984102235,0.081319058,0.983701425,0.074253522,0.983710792,0.07887944,0.984739707,0.078607761,0.984466953,0.079480887,0.983899859,0.076956347,0.985107299,0.07643977,0.984797619,0.074440084,0.980459029,0.077715063,0.980154083,0.077297198,0.979940506,0.083077922,0.978653213,0.079835082,0.98284478,0.079337522,0.98258588,0.080069906,0.977862844,0.079974788,0.980436041,0.079507444,0.980294988,0.081726447,0.978432956,0.081717703,0.985355895,0.081495768,0.985183299,0.076341845,0.987372047,0.079364188,0.98561128,0.078851864,0.985386465,0.084345336,0.981791909,0.080325159,0.982693445,0.079736208,0.982270534,0.071223199,0.988547675,0.079633291,0.983612787,0.079347881,0.983358691,0.082164111,0.981357568,0.078858178,0.981500569,0.078724702,0.981181642,0.078212161,0.979488387,0.079333171,0.983952467,0.078960652,0.983772951,0.079010569,0.983347048,0.07925204,0.984138484,0.078879741,0.983872318,0.078116439,0.985125653,0.078079769,0.983862904,0.078082526,0.983763856
0.120481928,0.118983103,0.974712602,0.120506804,0.970496152,0.117753283,0.973077756,0.117642749,0.973004606,0.118111229,0.973683614,0.11887867,0.973094164,0.119021055,0.973156724,0.118869562,0.977162344,0.118830338,0.975145149,0.118692526,0.974957603,0.120981558,0.973312045,0.119154959,0.973671358,0.119001865,0.973396514,0.112953468,0.971247934,0.1191924,0.975201483,0.119191845,0.97530438,0.117066234,0.975978331,0.118087018,0.976103873,0.118191483,0.975871577,0.12039784,0.969711418,0.118912378,0.974723996,0.1191014,0.974649564,0.123833287,0.975555614,0.120544223,0.974743603,0.120306345,0.974642638,0.117034745,0.978842055,0.118402804,0.974560219,0.118466142,0.974657549,0.120117982,0.974435907,0.118438917,0.975385611,0.118248823,0.974751409,0.114677895,0.976865646,0.119073996,0.975843073,0.11910633,0.975750441,0.121777902,0.981466902,0.117334821,0.976303377,0.116666275,0.975933796,0.118962594,0.974770604,0.119104751,0.973722513,0.118982375,0.973463518,0.121305892,0.969404652,0.118472159,0.974073646,0.118263235,0.974099192,0.116585998,0.97603635,0.120053634,0.974992716,0.120342885,0.974790125,0.121133231,0.973028697,0.119215957,0.974575835,0.118912904,0.974500411,0.12564842,0.973183371,0.120919764,0.975715328,0.120682708,0.974906686,0.123619835,0.976688698,0.118363464,0.975811359,0.118419763,0.975522196,0.115341094,0.975607651,0.116681421,0.976099832,0.116488335,0.976031968,0.114266477,0.973377108,0.117210993,0.971584003,0.117104363,0.97179311,0.117380091,0.97857415,0.119113257,0.974540831,0.119089174,0.974599208,0.120841501,0.971968115,0.118800924,0.972425382,0.118362444,0.972222109,0.120397787,0.978003212,0.12059571,0.975565492,0.120703145,0.975662832,0.120605158,0.980797585,0.118250003,0.976282711,0.118002495,0.976006057,0.120741596,0.969136375,0.119117892,0.97391956,0.119255473,0.973454218,0.120964255,0.970956529,0.118837483,0.97570274,0.1189168,0.975554857,0.118650177,0.970947652,0.118542045,0.972343044,0.118525286,0.972093622,0.120501923,0.976667291,0.118936028,0.975387499,0.119019356,0.9752835,0.116738487,0.975100616,0.118513642,0.974705419,0.118523042,0.974794207,0.116860818,0.975061659,0.118025523,0.974773806,0.118006114,0.974899944
0.16064257,0.157948286,0.965698351,0.15685603,0.967102632,0.15667128,0.964375745,0.156825893,0.964637899,0.155820109,0.95998933,0.15776577,0.963523456,0.158424073,0.963762912,0.154759338,0.961799876,0.157572689,0.965662987,0.157719731,0.965633983,0.159433911,0.962711177,0.157649629,0.96463237,0.1578099,0.964489023,0.161270282,0.967431389,0.157625327,0.965831481,0.157938666,0.966152053,0.156044819,0.967063863,0.157177691,0.966291758,0.15743633,0.966222934,0.159017912,0.963519937,0.157190281,0.96521475,0.157886492,0.965348718,0.161233787,0.963000525,0.159476166,0.96553317,0.159322561,0.965629909,0.156311629,0.962901074,0.157300959,0.964956564,0.157898485,0.965317981,0.161138596,0.966221292,0.157363438,0.966104611,0.157490887,0.96556122,0.158934563,0.969245257,0.158238338,0.96677681,0.158463008,0.967041595,0.153943398,0.966466461,0.156553025,0.966951019,0.15558729,0.966563972,0.15831386,0.96485944,0.157954766,0.964875002,0.158038484,0.96477362,0.156949467,0.965628015,0.157161306,0.965134626,0.157197224,0.965521899,0.159331397,0.967712809,0.15828621,0.966071743,0.158985763,0.966043025,0.159485246,0.968029604,0.157995709,0.965716046,0.15792104,0.965779954,0.163074423,0.969096216,0.159586672,0.966806537,0.159672703,0.965913691,0.154613193,0.967591756,0.157440985,0.966516228,0.157740927,0.966303908,0.158158001,0.967272234,0.156004885,0.96675434,0.156119583,0.966925649,0.157006651,0.962579997,0.156331595,0.962808439,0.156501393,0.963344742,0.161510588,0.96667555,0.157984389,0.965816309,0.158356811,0.966049736,0.157663528,0.961772366,0.157377005,0.963844884,0.157045329,0.963653745,0.155445152,0.970445418,0.159088418,0.965605172,0.159440475,0.965939567,0.153148946,0.96154148,0.156899443,0.966613785,0.15692036,0.96635264,0.152253338,0.969635093,0.157650399,0.964805625,0.158352086,0.964479066,0.156735777,0.97180136,0.157673203,0.967205814,0.158034786,0.967206076,0.154150219,0.960290691,0.157804184,0.962960208,0.15784693,0.962858417,0.157998908,0.967788138,0.15809949,0.966459384,0.158535472,0.966474998,0.159413378,0.96358559,0.157383063,0.965130854,0.157691305,0.965468348,0.155710705,0.962585614,0.157513578,0.965444887,0.157455256,0.965720573
0.200803213,0.196544485,0.956328793,0.194543257,0.955449728,0.195224303,0.955299334,0.195600418,0.95569956,0.199575552,0.953918873,0.196328736,0.953790764,0.197359379,0.954173713,0.199648799,0.953040486,0.196014587,0.95591555,0.196421965,0.956073337,0.191164564,0.954050689,0.195881003,0.955216731,0.196314275,0.955248455,0.196523099,0.953323013,0.195830136,0.956162781,0.196382918,0.956654315,0.195331284,0.95288617,0.195873661,0.956236843,0.19622581,0.95635789,0.193630689,0.955083021,0.195259609,0.955366638,0.196318817,0.955698028,0.199494408,0.954975258,0.197939817,0.956022159,0.197914837,0.95633241,0.19737264,0.956427893,0.195828915,0.955144739,0.196835635,0.955731433,0.196569968,0.955204356,0.19591084,0.956376107,0.196321886,0.956046135,0.197119284,0.953648209,0.197002829,0.957252258,0.197357753,0.957582811,0.199406225,0.956579008,0.195314034,0.957121504,0.194314082,0.956812465,0.192698331,0.952517144,0.196419951,0.955604026,0.196677746,0.955695853,0.193133944,0.954101817,0.195518488,0.955873058,0.195789097,0.956414678,0.202271808,0.954941348,0.196248246,0.956652152,0.197220726,0.956818381,0.197163248,0.955228417,0.196384688,0.956421499,0.196545615,0.956623642,0.196411861,0.95791506,0.197897358,0.957393387,0.198275251,0.956586373,0.196519787,0.956123259,0.196114149,0.956849662,0.196584449,0.956762017,0.192635489,0.955336863,0.194924353,0.957052412,0.195315232,0.957441461,0.195543631,0.949289894,0.195072329,0.953774546,0.195475979,0.954539069,0.195985873,0.956306525,0.196453556,0.956655638,0.197138819,0.957062461,0.195441658,0.95256477,0.195688464,0.954713576,0.195512503,0.954594209,0.199284896,0.959140675,0.197206826,0.955445046,0.197778513,0.955962509,0.195283654,0.959745003,0.195294744,0.956602239,0.19556852,0.956481264,0.19527069,0.95964369,0.195907688,0.955341406,0.197020552,0.955209992,0.19787132,0.958239777,0.196139091,0.958141668,0.196703737,0.958300933,0.197640395,0.960690158,0.196638282,0.95332146,0.196874105,0.95354035,0.20022245,0.959084421,0.196828984,0.957149409,0.197520668,0.957297907,0.186758062,0.95152155,0.195865142,0.955367209,0.196394376,0.955884301,0.196687801,0.959178148,0.196535427,0.95584456,0.196436351,0.956337433
0.240963855,0.234756343,0.946547916,0.233323857,0.940388531,0.233406102,0.945804482,0.23395191,0.946236027,0.238574255,0.940131294,0.234555043,0.943834246,0.235826966,0.944305385,0.232061447,0.949048893,0.234140733,0.945859707,0.23473632,0.946197909,0.232122427,0.94351691,0.233833898,0.945394431,0.234490027,0.945608927,0.234823557,0.945373707,0.233784033,0.946155404,0.234502512,0.946758144,0.234120562,0.947429095,0.234167164,0.945900035,0.234563823,0.946201042,0.231257114,0.946321597,0.233096799,0.945151417,0.234381584,0.945646733,0.23232752,0.951165011,0.235949785,0.94616544,0.23602151,0.946686293,0.235506135,0.947263396,0.233983571,0.945068074,0.235274701,0.945794958,0.232339026,0.951273518,0.234076917,0.946198239,0.234724382,0.946143973,0.236782576,0.947293676,0.235359273,0.947253871,0.235792536,0.947932164,0.231194386,0.943113432,0.233623155,0.946819563,0.232653342,0.946640868,0.237222479,0.942493666,0.234498716,0.945886493,0.234896113,0.946172477,0.237783935,0.946564544,0.23353654,0.946232223,0.234014386,0.946931169,0.233230905,0.944186099,0.233933073,0.946729782,0.235052404,0.947078917,0.232271003,0.944764658,0.23438415,0.94666678,0.234768202,0.946989961,0.236898479,0.949157051,0.235847195,0.947473541,0.236473879,0.946895533,0.234773711,0.944341422,0.234381185,0.946787995,0.234958202,0.946845197,0.237824326,0.944651842,0.233433261,0.946960418,0.234055777,0.947529181,0.233529978,0.946531316,0.233424953,0.944414591,0.234013822,0.94530896,0.230217467,0.944122537,0.234521376,0.947027153,0.23543394,0.947552263,0.234159404,0.942953399,0.233716348,0.945031706,0.233721051,0.94500902,0.23757381,0.942690718,0.234957092,0.945036946,0.235647292,0.945669798,0.236787473,0.94901392,0.233413943,0.946226343,0.233909625,0.946242084,0.237395196,0.945667487,0.2338709,0.945497168,0.235251503,0.945581432,0.238794575,0.945697493,0.23423013,0.948510726,0.23492292,0.948814508,0.2306697,0.945130351,0.235036666,0.943378893,0.235261296,0.943702284,0.235973614,0.948263862,0.235125487,0.947421444,0.235982384,0.947691032,0.242179036,0.952592001,0.233960433,0.945350336,0.234646379,0.946180945,0.237159875,0.946813107,0.235081962,0.9459238,0.234949783,0.946456669
0.281124498,0.272566033,0.936288871,0.267844735,0.941373132,0.271205908,0.935832182,0.271874983,0.936573999,0.276661771,0.938070241,0.27242703,0.933575611,0.273822495,0.93408601,0.268776601,0.931993072,0.271931301,0.935435096,0.272670315,0.935907095,0.276409537,0.937377973,0.271487996,0.935118146,0.272310018,0.93549467,0.269210073,0.936170371,0.271459625,0.935752111,0.272273114,0.936399029,0.269790596,0.936091049,0.272047025,0.935224148,0.272449546,0.935668257,0.275271087,0.935250486,0.270673487,0.934523802,0.27205613,0.935132972,0.273360164,0.937239501,0.273515133,0.935901971,0.273776664,0.936506312,0.276552147,0.929043081,0.271756506,0.93465349,0.273209513,0.935413305,0.270932695,0.933554534,0.271852494,0.935549935,0.272679106,0.93578241,0.276581558,0.934500213,0.273296165,0.936749219,0.273767153,0.937498522,0.274582191,0.938696167,0.271481061,0.936029384,0.270713347,0.935998087,0.271142009,0.936676812,0.272184848,0.935681701,0.272685715,0.936135171,0.273388625,0.938511572,0.271203073,0.936142061,0.27184804,0.936921572,0.26951701,0.943252098,0.271327843,0.936281486,0.272481592,0.936775921,0.2739909,0.939038506,0.271990199,0.936409775,0.272568996,0.936821667,0.270547359,0.936550701,0.273426317,0.937025108,0.274249174,0.936722452,0.272387785,0.938665585,0.272235808,0.936289119,0.272866403,0.936514668,0.26787902,0.932095139,0.271520476,0.936429708,0.272319781,0.937126764,0.275175279,0.929927324,0.271377041,0.93464701,0.27209823,0.935577086,0.27487708,0.93341267,0.272183486,0.936883623,0.273237998,0.937493847,0.267834712,0.942279767,0.271437044,0.934780899,0.271628427,0.934892681,0.27673366,0.932077941,0.272339813,0.934315339,0.273085677,0.934989876,0.270094105,0.933545932,0.271230629,0.935445452,0.271904903,0.935581325,0.269857455,0.936599658,0.271516978,0.935224467,0.273033296,0.935525493,0.271073539,0.937445654,0.271937058,0.938294425,0.272688795,0.938708828,0.272534273,0.931070836,0.272989502,0.933068116,0.273333201,0.933496967,0.272749712,0.944731129,0.272985037,0.937222675,0.273924,0.937582945,0.270323006,0.932001702,0.271664593,0.935000659,0.272444337,0.935710681,0.273104814,0.934367561,0.273142685,0.935617094,0.272988214,0.936132888
0.321285141,0.309952845,0.925475032,0.314135758,0.923570926,0.308608009,0.925309486,0.309353353,0.925926336,0.309698021,0.930351632,0.309921715,0.92292157,0.311336647,0.923411433,0.312580348,0.926001804,0.309361668,0.924565276,0.310202293,0.925130265,0.308295439,0.929779879,0.308817614,0.924324234,0.309744582,0.924821045,0.308035739,0.929596651,0.308824754,0.924879577,0.309668016,0.925502413,0.306595235,0.921402874,0.309498117,0.924135138,0.309877158,0.924668033,0.304803559,0.924802221,0.307956387,0.923422275,0.30932141,0.924084929,0.308078656,0.927010282,0.310638711,0.925155889,0.31100701,0.925819453,0.307642383,0.927980583,0.309133639,0.923812926,0.310631617,0.92458139,0.309406093,0.92947578,0.309223078,0.924391347,0.310164731,0.924880949,0.307374658,0.924138203,0.310798133,0.925689583,0.311270138,0.926544458,0.307522925,0.924548304,0.308883229,0.924715258,0.308327788,0.924820626,0.314159643,0.928897222,0.309466997,0.924932223,0.310034876,0.925506216,0.310034847,0.922086717,0.308500186,0.925520244,0.309261046,0.926172812,0.309712757,0.927538799,0.308413252,0.925265839,0.309504154,0.925850021,0.310773004,0.921114622,0.309193326,0.925592536,0.309925562,0.926040795,0.31020743,0.925697963,0.310619307,0.926007414,0.311579153,0.926003073,0.308759541,0.929875429,0.309666696,0.925293493,0.310307041,0.925641895,0.307517531,0.931502152,0.309169966,0.925397176,0.310084373,0.926161852,0.310724963,0.925567843,0.308911583,0.924377763,0.30970978,0.925257969,0.305183821,0.928421054,0.309430095,0.926163127,0.310544681,0.926869177,0.309099061,0.926946391,0.308822091,0.923924754,0.309190374,0.924101372,0.304759711,0.920388008,0.309349417,0.923198625,0.310035176,0.923841966,0.311566866,0.923944741,0.308713769,0.924200988,0.309515654,0.924454067,0.308331623,0.926611926,0.308818398,0.92445736,0.310351686,0.92493021,0.306540925,0.930735768,0.309245862,0.927455899,0.309994677,0.927934013,0.310642394,0.921272828,0.310484045,0.92230946,0.310861632,0.922855509,0.313318577,0.919599039,0.310398328,0.926484726,0.31134438,0.926892824,0.304072708,0.927586916,0.308967855,0.924224633,0.309783342,0.92502,0.307941302,0.929478962,0.310704956,0.924843747,0.310547628,0.925394741
0.361445783,0.346892812,0.91402114,0.346732275,0.915704811,0.345591424,0.914150849,0.3463631,0.914797287,0.347651017,0.91015495,0.34701069,0.911765614,0.348354815,0.912175895,0.346335527,0.912416979,0.346402212,0.913159257,0.347269387,0.913749297,0.347043742,0.915806684,0.345791558,0.912934111,0.346761486,0.913495873,0.344753433,0.915578804,0.345842408,0.913449943,0.346657358,0.913984557,0.347851088,0.911711075,0.346500905,0.912543703,0.34683551,0.913102274,0.343901214,0.914668794,0.344907239,0.911770282,0.346154306,0.912421835,0.345004805,0.916186662,0.347316612,0.913837933,0.347793653,0.914502604,0.345241827,0.909655001,0.346094979,0.912445086,0.347529801,0.913101181,0.348727567,0.910859085,0.346168586,0.912664759,0.347157735,0.913351263,0.350878972,0.917858829,0.347845444,0.914010959,0.348297286,0.915046725,0.350172124,0.91656736,0.345819474,0.912822716,0.345569332,0.91303459,0.339700946,0.914545452,0.34632826,0.913565202,0.34692718,0.914199844,0.346262737,0.916547127,0.345404252,0.914273537,0.346224618,0.914950936,0.350054585,0.913636734,0.345163368,0.91362428,0.346110742,0.914233066,0.346618004,0.913300825,0.345978057,0.914142539,0.34681331,0.914582945,0.35025916,0.914303202,0.347404984,0.914362226,0.348438616,0.914623521,0.348464703,0.911131481,0.346657079,0.91372555,0.347269612,0.914103999,0.355018155,0.910104459,0.346360565,0.913786184,0.347324556,0.914552767,0.348080121,0.917207965,0.346006659,0.913501974,0.346826456,0.914258249,0.35124048,0.918994661,0.346245641,0.914790291,0.347343708,0.915476649,0.346469672,0.914458792,0.34583806,0.912409891,0.346360231,0.912634017,0.346714415,0.912940801,0.345973682,0.911590789,0.346622538,0.912136471,0.346827081,0.909131875,0.345827597,0.912417842,0.346701332,0.912732955,0.347445952,0.91164074,0.345742988,0.913114021,0.347188464,0.913683509,0.346232421,0.914887628,0.346137358,0.915941112,0.346829799,0.916429368,0.34925701,0.910144924,0.347503968,0.911009521,0.347916817,0.911598436,0.345984826,0.91675658,0.347350391,0.915125138,0.348237664,0.915532632,0.346363848,0.914060656,0.345854603,0.912916522,0.346658624,0.913584084,0.351340146,0.912930866,0.347753308,0.913509537,0.347614169,0.913897431
