time,actual-u1,actual-u2,S1-noise-u1,S1-noise-u2,S1-gp-u1,S1-gp-u2,S1-proj-u1,S1-proj-u2,S2-noise-u1,S2-noise-u2,S2-gp-u1,S2-gp-u2,S2-proj-u1,S2-proj-u2,S3-noise-u1,S3-noise-u2,S3-gp-u1,S3-gp-u2,S3-proj-u1,S3-proj-u2,S4-noise-u1,S4-noise-u2,S4-gp-u1,S4-gp-u2,S4-proj-u1,S4-proj-u2,S5-noise-u1,S5-noise-u2,S5-gp-u1,S5-gp-u2,S5-proj-u1,S5-proj-u2,S6-noise-u1,S6-noise-u2,S6-gp-u1,S6-gp-u2,S6-proj-u1,S6-proj-u2,S7-noise-u1,S7-noise-u2,S7-gp-u1,S7-gp-u2,S7-proj-u1,S7-proj-u2,S8-noise-u1,S8-noise-u2,S8-gp-u1,S8-gp-u2,S8-proj-u1,S8-proj-u2,S9-noise-u1,S9-noise-u2,S9-gp-u1,S9-gp-u2,S9-proj-u1,S9-proj-u2,S10-noise-u1,S10-noise-u2,S10-gp-u1,S10-gp-u2,S10-proj-u1,S10-proj-u2,S11-noise-u1,S11-noise-u2,S11-gp-u1,S11-gp-u2,S11-proj-u1,S11-proj-u2,S12-noise-u1,S12-noise-u2,S12-gp-u1,S12-gp-u2,S12-proj-u1,S12-proj-u2,S13-noise-u1,S13-noise-u2,S13-gp-u1,S13-gp-u2,S13-proj-u1,S13-proj-u2,S14-noise-u1,S14-noise-u2,S14-gp-u1,S14-gp-u2,S14-proj-u1,S14-proj-u2,S15-noise-u1,S15-noise-u2,S15-gp-u1,S15-gp-u2,S15-proj-u1,S15-proj-u2,S16-noise-u1,S16-noise-u2,S16-gp-u1,S16-gp-u2,S16-proj-u1,S16-proj-u2,S17-noise-u1,S17-noise-u2,S17-gp-u1,S17-gp-u2,S17-proj-u1,S17-proj-u2,S18-noise-u1,S18-noise-u2,S18-gp-u1,S18-gp-u2,S18-proj-u1,S18-proj-u2,S19-noise-u1,S19-noise-u2,S19-gp-u1,S19-gp-u2,S19-proj-u1,S19-proj-u2,S20-noise-u1,S20-noise-u2,S20-gp-u1,S20-gp-u2,S20-proj-u1,S20-proj-u2,S21-noise-u1,S21-noise-u2,S21-gp-u1,S21-gp-u2,S21-proj-u1,S21-proj-u2,S22-noise-u1,S22-noise-u2,S22-gp-u1,S22-gp-u2,S22-proj-u1,S22-proj-u2,S23-noise-u1,S23-noise-u2,S23-gp-u1,S23-gp-u2,S23-proj-u1,S23-proj-u2,S24-noise-u1,S24-noise-u2,S24-gp-u1,S24-gp-u2,S24-proj-u1,S24-proj-u2,S25-noise-u1,S25-noise-u2,S25-gp-u1,S25-gp-u2,S25-proj-u1,S25-proj-u2,S26-noise-u1,S26-noise-u2,S26-gp-u1,S26-gp-u2,S26-proj-u1,S26-proj-u2,S27-noise-u1,S27-noise-u2,S27-gp-u1,S27-gp-u2,S27-proj-u1,S27-proj-u2,S28-noise-u1,S28-noise-u2,S28-gp-u1,S28-gp-u2,S28-proj-u1,S28-proj-u2,S29-noise-u1,S29-noise-u2,S29-gp-u1,S29-gp-u2,S29-proj-u1,S29-proj-u2,S30-noise-u1,S30-noise-u2,S30-gp-u1,S30-gp-u2,S30-proj-u1,S30-proj-u2
0,0,1,-0.077684565,1.095586753,0.000805476,0.965604279,-0.009929008,1.003293663,0.015013455,1.029807378,-0.039370587,1.039672381,-0.015905575,1.073396494,0.061776927,0.872757746,-0.067200666,0.985950957,-0.038164682,0.976362441,0.053118541,1.100565839,-0.044172845,0.977281126,0.060663915,1.119939804,0.089028035,0.994094482,0.019896812,0.949221618,0.05286294,0.963974241,0.008248225,1.058654057,-0.003627441,0.974238668,0.015132352,1.063855816,-0.072715535,0.991214292,-0.050924472,0.928577001,-0.055669613,0.939973609,0.047990174,0.939860825,0.013883531,0.890775665,0.017456717,0.957346265,-0.007397746,0.998806245,-0.036666278,1.000462291,-0.05885274,1.000402011,-0.124135922,0.853645863,-0.012323844,0.983158463,-0.002540116,1.011570908,-0.00642161,1.00295539,-0.026307772,0.957503843,-0.035458985,0.938750492,-0.089080161,1.0906378,-0.016893793,1.000761069,-0.017009585,1.05911251,-0.06942141,1.095461022,-0.024342922,0.943547364,0.00465035,1.006797724,0.025150059,0.910795532,-0.027661628,0.946945481,-0.009231992,0.988724088,-0.218670328,0.864602419,-0.061899849,0.942186203,-0.049344896,0.963865701,-0.075989295,1.021539603,-0.040406321,0.966175891,0.008717801,0.988898298,0.044197384,0.826220047,-0.000748008,0.942612253,0.029184441,0.969842003,-0.086110152,1.102257416,0.015235029,0.994359334,-0.03837713,1.091038685,0.129896101,1.080710952,0.020527561,1.015385346,0.039376793,1.049014032,-0.161297787,0.943659235,0.015488211,0.940430952,0.043738347,0.971271442,0.128022685,0.770663316,-0.015599807,0.943634142,-0.013037725,0.966441371,-1.63E-05,0.905105116,-0.000852695,0.949872099,0.052994437,0.966192606,0.034989704,0.897979694,0.031878788,0.94989187,0.063891483,0.971367096,0.058723784,1.012152844,-2.19E-05,0.951947981,0.012946629,1.021537167,-0.015061585,1.212023585,-0.038345024,1.062214697,-0.080240325,1.210845754,-0.010312653,0.937141659,0.032189528,0.872504903,0.005668596,0.90094807,0.178749469,0.884495596,0.02007506,0.960515803,0.028065991,0.945570603,0.060306683,1.054412342,-0.067911551,0.957638891,-0.062632936,1.030872331,-0.048059563,1.0272627,0.011290687,1.013635743,-0.02210236,1.041538078,0.042578659,0.757917417,0.013314156,0.917573511,0.006180518,0.897932773
0.02004008,0.019999705,0.995959912,0.016938522,0.864236139,0.018532874,0.964465751,0.012352762,0.99540434,0.118729124,1.1385141,-0.017376902,1.037062229,-0.002538478,1.066653446,0.068620154,1.125801509,-0.043566053,0.987355648,-0.022021189,0.983038238,-0.071849471,1.067907585,-0.022751908,0.978167143,0.050526169,1.074360948,-0.08332029,0.934759351,0.038092621,0.951966146,0.065522956,0.966140069,0.052850497,1.072982777,0.019441876,0.974877503,0.018641537,1.043345156,0.025457538,0.782000521,-0.02866969,0.93260566,-0.032127684,0.944229909,0.004300498,1.023175581,0.032719192,0.892645488,0.036096557,0.950736276,-0.107129838,1.032395324,-0.015547051,0.998755432,-0.033072785,0.998123533,0.038435279,1.132108463,0.008317036,0.984226125,0.015646474,1.009821222,-0.085620183,0.864980704,-0.006957134,0.959705402,-0.014242237,0.949330298,0.025479082,1.006175586,0.004498305,0.999178483,0.00626294,1.048049696,0.026489047,1.037818329,-0.004471543,0.945236751,0.019218398,0.998025032,0.01753623,0.792433165,-0.006077095,0.948897363,0.009266566,0.985082243,0.027248211,0.819202175,-0.038271271,0.946570587,-0.027968187,0.965353912,-0.030400807,0.968968328,-0.020295647,0.96702707,0.021650591,0.98646883,0.057924068,0.927914752,0.018551014,0.946254923,0.042737725,0.969404386,0.057074113,1.024841229,0.031436538,0.992783875,-0.009114906,1.072075527,0.074417659,0.861193153,0.041222978,1.009311483,0.057601794,1.038595612,0.097369681,0.907339573,0.035896177,0.941725353,0.058285351,0.969872796,0.06442796,0.949892284,0.00462718,0.946922865,0.003654501,0.966586697,-0.032883478,0.948672061,0.019779807,0.953217777,0.063957193,0.967422267,0.08917676,0.918132775,0.051201015,0.952468344,0.077700122,0.972955785,-0.148202566,0.942225881,0.020165686,0.954148822,0.030115473,1.015002154,-0.061759467,1.062755221,-0.019368771,1.055101606,-0.052797586,1.162708313,0.078685176,0.889770251,0.047505314,0.87771848,0.026241719,0.902613437,0.017232266,0.994638424,0.037603664,0.962059311,0.045294498,0.949823535,-0.148003332,0.856708994,-0.046067257,0.95968842,-0.045733829,1.018559243,0.076026087,0.939319523,0.029671266,1.005737915,0.001877416,1.030394268,0.019867772,1.042192684,0.032733984,0.922580145,0.025711192,0.902640583
0.04008016,0.039917804,0.991855591,-0.17594991,1.109843426,0.036428309,0.963223159,0.033991399,0.988026977,0.018131593,0.811439943,0.004599275,1.034201615,0.012052169,1.058600339,-0.123070969,0.957330289,-0.019995986,0.988429289,-0.005075061,0.989004845,0.109083878,1.044137514,-0.001291462,0.978803682,0.047960346,1.040729649,0.035399228,0.791156835,0.056372794,0.954370394,0.078515984,0.967928172,0.175124205,0.959327846,0.042363897,0.975215091,0.027443615,1.025616084,0.082117699,0.902590961,-0.006431024,0.936212284,-0.008864901,0.94775956,-0.046368433,0.976792267,0.05167662,0.894272261,0.054925471,0.944155351,-0.043639035,0.981544102,0.005597959,0.996825302,-0.007996424,0.995182268,0.021205952,0.971298205,0.028990794,0.984973048,0.034151458,1.007728394,-0.15561513,1.005428129,0.012510706,0.961608197,0.007062396,0.958324176,0.027472422,1.058450501,0.025909277,0.997382889,0.029293172,1.037441413,0.094396215,0.82164183,0.015453126,0.94666649,0.034298239,0.989738218,0.012089548,0.857693016,0.015464392,0.950582461,0.027875621,0.981382144,-0.070491503,1.134611023,-0.014766638,0.95050083,-0.006658174,0.966415514,-0.009187068,1.035969665,-9.60E-05,0.967588749,0.035006434,0.984388362,0.028786597,1.001590774,0.037919644,0.949531215,0.056683531,0.968837852,0.008515872,1.084816005,0.047809703,0.991060319,0.018319416,1.054855826,-0.048089622,1.019149977,0.061858525,1.003223774,0.075880473,1.028465458,0.082323347,1.043260789,0.05627807,0.942778,0.073295396,0.968156839,-0.011478186,0.911707346,0.024899946,0.949855483,0.020924273,0.966537448,0.005764101,0.871769154,0.040434097,0.956143506,0.075449195,0.968462427,0.160636888,1.12597227,0.07056281,0.954729122,0.091836345,0.97404016,0.134101109,1.091876538,0.040394583,0.956098853,0.048338854,1.008353883,-0.033078327,1.143877088,-0.000281655,1.048106428,-0.025742245,1.123548241,0.185968225,0.915789441,0.063052729,0.882596524,0.046628201,0.90398007,-0.006463077,0.938450992,0.055288449,0.963287104,0.062556321,0.953702046,-0.048440032,1.010560291,-0.024187274,0.96146075,-0.02729942,1.007400191,-0.065038213,1.07169925,0.048170846,0.997988201,0.025593816,1.020457378,0.091496886,0.874684418,0.052216636,0.927143839,0.045153588,0.907726656
0.06012024,0.059753002,0.987686203,0.137925495,0.9414727,0.054481059,0.961866354,0.055077324,0.981094328,-0.141980972,1.036896384,0.026547678,1.031084324,0.027836993,1.051426807,0.014149328,0.931197124,0.003499808,0.989162958,0.012656228,0.994180242,0.173176511,0.997326534,0.020197098,0.979178818,0.050502201,1.014908713,0.05998764,0.957329278,0.07472754,0.956424124,0.091855541,0.969318497,0.015564865,0.899743488,0.065131457,0.975242338,0.040463044,1.01021743,-0.024476511,1.027903689,0.015780638,0.939387774,0.014128186,0.950574896,0.146522596,0.926956524,0.07074413,0.895643916,0.073917292,0.937608401,-0.063626345,1.187959278,0.026758411,0.994668041,0.016605671,0.995042104,0.201253522,1.116100759,0.049687024,0.985389779,0.052958676,1.005295044,0.094336204,1.001057556,0.03208431,0.963201821,0.028423407,0.96576285,0.105882652,1.151469025,0.04732799,0.995365094,0.052067142,1.027261037,0.126372596,1.040641705,0.035420818,0.947825821,0.049843491,0.981895759,-0.021490744,1.184598212,0.036953553,0.951989801,0.046586702,0.977622987,0.116045274,1.06262236,0.008605927,0.953968459,0.014581363,0.967059866,-0.06083234,0.987347691,0.020181157,0.967851397,0.04878029,0.981586145,0.008843441,0.929915307,0.057347566,0.952430174,0.07102623,0.968133608,-0.048374125,1.067329491,0.064345572,0.989177283,0.044248371,1.039096839,0.045945133,1.123011702,0.08242609,0.997117203,0.094198898,1.018588171,0.274652351,0.900396664,0.076625058,0.943577714,0.088751699,0.966130834,0.054192619,1.038780611,0.045208371,0.952421591,0.038761947,0.966286425,0.189882989,0.908739485,0.061099836,0.958640793,0.087493266,0.969286073,0.283975641,0.835928833,0.089954144,0.95666337,0.106412242,0.974619454,0.027139763,0.99511544,0.060654169,0.957784676,0.066309346,1.001618935,-0.107364307,1.051046719,0.018906067,1.041218887,0.000715846,1.091050771,-0.085540735,0.810315699,0.078823312,0.887126426,0.066830066,0.905057517,-0.016038786,1.024944524,0.073118386,0.964190889,0.079861107,0.957183325,-0.024053898,1.006918998,-0.002282932,0.962942941,-0.00760941,0.997285994,-0.026374545,1.125106989,0.066779501,0.990386651,0.049042009,1.010460698,0.118067555,1.004486507,0.071751987,0.931255621,0.064572829,0.9130972
0.080160321,0.079503979,0.983450004,0.027178296,0.957671842,0.072680166,0.960384853,0.075687139,0.974548831,0.091347774,1.103289959,0.048458039,1.027704167,0.044721096,1.043891705,0.07282018,1.04172968,0.026911629,0.989547896,0.031142288,0.998489023,-0.018565993,1.117657971,0.041702325,0.979280648,0.056749149,0.99457412,0.147632588,0.980181958,0.093146959,0.958117277,0.105554029,0.970291626,0.077684351,0.990608323,0.087737455,0.974950306,0.05687306,0.996789991,0.215837063,0.899107864,0.037954408,0.942123366,0.036863352,0.952690985,0.094038581,0.877988289,0.089909871,0.896748474,0.093046603,0.931099146,0.047793549,0.815238552,0.047923912,0.992279591,0.040558224,0.988556997,0.0021248,1.04087514,0.070395259,0.985467024,0.072049607,1.002524411,0.286774189,0.895350049,0.051752075,0.964475947,0.049808328,0.971702535,-0.005970532,0.960402971,0.06874327,0.993115877,0.074574562,1.017480608,0.137637962,1.020221892,0.05542119,0.948704056,0.065812363,0.974459085,0.005530601,0.961016328,0.058381122,0.95310845,0.065391333,0.973802901,0.013943767,0.973518844,0.031838367,0.956965375,0.035746727,0.967295919,0.283332439,0.885430926,0.040524318,0.967805575,0.062896241,0.978320681,0.149356882,1.087363974,0.076824372,0.954941082,0.085769097,0.967282289,0.08575368,0.904827952,0.081034947,0.987123258,0.068922221,1.024577349,0.096503108,1.15729158,0.102917583,0.990986186,0.112543924,1.008932751,0.207871824,0.914905424,0.096928305,0.944113351,0.104635482,0.963802736,0.134963004,1.0974625,0.065542261,0.954610981,0.057151261,0.965825848,0.128817413,1.025358144,0.081766646,0.960701471,0.10011111,0.969864222,0.047373916,1.052035035,0.109364924,0.9582604,0.120867434,0.974702691,0.14218593,0.996542148,0.080933752,0.959192954,0.08488922,0.994819955,-0.099493078,0.905221373,0.03818398,1.034427959,0.026510085,1.063647978,0.067052642,0.798648756,0.09480824,0.891295744,0.086849856,0.905853858,0.022686043,1.079134307,0.091082237,0.964762467,0.097217091,0.960243909,-0.013134457,1.158286524,0.019634379,0.964122145,0.013098639,0.988112955,0.249650939,0.93934058,0.085487135,0.982931983,0.072235383,0.999608939,0.219021378,0.90270952,0.091329815,0.93490685,0.084026044,0.918657681
0.100200401,0.099169372,0.979144368,0.196305303,0.963852705,0.091014446,0.958767867,0.095886711,0.968340408,0.124903881,1.151631934,0.070320096,1.024054999,0.062648922,1.036318365,-0.061118354,0.752689392,0.050229809,0.989575523,0.050339929,1.001865138,0.039927575,1.040715574,0.063212729,0.979097316,0.065826668,0.978291437,0.255914148,1.025735385,0.111621052,0.959439996,0.119622319,0.970829203,-0.085783678,1.10851863,0.110174858,0.974330236,0.076011584,0.98503883,-0.011903307,1.078403806,0.060079397,0.944410651,0.059353876,0.954125266,0.063503885,0.934447445,0.109161835,0.89757407,0.112288904,0.924630127,0.178551589,0.910896353,0.069084017,0.989655707,0.063926322,0.98840993,-0.016368016,0.986660374,0.091104984,0.985195666,0.091403531,0.999420336,-0.034589602,0.923987491,0.071502247,0.965420345,0.071184825,0.976218463,0.283654258,0.90221513,0.090143914,0.990626006,0.096808448,1.008071581,0.012769665,0.744032301,0.075443834,0.949290607,0.082167018,0.967392352,-0.028179068,1.075568149,0.079737854,0.953927537,0.084280987,0.969919674,0.176930245,1.027453359,0.054922696,0.959483862,0.056834408,0.967132174,0.213655942,1.04552892,0.060921833,0.967441966,0.07741998,0.976004826,-0.117878532,1.244156513,0.096339564,0.957053476,0.100913831,0.9662736,0.014148986,1.059993843,0.097868388,0.984886636,0.092538167,1.01112109,0.094063547,0.856042979,0.123324936,0.984824586,0.130903264,0.99947174,0.027728879,1.188999095,0.117178972,0.944373827,0.120926616,0.961180602,0.086189776,1.162185431,0.085891353,0.956413667,0.076069138,0.965147288,0.27382739,1.06265679,0.102424116,0.96231772,0.113322798,0.970166069,0.084961496,1.074378288,0.128784998,0.959509688,0.135972977,0.974296129,0.058591916,1.126857512,0.101222588,0.960310445,0.103413405,0.987981951,0.209568457,1.285851631,0.057541518,1.027721899,0.051636306,1.040235751,-0.088003006,1.039459636,0.110998334,0.895092233,0.106690499,0.906375788,0.256784322,1.045624172,0.109168575,0.964993743,0.114630942,0.962859974,0.146796778,1.039333621,0.041553218,0.964985634,0.034621267,0.979782941,0.078711834,1.105356076,0.104283481,0.975621586,0.095168911,0.990644926,0.003996036,0.917551423,0.11093981,0.938089234,0.103562554,0.924311619
0.120240481,0.118747756,0.974765817,0.264005865,0.979126189,0.109472496,0.957004324,0.115732609,0.962425153,-0.012059488,0.933933172,0.092123599,1.020130728,0.081572465,1.027945976,0.060873506,1.272206717,0.073444723,0.989237462,0.070194118,1.004254866,0.06077235,1.040102506,0.084716791,0.978617047,0.077151755,0.965111815,0.006464114,1.019105911,0.130139728,0.960382638,0.134069341,0.97091415,0.074275399,0.971510077,0.132436708,0.973373559,0.097329979,0.974715139,-0.050187441,1.068859353,0.08214473,0.946241589,0.081613961,0.954897038,0.185972663,0.904203102,0.128487871,0.898108984,0.131620623,0.918202704,-0.081287118,0.918026282,0.090228244,0.986791958,0.087114571,0.986800325,0.130419524,0.932798737,0.111805639,0.984566787,0.110997607,0.995987157,0.081754984,0.861949429,0.091322931,0.966024907,0.092521696,0.979398608,0.226795336,1.130422643,0.111518695,0.987886262,0.11876424,0.999005083,0.078657047,0.988601219,0.095478281,0.949575006,0.098873038,0.960661958,0.22614946,1.14439459,0.101014533,0.95443628,0.103247314,0.965970027,0.1525875,0.878493962,0.077851002,0.961516609,0.077840961,0.966576616,0.033665378,0.862742141,0.081361976,0.966751389,0.092309381,0.971964578,0.179899281,0.851533879,0.115882569,0.95875717,0.116461103,0.965096422,0.083716499,1.15733857,0.114836225,0.982455739,0.115253658,0.99858523,0.219408567,0.935431605,0.143640113,0.97862573,0.149265418,0.990180764,0.193476171,0.957511847,0.137368227,0.944348144,0.137603589,0.958272312,0.033268442,1.000803498,0.106245325,0.957819901,0.095485651,0.964241581,0.257374645,0.963464176,0.123061811,0.963482081,0.127146084,0.97015922,0.111870288,0.943717205,0.148204165,0.960400905,0.151436603,0.973399547,0.040547557,0.986860958,0.121509884,0.961124032,0.122237608,0.981125786,0.145497197,1.100574258,0.076967977,1.021088284,0.076116854,1.020010861,0.148451582,0.925147445,0.127384062,0.898503862,0.126355219,0.906628698,0.130503922,0.920668116,0.127365784,0.964876747,0.132107559,0.965007601,0.061712447,1.038198383,0.063462102,0.965520829,0.056782618,0.972203477,0.150151743,0.647914704,0.123158117,0.968451522,0.117857774,0.978613005,-0.059639027,0.862804455,0.130571579,0.940794841,0.123223819,0.929959732
0.140280561,0.138237627,0.970310046,0.193589547,0.976787187,0.12804271,0.955082894,0.135273822,0.956764099,0.188151102,1.145760874,0.113858323,1.015925338,0.10139314,1.020460935,0.096568086,0.963438458,0.096546791,0.98852555,0.090638723,1.005617828,0.102721389,0.836239563,0.106202964,0.977828168,0.090314802,0.954372337,0.093307859,0.897491388,0.148692812,0.960935805,0.148901883,0.970530959,0.114302313,1.013670152,0.154516119,0.972071925,0.120360547,0.965603929,-0.029383077,0.993802175,0.104139551,0.947608527,0.10365798,0.955027072,0.192789356,0.96276577,0.147875695,0.89834166,0.151019131,0.911817129,0.175500106,1.028571371,0.111346082,0.983683733,0.110129196,0.985868001,0.090760573,0.991675188,0.132486633,0.983571686,0.130807032,0.992229629,0.114637196,1.176486284,0.111202101,0.966279665,0.113789683,0.981338049,0.012747179,0.915976821,0.132856378,0.984887467,0.140439805,0.99025194,0.128051342,1.037498793,0.115514015,0.949546926,0.115898837,0.95423588,0.092644917,0.963156903,0.122201977,0.954624006,0.122281575,0.961949971,0.073535281,0.765281739,0.100615451,0.963056715,0.098763059,0.965636745,0.110614761,1.0339377,0.101832944,0.965724824,0.107569418,0.9694057,0.302646865,1.006189858,0.135442745,0.960042281,0.132409395,0.963739277,0.115764773,1.034095274,0.131928565,0.979818846,0.13719561,0.986852368,0.028835883,1.065879584,0.163855109,0.972382426,0.167619471,0.981037734,0.271142278,1.051569791,0.15748725,0.944025413,0.154643364,0.955086024,0.011414414,0.76263939,0.126593801,0.958820198,0.115364174,0.963098776,-0.026590332,1.050498819,0.143669279,0.96418747,0.141595707,0.969810071,0.095570356,0.92139901,0.167612183,0.96092393,0.167217842,0.972019589,0.200073246,0.820809897,0.141784812,0.961620748,0.141517298,0.974278248,0.094018355,1.072719764,0.096452519,1.014514046,0.099984115,1.002372624,0.146536713,0.922929368,0.143955552,0.901518846,0.14584742,0.906616766,0.116694259,0.813443181,0.145662079,0.964403647,0.149650355,0.966663033,0.095253351,0.941500292,0.085349515,0.965715332,0.07942948,0.965287221,0.084179932,1.224034183,0.142100471,0.961416539,0.14028698,0.971682485,0.210812912,0.94974977,0.150214659,0.943016115,0.143043029,0.935499637
0.160320641,0.157637388,0.965771955,0.035679514,0.998617341,0.146713285,0.952992019,0.154552898,0.951322322,0.035494014,1.010298102,0.135514067,1.011432896,0.122000633,1.012213846,0.152527156,0.945105647,0.119526483,0.98743186,0.111598511,1.005929632,0.227660084,0.911052126,0.127659692,0.976719138,0.105015164,0.94558826,0.257158756,0.921601976,0.167270055,0.961090354,0.164123983,0.969665994,0.388922776,1.033465394,0.176406287,0.970417212,0.144695856,0.957515468,0.252898124,0.931866297,0.126053034,0.94850421,0.125499914,0.954537142,0.312915182,0.894530011,0.167312904,0.898260738,0.170462812,0.90547255,0.120908561,0.920973601,0.132426992,0.980326252,0.132874984,0.982042792,0.174472141,1.066972204,0.153137349,0.9822019,0.150805261,0.98815282,0.326667574,1.034734142,0.131127612,0.966174816,0.134962075,0.982134245,0.133207939,0.991437442,0.15414572,0.981620499,0.161834909,0.9817834,0.186734118,1.122374252,0.135540476,0.949196205,0.133215352,0.948083691,0.095981482,1.026337478,0.143291044,0.954480177,0.141375287,0.957855009,0.050047701,1.143276792,0.123208292,0.96409771,0.119597469,0.964319574,0.168388221,0.918562372,0.122322865,0.96435343,0.123218683,0.965289405,0.333828988,0.922997261,0.155009391,0.960899241,0.148755531,0.962189243,0.286795026,0.949707907,0.149135295,0.976964229,0.158467208,0.975824732,0.32457146,0.964991923,0.183961958,0.966086992,0.18595534,0.972022682,0.206137192,0.808801839,0.177527238,0.943394881,0.172021854,0.951629122,0.062096245,0.902687413,0.146926363,0.959405352,0.135661717,0.961708098,0.238832562,1.018495861,0.16423606,0.964427192,0.156682632,0.969084226,0.090643047,0.827094136,0.186998777,0.961068876,0.183372375,0.970163444,0.152796768,0.903094277,0.162036517,0.961787812,0.160647147,0.967459937,0.104357344,1.038130382,0.115984185,1.007985516,0.123272804,0.986860863,0.054019265,0.851687652,0.160702594,0.904125664,0.165170626,0.906343013,0.211061153,0.805911727,0.164045515,0.963566767,0.167260924,0.967802904,-0.025933753,0.883532644,0.107203918,0.965556952,0.102427084,0.958951642,0.054557807,0.884399173,0.161099828,0.954510085,0.162449586,0.960849915,0.362811068,0.826883878,0.169858521,0.944745892,0.163044578,0.940825925
0.180360721,0.176945333,0.961145678,0.174190352,0.839742362,0.165472231,0.950719941,0.173606895,0.946068127,0.069513823,1.110656505,0.157080671,1.006647573,0.143301008,1.004418706,0.110429423,1.085915386,0.142374331,0.985948716,0.132991572,1.005181805,0.145163202,0.892651506,0.149075412,0.975278579,0.121023563,0.938390639,0.013090183,1.101871122,0.18586114,0.960837426,0.179736611,0.968307725,0.099665052,0.906703284,0.198100487,0.96840155,0.169975337,0.950279457,0.301806099,0.892907751,0.147874389,0.948921799,0.147152792,0.953449592,0.178566076,0.857107359,0.186786988,0.897855077,0.18993099,0.899167116,0.148798928,1.128923335,0.153460424,0.976714571,0.15543469,0.98146415,0.207790301,0.940849179,0.17374715,0.980449222,0.170964184,0.983762015,0.238321179,1.025695895,0.151087213,0.965700742,0.156015081,0.981883327,0.115771556,0.964641091,0.175375488,0.978076322,0.182950696,0.973570854,0.206958402,0.874005545,0.155547073,0.948512866,0.150795603,0.942176041,0.319185946,0.842628731,0.164272639,0.953994416,0.16051977,0.953679721,0.253421103,0.901666204,0.14562186,0.964633559,0.140341023,0.96263146,0.117716601,1.011223037,0.142819811,0.962628571,0.139215546,0.961950677,-0.002248536,0.892315137,0.174571755,0.961318826,0.165494086,0.960432937,0.365607909,1.01740152,0.166446098,0.973880177,0.179152799,0.965419863,0.123544146,1.026218375,0.203952739,0.959731273,0.204263209,0.963117463,0.108836157,1.208160871,0.19747941,0.942445954,0.18971405,0.947908886,0.173457456,1.081626849,0.167232557,0.959566456,0.156329504,0.960057928,0.037866794,0.93904469,0.184751695,0.964194956,0.172413141,0.967947075,0.014058037,0.915459061,0.206353648,0.960826114,0.199765417,0.967840333,0.30004934,0.864669713,0.182254123,0.961612656,0.180170167,0.960689022,0.287940012,0.823129125,0.135551902,1.001488465,0.146016506,0.973115558,0.128232813,0.871084154,0.177614652,0.906313084,0.184328391,0.905809379,0.214645164,1.04590599,0.182503995,0.962358602,0.184939082,0.968404571,0.077413481,0.971631386,0.129013761,0.965033741,0.125656079,0.953118446,0.239262531,1.00604389,0.180145343,0.947724334,0.184364418,0.952158566,-0.045741634,0.859848481,0.189492582,0.945977413,0.183243494,0.945830788
