time,actual-u1,actual-u2,S1-noise-u1,S1-noise-u2,S1-gp-u1,S1-gp-u2,S1-proj-u1,S1-proj-u2,S2-noise-u1,S2-noise-u2,S2-gp-u1,S2-gp-u2,S2-proj-u1,S2-proj-u2,S3-noise-u1,S3-noise-u2,S3-gp-u1,S3-gp-u2,S3-proj-u1,S3-proj-u2,S4-noise-u1,S4-noise-u2,S4-gp-u1,S4-gp-u2,S4-proj-u1,S4-proj-u2,S5-noise-u1,S5-noise-u2,S5-gp-u1,S5-gp-u2,S5-proj-u1,S5-proj-u2,S6-noise-u1,S6-noise-u2,S6-gp-u1,S6-gp-u2,S6-proj-u1,S6-proj-u2,S7-noise-u1,S7-noise-u2,S7-gp-u1,S7-gp-u2,S7-proj-u1,S7-proj-u2,S8-noise-u1,S8-noise-u2,S8-gp-u1,S8-gp-u2,S8-proj-u1,S8-proj-u2,S9-noise-u1,S9-noise-u2,S9-gp-u1,S9-gp-u2,S9-proj-u1,S9-proj-u2,S10-noise-u1,S10-noise-u2,S10-gp-u1,S10-gp-u2,S10-proj-u1,S10-proj-u2,S11-noise-u1,S11-noise-u2,S11-gp-u1,S11-gp-u2,S11-proj-u1,S11-proj-u2,S12-noise-u1,S12-noise-u2,S12-gp-u1,S12-gp-u2,S12-proj-u1,S12-proj-u2,S13-noise-u1,S13-noise-u2,S13-gp-u1,S13-gp-u2,S13-proj-u1,S13-proj-u2,S14-noise-u1,S14-noise-u2,S14-gp-u1,S14-gp-u2,S14-proj-u1,S14-proj-u2,S15-noise-u1,S15-noise-u2,S15-gp-u1,S15-gp-u2,S15-proj-u1,S15-proj-u2,S16-noise-u1,S16-noise-u2,S16-gp-u1,S16-gp-u2,S16-proj-u1,S16-proj-u2,S17-noise-u1,S17-noise-u2,S17-gp-u1,S17-gp-u2,S17-proj-u1,S17-proj-u2,S18-noise-u1,S18-noise-u2,S18-gp-u1,S18-gp-u2,S18-proj-u1,S18-proj-u2,S19-noise-u1,S19-noise-u2,S19-gp-u1,S19-gp-u2,S19-proj-u1,S19-proj-u2,S20-noise-u1,S20-noise-u2,S20-gp-u1,S20-gp-u2,S20-proj-u1,S20-proj-u2,S21-noise-u1,S21-noise-u2,S21-gp-u1,S21-gp-u2,S21-proj-u1,S21-proj-u2,S22-noise-u1,S22-noise-u2,S22-gp-u1,S22-gp-u2,S22-proj-u1,S22-proj-u2,S23-noise-u1,S23-noise-u2,S23-gp-u1,S23-gp-u2,S23-proj-u1,S23-proj-u2,S24-noise-u1,S24-noise-u2,S24-gp-u1,S24-gp-u2,S24-proj-u1,S24-proj-u2,S25-noise-u1,S25-noise-u2,S25-gp-u1,S25-gp-u2,S25-proj-u1,S25-proj-u2,S26-noise-u1,S26-noise-u2,S26-gp-u1,S26-gp-u2,S26-proj-u1,S26-proj-u2,S27-noise-u1,S27-noise-u2,S27-gp-u1,S27-gp-u2,S27-proj-u1,S27-proj-u2,S28-noise-u1,S28-noise-u2,S28-gp-u1,S28-gp-u2,S28-proj-u1,S28-proj-u2,S29-noise-u1,S29-noise-u2,S29-gp-u1,S29-gp-u2,S29-proj-u1,S29-proj-u2,S30-noise-u1,S30-noise-u2,S30-gp-u1,S30-gp-u2,S30-proj-u1,S30-proj-u2
0,0,1,-0.028007735,1.006305862,0.003263202,1.00604419,-0.002260161,0.999521204,0.011036114,1.04309305,0.020657933,1.012347647,0.005978659,1.000520482,0.017898506,0.975439851,0.019320649,1.002672209,0.004745782,1.003526075,-0.031406582,1.015360654,-0.02750988,1.018302219,-0.00508388,1.010179077,-0.009291159,1.014887207,-0.007446442,1.006448239,-0.007524404,1.00840564,0.016714564,0.984105658,0.035522265,0.973515805,0.011072216,1.004396821,0.037916175,0.986876801,-0.01420835,1.001740845,0.002565231,0.993340878,0.043227112,0.973870533,-0.001357392,0.996460666,0.0025546,1.000777089,0.004612335,0.98873027,0.019925846,0.980710685,0.002775136,0.994100324,-0.039944413,1.016605724,-0.00018543,1.003110352,0.004281025,1.006826037,-0.01251861,0.961901529,0.008001085,0.990915382,0.006460932,0.993560902,0.03500956,0.970948547,-0.001496134,0.989727527,-0.010297424,0.983060425,-0.035475071,0.968446899,-0.000512837,0.980126117,0.00022244,1.008704195,0.000784536,0.989100616,0.02466563,1.000924043,0.009096543,0.992195858,0.01165569,0.96993388,0.013867628,1.015336886,0.007866785,0.99930281,0.011636329,0.953451888,0.01834001,0.972966564,0.007265827,0.995849004,-0.004110815,1.036492705,-0.008406962,1.01276585,0.000227921,1.009023559,0.018676504,1.021266134,0.002987691,1.00782759,-0.002026779,1.006215734,0.047777771,1.029872261,-0.004812314,1.020090687,-0.020069258,0.994669984,-0.037422764,0.950873924,-0.005545359,0.98139896,0.005279309,0.993740676,-0.050672855,0.985669273,0.003199012,0.976212243,-0.002921834,0.997857381,-0.014826958,0.992739092,-0.024244736,0.973018585,-0.006470736,1.003909034,0.046885241,1.026550699,0.00457333,1.0101068,0.01364488,1.01611013,0.008233148,1.049227123,0.012702045,1.004752149,0.004009431,0.998060078,-0.011188777,1.011827466,0.001314556,1.001171419,0.001105077,1.007301754,-0.015335202,1.008284471,0.01138536,1.007931187,0.007740341,1.013112173,-0.017081116,1.057564851,0.011887216,1.029513022,-0.00384166,1.003287515,-0.025642033,1.016393232,-0.002057441,0.992530196,-0.00084699,1.001377201,0.02314325,0.988482707,0.001057487,1.003974688,-0.002105672,1.002514316,0.06240362,0.963587232,0.004643141,0.973265548,0.004768928,0.981368062
0.01001001,0.010110712,1.020170299,0.021420039,1.038971529,0.012934117,1.027148541,0.008075126,1.019930401,0.037307443,1.06298598,0.027920437,1.029727599,0.016176839,1.021362312,0.065695761,1.017999925,0.026902443,1.023157364,0.014274157,1.023843476,-0.001684723,1.016915878,-0.0134001,1.039214693,0.005513853,1.030304407,0.005607042,1.049159887,0.004359353,1.026871803,0.003155942,1.029419478,-0.006076142,0.974300693,0.043939261,0.999018758,0.020656941,1.023414978,-0.006967932,1.017034518,-0.002734275,1.021641758,0.012094333,1.013784649,0.009830534,1.025924162,0.008972534,1.017450371,0.01205909,1.021188303,0.01343295,1.015863887,0.027053187,1.004019798,0.01284733,1.014170957,0.02706239,1.021547275,0.011696482,1.02449937,0.014160658,1.026760444,0.074506868,1.018067918,0.017119568,1.009110432,0.016414689,1.014305467,-0.035682933,1.018299355,0.007401422,1.014158114,-0.001035611,1.004634715,0.009747359,1.01021601,0.009742588,1.001874946,0.010158739,1.028502218,0.057550632,1.03277363,0.032090846,1.019483854,0.018603209,1.012730881,0.010937429,1.058858144,0.023021051,1.033597911,0.017384837,1.020253683,0.003586055,0.971285027,0.026621613,1.000741928,0.017182051,1.015656023,0.01545042,1.047900788,0.00228819,1.02881182,0.009884026,1.028919461,0.063211594,1.040652241,0.012067926,1.028653926,0.008384359,1.025877331,-0.042286537,1.033826854,0.002909425,1.035091128,-0.009533451,1.014979204,-0.006189314,1.053966662,0.005668612,1.004819568,0.015448641,1.015527156,0.042403086,0.984434032,0.01314117,0.999925358,0.007691301,1.017701645,-0.010379778,0.960422339,-0.011446239,0.999423454,0.003971729,1.022969672,0.021742018,1.010320475,0.015845937,1.032986796,0.023456268,1.035659146,0.04276241,0.990630769,0.020989361,1.023992712,0.014069251,1.016566977,-0.026662043,1.003844128,0.012089513,1.024265734,0.010850137,1.026619033,0.015585841,1.043931746,0.02082192,1.026702129,0.017877453,1.032927799,0.03150446,1.03203428,0.018758956,1.045328359,0.006407329,1.022360798,0.049014714,1.033717983,0.009326463,1.013781835,0.009785499,1.021993292,0.031719412,1.016781585,0.010143401,1.025460835,0.007954551,1.0222288,-0.045052574,1.006323458,0.015457544,0.99317692,0.014379,1.00209297
0.02002002,0.020424832,1.040640888,0.019970325,1.048412109,0.022824801,1.04835651,0.018400371,1.040282302,0.033978512,0.972266759,0.035612887,1.047932759,0.02619548,1.040389184,0.064060095,1.070368421,0.03482545,1.043885034,0.02399792,1.044609585,-0.017758329,1.010680598,0.000646904,1.060031945,0.016188168,1.050627439,-0.069797649,1.058646279,0.016211722,1.047738982,0.013754004,1.050302916,0.029553788,1.067683634,0.05256099,1.024310463,0.031228747,1.045101416,-0.061612506,1.031612611,0.008976105,1.04184202,0.021723389,1.034193038,0.004539716,1.076743187,0.019456627,1.038657826,0.021897083,1.041948156,0.066954913,1.021783561,0.034629674,1.027395955,0.023326202,1.034168778,0.017324542,1.06370553,0.023528986,1.04599145,0.023935445,1.04743413,-0.015861763,1.054916197,0.026529776,1.027746247,0.026576038,1.034974802,-0.008745025,1.063908497,0.016529138,1.038294156,0.008964095,1.026524062,0.011560045,1.063665602,0.020124925,1.023989306,0.020302121,1.048733704,0.006538275,0.991181294,0.039876892,1.038363587,0.028324735,1.031993469,0.040836928,1.054153959,0.032363181,1.052256953,0.027181898,1.040512761,0.051201113,1.047856244,0.035201839,1.027722846,0.027306866,1.03712013,0.040389827,1.008308534,0.013132209,1.045608624,0.019750361,1.048520683,0.013492491,1.009970131,0.021463967,1.049536796,0.018841645,1.045336079,0.024170693,1.059975927,0.011148822,1.050897006,0.001845777,1.036041176,-0.010310052,1.019302087,0.017026158,1.028245172,0.025821863,1.035591542,-0.00949804,0.995461289,0.023256551,1.023572969,0.018206546,1.037995025,-0.005594986,1.011017875,0.001432134,1.025368587,0.014602879,1.042977889,-0.0388015,1.042303009,0.02719941,1.055663856,0.0334429,1.056604433,0.005466336,1.040424326,0.029595759,1.043553622,0.024325892,1.037776798,0.027175569,1.004059872,0.02295101,1.047062605,0.021113845,1.046366032,0.043054736,1.012856184,0.030431938,1.046046209,0.028204981,1.051481149,0.049530758,1.076540435,0.026101241,1.061731508,0.016619722,1.04326793,0.009549726,1.010005537,0.020767268,1.035343593,0.020083462,1.042428611,0.002437771,1.050923451,0.019530805,1.046830693,0.01819697,1.042390874,-0.025154722,1.012317652,0.026387944,1.0137631,0.024627832,1.022718177
0.03003003,0.030945362,1.061410939,0.089827578,1.137154699,0.03293682,1.069660417,0.029236791,1.062117907,0.031674842,1.07094699,0.04373286,1.066937058,0.036425609,1.063141678,0.06047,1.106363432,0.04309041,1.064864933,0.033946959,1.065489013,0.052838699,1.159719351,0.014636265,1.080796764,0.027281629,1.072785865,0.096737488,1.037654741,0.028116694,1.069030932,0.025276805,1.07084617,0.110147551,1.039294187,0.061395143,1.049391422,0.042605395,1.064311101,0.074322969,1.103914781,0.020916413,1.062335518,0.033626109,1.056351964,0.046556577,1.102478123,0.030098974,1.060068907,0.032147998,1.062569452,0.032220554,1.049834585,0.042650922,1.050822207,0.033597984,1.054822151,0.058728644,1.04906572,0.035325087,1.067606044,0.034139495,1.067715235,0.03031374,1.053500682,0.036231059,1.04685656,0.03694345,1.055109716,0.094142098,1.031832129,0.025893022,1.062166506,0.019577319,1.047057431,0.076924051,1.040493495,0.030642368,1.046448829,0.030652896,1.068502252,0.11284462,1.103774257,0.048024178,1.05759821,0.038272687,1.054381997,0.05870946,1.106514604,0.041901561,1.071326461,0.037172659,1.06167848,0.06022968,1.066769926,0.044083781,1.053949918,0.037643291,1.05761103,-0.043818199,1.100187576,0.02412994,1.063154428,0.0298343,1.069865871,-0.000276728,1.081800166,0.031172933,1.070486746,0.029541154,1.066114782,0.047969899,1.104083728,0.019896123,1.067521774,0.013245814,1.057755377,0.087606315,1.058750711,0.028531455,1.051670094,0.036397513,1.056995895,0.031474728,1.046896426,0.033551972,1.047177738,0.029106515,1.059203466,0.051399509,1.041140762,0.014388661,1.050875068,0.025428208,1.063135927,0.010638473,1.070198962,0.038639301,1.078164044,0.043714469,1.077769643,0.039218613,0.988306926,0.038523708,1.063439818,0.034783398,1.056956034,0.050894693,1.100624099,0.033906446,1.069599941,0.031457859,1.06860344,0.014781052,1.062933739,0.040226062,1.065951595,0.038713357,1.072147221,0.04162742,1.044171036,0.033910898,1.078736512,0.026832911,1.062718491,-0.003993935,1.044980571,0.032273649,1.057204571,0.030701217,1.063787769,0.018173274,1.097178745,0.029218997,1.068119251,0.028679102,1.063128662,0.032317945,1.065050734,0.037438327,1.034993857,0.035215704,1.044200639
0.04004004,0.041675295,1.082479013,0.054451055,1.087865191,0.043271962,1.091055343,0.039841864,1.082198337,0.068320593,1.075912935,0.052277434,1.086708928,0.047351296,1.084504056,0.01994361,1.024429272,0.051697942,1.086105135,0.044093514,1.085063339,0.000565557,1.074878322,0.028574129,1.101552266,0.038273497,1.092978212,0.016638068,1.092119773,0.040080881,1.090727014,0.036244885,1.093017443,0.107764169,1.085328262,0.070449349,1.074266348,0.053072211,1.085434564,-0.005427102,1.107469699,0.033080496,1.083115089,0.043424575,1.077100654,0.028378398,1.059156645,0.040904045,1.081671072,0.042350589,1.082180319,0.012447761,1.109770157,0.051112015,1.074283855,0.044153473,1.076359386,-0.006885442,1.061252125,0.047098478,1.089362124,0.044111277,1.088604831,0.070381274,1.053770979,0.046222766,1.066470416,0.047515079,1.07550675,0.02952856,1.059550885,0.035499117,1.085808179,0.029548528,1.069043605,0.079608434,1.063197076,0.041303379,1.069232379,0.041211771,1.088977679,0.102851296,1.06253767,0.056532893,1.077219379,0.048449297,1.074256816,0.038555256,1.066291479,0.051643814,1.090815634,0.047305152,1.082133611,0.066556727,1.098241902,0.053270309,1.079471529,0.048189492,1.078689074,0.052125978,1.030351202,0.035286443,1.081443119,0.040138727,1.089757462,0.080638797,1.030937536,0.041191938,1.091515262,0.040570149,1.085980317,0.049267617,1.057946777,0.029140849,1.084971747,0.024741725,1.077892268,0.045640062,1.087557202,0.040188863,1.075091368,0.047181618,1.078540055,0.100988641,1.097631155,0.044034286,1.07076307,0.040269819,1.080700301,-0.000545107,1.079328108,0.027422405,1.075968819,0.036449561,1.083676533,0.034504349,1.055301984,0.0501716,1.100515888,0.054173664,1.098197479,0.044607633,1.090412677,0.047775423,1.083655209,0.045449998,1.079899078,0.042130194,1.0921113,0.044963649,1.091918517,0.041873396,1.088814754,0.084900931,1.111285945,0.050214967,1.086401812,0.049456822,1.093110197,0.021155188,1.069696674,0.042184067,1.096353298,0.037150046,1.083750249,0.034318632,1.089149639,0.043854753,1.079353737,0.041771389,1.085548411,0.039965139,1.067539266,0.039207262,1.089362469,0.039373086,1.082761361,0.106318846,1.073200001,0.048613171,1.056835246,0.046074251,1.065426407
0.05005005,0.052617601,1.103843005,0.098947242,1.085243818,0.053832233,1.11253917,0.050977532,1.103198993,0.121723433,1.087229691,0.061243199,1.107211816,0.058684359,1.106208359,0.070120641,1.111118594,0.060648545,1.107611939,0.054516775,1.107153575,0.055464027,1.154733702,0.042467607,1.122341222,0.049727142,1.115038065,0.084055454,1.085431033,0.052111436,1.112805083,0.047861257,1.114368625,0.050607206,1.082730746,0.079731133,1.09894391,0.063015563,1.105803955,0.064944257,1.07611152,0.045462456,1.104172641,0.055033396,1.097214273,0.041277623,1.1222662,0.051876672,1.103453526,0.052895117,1.104022798,0.121048283,1.061007886,0.060007543,1.097768579,0.055509346,1.096353844,0.06870307,1.043773401,0.058863463,1.111277817,0.05488943,1.109411032,0.038215918,1.048863001,0.056504257,1.086611708,0.058292831,1.096046227,0.046484078,1.131368394,0.045353474,1.109253751,0.040185185,1.092276825,0.072758996,1.087617281,0.052116643,1.092318316,0.051984342,1.10977397,0.002407068,1.117316514,0.065403016,1.097254913,0.058852392,1.096227909,0.046286683,1.14977385,0.061597611,1.11073033,0.057717496,1.104226305,0.068937163,1.123290848,0.062764057,1.104342948,0.058949257,1.099935112,0.008399575,1.113543607,0.046606963,1.100464418,0.050664785,1.111569018,0.067223274,1.165960808,0.0515181,1.112634602,0.051660828,1.107955093,0.053295086,1.075491741,0.038871863,1.103246067,0.036436557,1.099556184,0.083220512,1.068988111,0.052002902,1.098508715,0.058173566,1.099661648,0.032737225,1.13003341,0.054710345,1.09435261,0.051364874,1.102251903,0.060685062,1.143939404,0.040533211,1.100680094,0.047672351,1.104756924,0.031191592,1.160650668,0.061802707,1.122749926,0.064831435,1.121651041,0.064558387,1.133328081,0.05735286,1.104202637,0.056339893,1.10188954,0.048256423,1.158035131,0.056130836,1.11406131,0.052578095,1.11102449,0.08225378,1.092418286,0.060409303,1.107376008,0.060384225,1.11281214,0.09591775,1.14403754,0.050916227,1.114587578,0.04844644,1.106209055,0.069360347,1.093511658,0.055520146,1.101780027,0.053036964,1.107150346,0.056996157,1.117238127,0.049494873,1.110596733,0.050275469,1.104121148,0.078614742,1.085987196,0.059917422,1.079250092,0.056801586,1.086986149
0.06006006,0.063775232,1.125500091,0.026024452,1.076162558,0.064619838,1.134112551,0.061828384,1.124374674,0.015245223,1.1417128,0.070626294,1.128404757,0.068327005,1.12902626,-0.006095558,1.137526877,0.069942601,1.129389765,0.065107004,1.128792717,0.080897148,1.180967909,0.056324724,1.143205399,0.061318436,1.136874976,0.085432411,1.114043948,0.06421601,1.135241769,0.059475268,1.136600231,0.110531897,1.117248788,0.089247888,1.123436412,0.074720931,1.127300167,0.018986857,1.137890547,0.058056669,1.125499281,0.065600113,1.11993442,0.008521509,1.11340732,0.063022003,1.125407339,0.063470429,1.124874968,0.091069447,1.091992072,0.069331644,1.121266513,0.066424844,1.117879983,0.079487146,1.174429434,0.070634885,1.133370046,0.065634193,1.132300767,0.064745201,1.153065782,0.067074899,1.107298778,0.069292447,1.119404368,0.007045545,1.089745333,0.05546212,1.132538745,0.050766368,1.113499459,0.018930204,1.09974968,0.063091014,1.115684751,0.062973134,1.130766803,0.098618158,1.173424911,0.074634315,1.117728342,0.069497198,1.11859241,0.096292317,1.113675565,0.071770627,1.13107302,0.06844197,1.125311169,0.042264776,1.144605425,0.072567416,1.128625346,0.069924497,1.121419489,0.073526432,1.137108755,0.058096893,1.120204021,0.061422287,1.133063371,0.014519834,1.127429986,0.062148558,1.133857624,0.062897184,1.128599934,-0.007683269,1.099962857,0.049077439,1.12233675,0.048060156,1.121681367,0.039537484,1.132923597,0.063978223,1.121924468,0.06937784,1.12230205,0.076550956,1.097821505,0.065586968,1.117969751,0.06288466,1.123126972,0.046063352,1.114680127,0.053721693,1.125042925,0.059096208,1.125392777,0.132566326,1.193175653,0.07353939,1.144898218,0.075788478,1.143769698,0.041788994,1.149900357,0.06725771,1.125083826,0.067446852,1.123605361,0.076128109,1.078520542,0.06741657,1.13607281,0.063593084,1.130191838,0.040862204,1.174357089,0.070819625,1.128849275,0.071511986,1.135135071,0.055483383,1.103780527,0.060102233,1.133440775,0.05905634,1.126363325,0.068804727,1.118596652,0.067279757,1.124472416,0.064347799,1.129243315,0.021123609,1.141040555,0.060081101,1.131858306,0.061365142,1.125358358,0.086596874,1.095317476,0.071356461,1.102198484,0.067865412,1.108802748
0.07007007,0.075151102,1.147446662,0.100266742,1.135165911,0.07563717,1.155778816,0.073510736,1.146850778,0.092255046,1.166931184,0.080422424,1.150242979,0.080397563,1.151632121,0.107361338,1.245913043,0.079580371,1.151441062,0.076048061,1.151858528,0.055174751,1.139143971,0.070154358,1.164184923,0.072985273,1.158311157,0.074142777,1.172988459,0.076402702,1.158012775,0.071259403,1.159701751,0.148577959,1.124861766,0.099006841,1.147759402,0.086344993,1.148425113,0.047555247,1.18237993,0.070857817,1.14708543,0.077205769,1.142589423,0.048476583,1.108043594,0.074345477,1.147525505,0.074562385,1.14604391,0.107609193,1.17254261,0.079078045,1.144770272,0.077782139,1.140571159,0.115474939,1.170041631,0.082428047,1.15565419,0.076726781,1.153899242,0.101664018,1.141463355,0.077934077,1.128544097,0.080516519,1.140464963,0.039217481,1.193190278,0.065831025,1.155699023,0.061961349,1.137966621,0.046588803,1.162991811,0.074235472,1.139309788,0.074184009,1.152578333,0.121625108,1.059179754,0.084226355,1.138658487,0.080368302,1.138018359,0.03154459,1.206988118,0.0821705,1.151842791,0.079169654,1.148098358,0.076240597,1.104505634,0.082682521,1.152384746,0.081110972,1.141759165,0.078084831,1.115462438,0.06976175,1.140643766,0.072407508,1.154321124,0.008080104,1.152911347,0.073080478,1.155197587,0.074399201,1.150160213,0.018344789,1.13369487,0.059745337,1.142228826,0.06025226,1.144316388,0.099133337,1.146496002,0.076119575,1.14534344,0.08080037,1.144504294,0.101864664,1.107889916,0.07667091,1.141637139,0.074568531,1.144848809,0.073114934,1.158856443,0.066989219,1.14909452,0.070723687,1.146894831,0.048477098,1.153642194,0.085388751,1.166993833,0.08682791,1.164491547,0.056786996,1.156510879,0.077491389,1.146299339,0.078770279,1.14538283,0.110811454,1.198749084,0.078829712,1.157998309,0.074862065,1.154119887,0.105534567,1.138523189,0.081456336,1.150793032,0.082880572,1.155094694,0.059714112,1.142034301,0.069736359,1.152910003,0.070229711,1.148567468,0.092760444,1.099446942,0.079143817,1.147419981,0.075981868,1.151113928,0.054976326,1.157805274,0.070965212,1.153182785,0.072718966,1.146780463,0.06241552,1.10512967,0.082936073,1.125638302,0.079038791,1.130918406
0.08008008,0.086748088,1.169678267,0.051373639,1.176538193,0.08688679,1.177543801,0.084906687,1.169381614,0.13908477,1.214836936,0.090626889,1.172678546,0.09233837,1.174887061,0.091338608,1.14798119,0.089561991,1.173766245,0.087152547,1.172415021,0.035642553,1.126270774,0.083966181,1.185317667,0.084867568,1.180278124,0.07242862,1.161006441,0.088680012,1.181093148,0.083278748,1.181793735,0.112408956,1.169480778,0.109015019,1.171931234,0.097197376,1.170686212,0.120980881,1.201947379,0.083860899,1.168920957,0.08952142,1.164869594,0.087461747,1.144770471,0.085852775,1.169802955,0.085873491,1.168227819,0.078501673,1.151258701,0.08924011,1.168274922,0.089148791,1.161901967,0.121859799,1.190556117,0.094258636,1.178143761,0.087925506,1.176056967,0.100240086,1.134588705,0.089081184,1.150354029,0.091955016,1.161852101,0.099740689,1.19119992,0.076466073,1.178770179,0.073558082,1.160575144,0.052286886,1.163199519,0.085559068,1.163171743,0.085619121,1.174074347,0.082305514,1.179303427,0.094178496,1.16005913,0.091474878,1.162005027,0.071753588,1.178807132,0.092804788,1.173035376,0.090343678,1.169888428,0.1005421,1.200452631,0.093111245,1.175690906,0.09251944,1.165435275,0.053651064,1.137243213,0.08160713,1.161761827,0.083623366,1.176322805,0.090224856,1.202796022,0.084311068,1.176667943,0.08623793,1.172248166,0.070673752,1.117279944,0.070862871,1.16290057,0.072755833,1.166162253,0.053049786,1.16704779,0.088431777,1.168772734,0.092439737,1.16708628,0.06724806,1.149627727,0.087968825,1.165376208,0.086343174,1.16733753,0.018259297,1.166623623,0.080337891,1.172874622,0.082558546,1.168425537,0.167499643,1.208865927,0.097358181,1.189070321,0.098225267,1.187570958,0.143410032,1.208389882,0.088055038,1.167848528,0.090316988,1.168422842,0.113603962,1.21285365,0.09037937,1.17988318,0.086226907,1.176012993,0.090317948,1.179631741,0.092329625,1.173175454,0.094437835,1.177018571,0.080376794,1.1831856,0.079812327,1.172988076,0.081767197,1.171153114,0.112123458,1.174126702,0.091122802,1.17061193,0.087813396,1.174261786,0.088268871,1.133008807,0.082146469,1.17460457,0.084290599,1.167678132,0.067904117,1.100865076,0.094662407,1.149525745,0.0905319,1.15314874
0.09009009,0.098569017,1.192189546,0.112051244,1.167341321,0.098371408,1.199415616,0.096980761,1.191435009,0.046325922,1.219474305,0.101234611,1.195661014,0.102836631,1.197655178,0.122914311,1.175700935,0.09988747,1.196363646,0.098516013,1.194853766,0.064027836,1.281926184,0.097770592,1.206638677,0.097088508,1.204198942,0.154793484,1.236738777,0.101056783,1.204457555,0.09576462,1.205724289,0.142215383,1.150037787,0.119279217,1.19597258,0.109137307,1.191781631,0.093994744,1.116962307,0.097061254,1.190995288,0.100946566,1.184686154,0.119341046,1.160007573,0.097549784,1.192236504,0.097384378,1.190278073,0.092697054,1.166565026,0.099810872,1.191777898,0.100929797,1.184096006,0.070260096,1.254040583,0.106142637,1.200850103,0.099125092,1.199057858,0.128002675,1.128441712,0.100515626,1.172728678,0.10361127,1.183478698,0.114344485,1.28592901,0.087373026,1.201786948,0.085175303,1.185417266,0.104198744,1.167188358,0.09707087,1.187249343,0.097278613,1.195858745,0.025465862,1.196090769,0.104489899,1.181938735,0.102834541,1.184536155,0.126311891,1.168772297,0.103680925,1.194643228,0.101775526,1.192083307,0.096661392,1.201114471,0.103855188,1.198616166,0.104157474,1.187294565,0.082341472,1.166419124,0.093638682,1.183532915,0.095076278,1.198693374,0.094798463,1.223466755,0.095837582,1.198282112,0.098174023,1.194331926,0.046087922,1.202116843,0.082416983,1.184323808,0.085149443,1.190349743,0.10505384,1.173849917,0.100919686,1.192221504,0.10429882,1.189733323,0.138672896,1.255518813,0.099487233,1.18920672,0.098552524,1.191110179,0.066826773,1.18876983,0.093770516,1.196424831,0.094603721,1.190364641,0.108379277,1.221375251,0.109455317,1.211161178,0.109723795,1.209937104,0.103011566,1.180239056,0.098949512,1.189729475,0.102084725,1.189900934,0.104513718,1.202816759,0.102074851,1.20177216,0.097759056,1.197623208,0.126605635,1.154555936,0.103449405,1.19596194,0.106223133,1.197703303,0.100938407,1.258308774,0.090323353,1.193663561,0.093551117,1.194839036,0.093463995,1.186366991,0.103227369,1.194037615,0.099694246,1.197027877,0.096068857,1.209075918,0.093624132,1.196156342,0.096073528,1.190706288,0.147762881,1.155448441,0.106541937,1.173815865,0.102503677,1.176344931
