time,actual-u1,actual-u2,S1-noise-u1,S1-noise-u2,S1-gp-u1,S1-gp-u2,S1-proj-u1,S1-proj-u2,S2-noise-u1,S2-noise-u2,S2-gp-u1,S2-gp-u2,S2-proj-u1,S2-proj-u2,S3-noise-u1,S3-noise-u2,S3-gp-u1,S3-gp-u2,S3-proj-u1,S3-proj-u2,S4-noise-u1,S4-noise-u2,S4-gp-u1,S4-gp-u2,S4-proj-u1,S4-proj-u2,S5-noise-u1,S5-noise-u2,S5-gp-u1,S5-gp-u2,S5-proj-u1,S5-proj-u2,S6-noise-u1,S6-noise-u2,S6-gp-u1,S6-gp-u2,S6-proj-u1,S6-proj-u2,S7-noise-u1,S7-noise-u2,S7-gp-u1,S7-gp-u2,S7-proj-u1,S7-proj-u2,S8-noise-u1,S8-noise-u2,S8-gp-u1,S8-gp-u2,S8-proj-u1,S8-proj-u2,S9-noise-u1,S9-noise-u2,S9-gp-u1,S9-gp-u2,S9-proj-u1,S9-proj-u2,S10-noise-u1,S10-noise-u2,S10-gp-u1,S10-gp-u2,S10-proj-u1,S10-proj-u2,S11-noise-u1,S11-noise-u2,S11-gp-u1,S11-gp-u2,S11-proj-u1,S11-proj-u2,S12-noise-u1,S12-noise-u2,S12-gp-u1,S12-gp-u2,S12-proj-u1,S12-proj-u2,S13-noise-u1,S13-noise-u2,S13-gp-u1,S13-gp-u2,S13-proj-u1,S13-proj-u2,S14-noise-u1,S14-noise-u2,S14-gp-u1,S14-gp-u2,S14-proj-u1,S14-proj-u2,S15-noise-u1,S15-noise-u2,S15-gp-u1,S15-gp-u2,S15-proj-u1,S15-proj-u2,S16-noise-u1,S16-noise-u2,S16-gp-u1,S16-gp-u2,S16-proj-u1,S16-proj-u2,S17-noise-u1,S17-noise-u2,S17-gp-u1,S17-gp-u2,S17-proj-u1,S17-proj-u2,S18-noise-u1,S18-noise-u2,S18-gp-u1,S18-gp-u2,S18-proj-u1,S18-proj-u2,S19-noise-u1,S19-noise-u2,S19-gp-u1,S19-gp-u2,S19-proj-u1,S19-proj-u2,S20-noise-u1,S20-noise-u2,S20-gp-u1,S20-gp-u2,S20-proj-u1,S20-proj-u2,S21-noise-u1,S21-noise-u2,S21-gp-u1,S21-gp-u2,S21-proj-u1,S21-proj-u2,S22-noise-u1,S22-noise-u2,S22-gp-u1,S22-gp-u2,S22-proj-u1,S22-proj-u2,S23-noise-u1,S23-noise-u2,S23-gp-u1,S23-gp-u2,S23-proj-u1,S23-proj-u2,S24-noise-u1,S24-noise-u2,S24-gp-u1,S24-gp-u2,S24-proj-u1,S24-proj-u2,S25-noise-u1,S25-noise-u2,S25-gp-u1,S25-gp-u2,S25-proj-u1,S25-proj-u2,S26-noise-u1,S26-noise-u2,S26-gp-u1,S26-gp-u2,S26-proj-u1,S26-proj-u2,S27-noise-u1,S27-noise-u2,S27-gp-u1,S27-gp-u2,S27-proj-u1,S27-proj-u2,S28-noise-u1,S28-noise-u2,S28-gp-u1,S28-gp-u2,S28-proj-u1,S28-proj-u2,S29-noise-u1,S29-noise-u2,S29-gp-u1,S29-gp-u2,S29-proj-u1,S29-proj-u2,S30-noise-u1,S30-noise-u2,S30-gp-u1,S30-gp-u2,S30-proj-u1,S30-proj-u2
0,0,1,0.001477131,0.999687225,0.000673772,0.999422458,-0.000159933,0.999488482,0.001231277,0.998997238,0.001221802,0.999521731,0.000234478,1.000421842,-0.00142343,1.001710905,-1.71E-05,1.000852744,0.000158405,0.999749836,-0.000451229,1.000868092,0.000287248,1.001019389,-0.000258152,0.999946838,0.000319547,1.000625518,0.000343039,1.000828651,-7.31E-05,1.000625147,-0.001463239,1.001443951,-0.000453888,1.001338945,-0.000120464,1.000409036,0.00075989,0.99902194,0.000119607,1.000295252,0.000207124,1.000143449,-8.84E-05,1.000776199,7.12E-05,1.000005151,-0.000213806,1.000112575,-0.000556726,1.000804285,-0.000651547,0.999579947,-0.000285699,0.999993906,-0.000124564,0.998567151,7.11E-05,0.99951542,-6.98E-05,0.999787608,0.001135087,1.000824686,0.001004899,0.999803245,0.000171309,1.00002293,0.000158531,1.000207323,-0.000165697,0.999913704,-0.000202536,0.999996661,-0.001516704,1.001799714,-0.000931344,1.000900224,-0.000230303,0.999849049,0.000947135,1.000329164,0.000437616,1.000347334,-0.000344305,1.00001013,0.000410622,0.999063506,-5.83E-05,0.999794063,0.000162616,1.000281843,0.001481261,1.002095934,0.001164211,1.001240277,0.000298721,1.000580563,-0.001814897,0.999911989,-1.52E-05,0.998978078,0.000403283,0.999742067,-0.00111528,0.998769906,-0.000418332,0.999355585,4.21E-05,1.000135247,0.000425167,1.001076769,0.000963045,1.000387794,0.000212129,1.000031497,0.000677348,0.999718756,0.000903303,0.999099696,2.03E-05,0.999421554,0.001507012,1.000128189,0.001151693,0.99862491,-0.000123734,0.999898172,-0.000423448,0.999692999,2.89E-05,0.999074337,5.69E-05,1.000394947,-0.000406091,1.000818852,2.20E-05,0.998978582,-0.000165802,1.000010251,-0.000120085,0.999609365,-0.000403747,0.999430267,-0.000226962,1.000033501,-0.000628769,1.000353252,0.000118331,1.000246875,-0.0001425,1.000038353,-0.001745743,1.000775943,-0.000656422,1.000234751,-0.000129293,0.999828371,-0.001024091,1.000885519,-5.61E-05,0.999665161,0.000301496,0.999455647,-0.000806279,1.000648686,-0.001429468,1.000079333,-0.000421079,1.000177854,0.000376126,0.99980094,-0.000400956,0.999457416,0.000124333,1.000041765,0.000511607,1.000769028,0.000739419,1.000304513,0.000168283,0.999928312
0.01001001,0.010110712,1.020170299,0.011280711,1.018937468,0.010380909,1.019631236,0.009929767,1.019663809,0.009957613,1.020808077,0.010979203,1.019853277,0.010337439,1.020578177,0.00981216,1.020153276,0.010049005,1.020695314,0.010246181,1.01993238,0.010672428,1.021030302,0.010160761,1.020862467,0.00985433,1.020119313,0.010826252,1.02155469,0.010370953,1.020871166,0.010052745,1.020763265,0.010036491,1.02020681,0.00967737,1.021354853,0.009986745,1.020573111,0.009388418,1.021978622,0.010284051,1.020450664,0.010318659,1.020315234,0.009750619,1.020314383,0.010099751,1.02028289,0.009913141,1.020303079,0.009603373,1.017960903,0.009574918,1.020276352,0.009839199,1.020171022,0.009494759,1.020605501,0.010036055,1.019767256,0.010038094,1.019973381,0.011087117,1.02004754,0.010894284,1.020234833,0.010274335,1.020196831,0.009931543,1.020236028,0.009864745,1.020242476,0.009924929,1.020169312,0.00979289,1.020731139,0.009348886,1.020878799,0.009887553,1.020019118,0.009382796,1.019931318,0.0103034,1.020546535,0.009762845,1.020171893,0.009299478,1.019413641,0.01003258,1.02016994,0.010269667,1.020445874,0.010242225,1.019965095,0.011132397,1.021136581,0.010420476,1.020743798,0.011836632,1.019060457,0.010114874,1.019208791,0.010499535,1.019926202,0.010365581,1.018730025,0.009819547,1.01973297,0.010133363,1.020304534,0.010988794,1.02080974,0.010891681,1.020263318,0.010292416,1.020204635,0.010757229,1.019451799,0.010691411,1.019357646,0.010126413,1.019616256,0.010719115,1.019376521,0.010905921,1.019532732,0.010010395,1.020078749,0.010015142,1.018202138,0.010107946,1.019423239,0.01018172,1.020547197,0.00946359,1.016736515,0.010118225,1.019325635,0.009941157,1.0201656,0.0087772,1.019189626,0.00979425,1.019663872,0.009879512,1.020207918,0.008875643,1.021807167,0.010144449,1.020197619,0.009976771,1.020196374,0.009526976,1.019828693,0.009506713,1.020100508,0.009981808,1.020013402,0.010117377,1.018277241,0.010242088,1.019936661,0.010403815,1.019641477,0.007255859,1.0209354,0.008782718,1.020238608,0.009705713,1.020326441,0.010279507,1.020258781,0.009859343,1.019781818,0.010224723,1.020208488,0.010904816,1.02080006,0.010739472,1.020304469,0.010292433,1.020101483
0.02002002,0.020424832,1.040640888,0.021197852,1.040154048,0.020367527,1.040135044,0.020223573,1.040139847,0.021043162,1.040099912,0.021011109,1.040446556,0.020643972,1.041034794,0.021351213,1.042096482,0.020336886,1.040906054,0.020537855,1.040415477,0.020525337,1.039131871,0.020275332,1.041051634,0.020170186,1.040591676,0.020641102,1.04214728,0.020619751,1.041207257,0.020381341,1.041201845,0.018925584,1.042935611,0.020022186,1.041655523,0.020297174,1.041037662,0.021115311,1.041969763,0.02064502,1.040900385,0.020633699,1.040786751,0.02151267,1.040032662,0.020357439,1.04085953,0.02024348,1.040793445,0.01860597,1.042010651,0.019989644,1.041124052,0.020167212,1.04064888,0.021812529,1.041494669,0.020239466,1.040325344,0.020349848,1.040459361,0.020829142,1.040602422,0.021017489,1.040893864,0.020580915,1.040670979,0.019970936,1.040637055,0.020132154,1.040818475,0.020255419,1.040642346,0.019412807,1.039444251,0.019814963,1.041159687,0.020208491,1.040489584,0.020722354,1.041285235,0.020416762,1.041006897,0.020073843,1.040634149,0.019965435,1.041809297,0.020342171,1.040769268,0.020580012,1.040910106,0.02131392,1.04186491,0.021316295,1.041386519,0.02074539,1.041207295,0.020251441,1.040294039,0.020450629,1.039744232,0.020798927,1.040410572,0.020126717,1.041221888,0.020239267,1.040351643,0.02042841,1.040774135,0.021913084,1.039887966,0.021045875,1.040500692,0.02057692,1.040677844,0.021647861,1.040787004,0.02073886,1.039933235,0.020436034,1.040111409,0.020892107,1.038094682,0.02092355,1.040567908,0.020347542,1.04055942,0.020337911,1.040696197,0.020400533,1.040052631,0.020509494,1.041000024,0.020560841,1.040507703,0.020416872,1.039939639,0.020251798,1.040622202,0.022427495,1.040593071,0.020182472,1.040189462,0.02018986,1.040682736,0.021637165,1.038486896,0.02038141,1.04049103,0.020299478,1.040654408,0.019826984,1.04006389,0.019869864,1.040366708,0.020296455,1.040498615,0.019860254,1.040669658,0.020697577,1.04047791,0.020709689,1.040128076,0.020391641,1.040484105,0.019202745,1.040706324,0.020036145,1.040775512,0.019349747,1.039585437,0.020307993,1.040371983,0.02052868,1.040675474,0.022048858,1.040643952,0.020962427,1.040625251,0.020619585,1.040574964
0.03003003,0.030945362,1.061410939,0.029331364,1.060528965,0.030628505,1.060935483,0.030724345,1.060915567,0.031451282,1.06098331,0.031312667,1.061307538,0.031156893,1.061791123,0.031972,1.059950167,0.03084607,1.061475891,0.03103631,1.061197486,0.029427938,1.064394134,0.030631423,1.061587852,0.03069247,1.061364025,0.030293939,1.060823489,0.031090239,1.061841673,0.030915703,1.061939897,0.03149096,1.061859719,0.030581485,1.062250759,0.030814426,1.061801122,0.030500376,1.062037302,0.031205429,1.06164647,0.031154762,1.061557388,0.027442121,1.062875497,0.030843442,1.061730113,0.030779475,1.06158314,0.030070221,1.061558932,0.03059692,1.062144378,0.030701591,1.061425876,0.029217873,1.061358873,0.030680142,1.061184732,0.030867622,1.061244713,0.031078258,1.061103549,0.03137454,1.061788311,0.031094109,1.061444442,0.030205597,1.061234432,0.030634555,1.06164982,0.03079192,1.061414914,0.029448004,1.061240505,0.030470614,1.061746768,0.030735698,1.061259932,0.031618712,1.06140252,0.030776039,1.06173942,0.030591487,1.061395901,0.030964384,1.063323976,0.030870963,1.061607304,0.031096518,1.061673427,0.031295342,1.061384534,0.031718422,1.06198477,0.031276134,1.061969608,0.03069033,1.058705691,0.030994252,1.060583118,0.031305137,1.06119388,0.03162023,1.06243845,0.030845007,1.061224733,0.030930521,1.061542913,0.031138122,1.058895943,0.031427008,1.061094735,0.031068483,1.061450349,0.030845801,1.059745986,0.031043297,1.060815893,0.03095199,1.060905826,0.031213036,1.062214008,0.031202057,1.061749154,0.030890631,1.061339942,0.030827179,1.06158265,0.030908214,1.06096491,0.031043206,1.061752151,0.031529245,1.06072211,0.030920851,1.060826239,0.030769013,1.061378098,0.029171355,1.061358042,0.030763977,1.061010021,0.030705998,1.061456923,0.030597267,1.059339271,0.030833121,1.061123318,0.030828021,1.061412396,0.03139802,1.060871781,0.030436806,1.061018339,0.030817865,1.061283124,0.033632307,1.060840346,0.031319048,1.061294023,0.031222506,1.060914126,0.028646306,1.058874619,0.029831793,1.061479171,0.030572366,1.061524215,0.030766926,1.059799549,0.030947453,1.061233749,0.031039512,1.061442087,0.030083105,1.059738099,0.031408915,1.061267166,0.031152426,1.061347875
0.04004004,0.041675295,1.082479013,0.040325589,1.08406655,0.041159049,1.082032815,0.041435497,1.081989903,0.042634028,1.083025391,0.041879237,1.08244089,0.041879295,1.082845728,0.042800224,1.082023186,0.041576354,1.082395268,0.041744668,1.082277824,0.042635446,1.082586431,0.041229418,1.082469798,0.041424667,1.082433564,0.041753686,1.08251035,0.041783343,1.082777855,0.041659028,1.082976521,0.042242647,1.084080589,0.041356297,1.083147986,0.041540982,1.082862701,0.039911335,1.081236298,0.041968281,1.082689799,0.041885025,1.082625617,0.043825549,1.081685403,0.041557166,1.082889781,0.041525622,1.082669981,0.041184337,1.083510451,0.041401005,1.083357004,0.041445118,1.082501015,0.040886192,1.081770647,0.041357018,1.082340188,0.041595368,1.082328146,0.041533512,1.082249841,0.041965587,1.082925659,0.041816886,1.082515827,0.041478332,1.08366373,0.041370219,1.082743447,0.04153751,1.082485753,0.040965713,1.084192854,0.041319613,1.082642652,0.04147227,1.082328591,0.040908276,1.083822111,0.041379735,1.082752771,0.041318701,1.082455964,0.042255132,1.08206886,0.041619554,1.082697253,0.041822152,1.082734169,0.041427008,1.08348472,0.042341285,1.082924835,0.042015802,1.083029751,0.041231091,1.081363963,0.041748003,1.081723558,0.042020979,1.082275337,0.042567327,1.08335686,0.041641075,1.082362981,0.041642498,1.082609495,0.041537335,1.081824519,0.042036451,1.082039098,0.041770374,1.08252109,0.041930899,1.081588021,0.041602519,1.081995791,0.041677573,1.081998493,0.040559428,1.082968657,0.041739059,1.083094738,0.041642535,1.082418063,0.041741069,1.081498929,0.041632669,1.08216134,0.041785852,1.08280217,0.043016989,1.080761409,0.041633174,1.081989756,0.04149585,1.082432185,0.041289132,1.082799839,0.041542011,1.082127252,0.041432074,1.082529176,0.041848466,1.083071688,0.041503273,1.082089649,0.041565933,1.082468872,0.04195526,1.082611378,0.041211203,1.082039727,0.041548815,1.08236552,0.041786613,1.082183185,0.042114951,1.082388826,0.041944598,1.081998418,0.041180848,1.084013817,0.0406712,1.082553422,0.041318165,1.082571859,0.040710724,1.082224469,0.041780441,1.082371632,0.041759871,1.082507047,0.040949337,1.081982051,0.042079712,1.082229278,0.041894392,1.082419081
0.05005005,0.052617601,1.103843005,0.050702791,1.103901154,0.051954718,1.103426,0.05235972,1.103360179,0.053435446,1.103748967,0.052706432,1.103849921,0.052814086,1.104196365,0.051813108,1.102681502,0.052527776,1.103654249,0.052665717,1.103653825,0.051937233,1.103196687,0.052069638,1.103693983,0.052368952,1.103799038,0.051265524,1.102546297,0.052700101,1.104017857,0.052613897,1.104309165,0.052980202,1.103544056,0.052347753,1.104352195,0.052479999,1.104219736,0.054720974,1.102666503,0.052936654,1.104030058,0.052827909,1.103989565,0.054195364,1.103952176,0.052498217,1.104333754,0.052483316,1.104052501,0.051828915,1.105057567,0.05240611,1.10477964,0.052400756,1.103872009,0.051925385,1.103624412,0.052269204,1.103786251,0.05253556,1.103707635,0.051509734,1.103935246,0.052790911,1.104312692,0.052752172,1.103883026,0.051642462,1.103283761,0.052337676,1.104104975,0.052494919,1.103852255,0.05347093,1.102993317,0.052365764,1.103848613,0.052421121,1.103692975,0.052188126,1.103502767,0.052226539,1.104053244,0.052258682,1.103811941,0.051124728,1.105828678,0.052588671,1.104050095,0.052759638,1.104090982,0.053342025,1.103940646,0.053187374,1.104199157,0.052967507,1.104385198,0.054282409,1.10324279,0.052714225,1.103162994,0.052949665,1.103652368,0.051073646,1.103993931,0.052631874,1.103774655,0.052567162,1.103971792,0.0531445,1.105673278,0.05287557,1.103326348,0.052685611,1.103887749,0.051219054,1.103489183,0.052414485,1.103463883,0.052615448,1.10338707,0.054078028,1.104317425,0.052532324,1.104622095,0.052606676,1.103791997,0.052395088,1.104344245,0.052575668,1.103642015,0.052740344,1.104148327,0.052382646,1.104841292,0.052556899,1.103433089,0.052435033,1.103782876,0.052455332,1.103437945,0.052519987,1.103541522,0.05237047,1.103897232,0.052119014,1.105030334,0.052395337,1.103384217,0.052515918,1.103821362,0.051614734,1.102919373,0.052196603,1.103414783,0.052492282,1.103743464,0.053539331,1.10437845,0.05309349,1.103764798,0.052879583,1.103378845,0.051566385,1.103869313,0.051722456,1.103924926,0.052275976,1.103915357,0.052193217,1.104288538,0.0528099,1.103788753,0.052693033,1.103868039,0.05490468,1.102728759,0.052975735,1.103509411,0.052848466,1.103786096
0.06006006,0.063775232,1.125500091,0.062300134,1.124653804,0.063011446,1.125112723,0.063500125,1.125023954,0.06389436,1.125635314,0.063790157,1.125536527,0.06396422,1.125840381,0.063708783,1.124559885,0.063700613,1.125242597,0.063802908,1.125322915,0.06300082,1.125733977,0.063152354,1.125254891,0.063528826,1.125457625,0.065528868,1.125630696,0.063841655,1.125562273,0.063783959,1.125935516,0.064635142,1.127283283,0.063557087,1.125865919,0.063634528,1.125870069,0.064894821,1.126242974,0.064113682,1.125665727,0.063985519,1.125646418,0.064611265,1.126131988,0.063666406,1.126057282,0.063656067,1.125727561,0.065819358,1.126561394,0.063616378,1.126427756,0.063571705,1.125536035,0.064795595,1.125631623,0.063415992,1.125517261,0.063691416,1.125380212,0.064253714,1.125940349,0.063850922,1.125955283,0.063903165,1.125543187,0.063813114,1.125113471,0.063535725,1.12573859,0.063667407,1.125512096,0.06490116,1.127086328,0.063612882,1.125364525,0.063585026,1.125351068,0.063630903,1.127177089,0.06331533,1.125644756,0.06341427,1.125461445,0.064786904,1.124500218,0.063779177,1.12567445,0.063912597,1.125740065,0.065548068,1.126200983,0.064259146,1.125799228,0.06413404,1.126033414,0.064679958,1.124083296,0.063895322,1.124898143,0.064093647,1.125322093,0.063284302,1.124065222,0.063821873,1.125465489,0.063707989,1.125626947,0.06395568,1.124724565,0.063945728,1.124948051,0.063816977,1.125546993,0.062482989,1.122515857,0.063477333,1.125211895,0.063768866,1.125068436,0.061695099,1.125697427,0.063579792,1.126347444,0.063785032,1.125458865,0.065230412,1.124031469,0.063739057,1.125405823,0.06390983,1.125787271,0.063117624,1.125972497,0.06369511,1.125157655,0.063589892,1.125426662,0.062935071,1.124128869,0.063701454,1.125251819,0.063524161,1.125558354,0.064964411,1.124640953,0.063512559,1.125000309,0.063681208,1.12546697,0.063126629,1.12435569,0.063396422,1.125127231,0.063651464,1.125414349,0.064496443,1.125714672,0.064262587,1.125423032,0.064030115,1.125052451,0.06273395,1.12521195,0.062987196,1.12558909,0.063448981,1.125552463,0.064929734,1.128070347,0.064038977,1.125486764,0.063841937,1.125522443,0.06488597,1.125088255,0.064098034,1.125104152,0.06401704,1.12544632
0.07007007,0.075151102,1.147446662,0.073593518,1.14449707,0.074325552,1.147089431,0.074859515,1.146977483,0.07536263,1.148488656,0.075126642,1.14750115,0.075332709,1.147774186,0.075340963,1.147429658,0.075095381,1.147149822,0.075158856,1.147281457,0.072985518,1.145852855,0.074477798,1.147145134,0.074906933,1.147405302,0.07468352,1.148533205,0.07520925,1.147410179,0.075171111,1.147851685,0.075184266,1.146942219,0.074985638,1.147689255,0.075007309,1.147809306,0.076539188,1.148695449,0.075502536,1.147594068,0.075361283,1.147592305,0.073196141,1.147485355,0.075061752,1.148055564,0.075046585,1.14769145,0.076969474,1.149341123,0.07503587,1.148314351,0.074960453,1.14748957,0.074700906,1.146703929,0.074796866,1.147527359,0.075065349,1.147342141,0.075451459,1.148532384,0.075146161,1.147858188,0.075272456,1.147492716,0.076021664,1.147892383,0.074963441,1.147646948,0.075057687,1.147461546,0.075944239,1.147964803,0.075064776,1.147188813,0.074966963,1.147298573,0.074425618,1.146815447,0.074645186,1.147528876,0.074788333,1.1474004,0.07698093,1.146362683,0.075192059,1.147576479,0.075283345,1.147678541,0.077114352,1.147381661,0.075559023,1.147715687,0.075518217,1.147970504,0.074496994,1.146260043,0.075293755,1.146924929,0.075456034,1.147281132,0.075105012,1.147726169,0.075215571,1.147438681,0.075067572,1.147571717,0.074171702,1.14592078,0.07524828,1.146894846,0.075167414,1.147495796,0.075303957,1.147236138,0.074789394,1.147232266,0.075140712,1.147039688,0.075186546,1.149325708,0.074879589,1.148285432,0.075181615,1.147415277,0.074792175,1.147806574,0.075124753,1.147450425,0.075296757,1.147716026,0.07549181,1.146146856,0.075050901,1.147163329,0.074963362,1.147360114,0.074601961,1.145796911,0.075090068,1.147255718,0.074896248,1.147509032,0.075179724,1.147678485,0.074857958,1.146930354,0.075064281,1.147402603,0.075637309,1.148645538,0.074813937,1.147160798,0.075029211,1.147374732,0.075043053,1.14856274,0.075629833,1.147363194,0.075399145,1.1470158,0.076273275,1.147179777,0.074467185,1.147540841,0.074840237,1.147479531,0.075592136,1.146583188,0.075470995,1.147465799,0.075209177,1.147465982,0.075031946,1.147888645,0.075447784,1.147008859,0.075403338,1.147396077
0.08008008,0.086748088,1.169678267,0.086382108,1.170319551,0.085893755,1.169351368,0.086440955,1.169216955,0.086461311,1.167656871,0.086712469,1.169742745,0.086922342,1.16999304,0.08632155,1.172036955,0.086712832,1.169365211,0.086736422,1.169525098,0.087142106,1.169550097,0.086046176,1.16935562,0.086506647,1.169638175,0.087444937,1.168608296,0.086804223,1.169559077,0.08677912,1.170052952,0.086309554,1.1690254,0.086634844,1.169819907,0.086601379,1.170033595,0.086026092,1.169003115,0.087106413,1.169811114,0.086957743,1.169822653,0.085214436,1.16971955,0.086684484,1.170323646,0.086658216,1.169939827,0.087385108,1.170636739,0.086668547,1.170449767,0.086570009,1.169727979,0.088195054,1.170048254,0.086411509,1.169810467,0.086660932,1.169589298,0.087777165,1.169771626,0.086677298,1.170024842,0.086863119,1.169727003,0.085746058,1.170282893,0.086620181,1.169831078,0.086668364,1.169696023,0.087693744,1.168694229,0.086725231,1.169318399,0.086569884,1.169531272,0.084859407,1.168958181,0.086215383,1.169704872,0.086383762,1.169624779,0.085031758,1.170179468,0.08682843,1.169759811,0.086874524,1.169901913,0.089001853,1.169832023,0.08708938,1.169938412,0.087122986,1.170192218,0.087279556,1.170753637,0.086912021,1.16923841,0.08704005,1.169525133,0.086292052,1.170075349,0.086817467,1.169694904,0.086648787,1.169801265,0.087745626,1.168417732,0.086784576,1.169156509,0.086740167,1.16972966,0.087856755,1.171019943,0.086349196,1.169518045,0.086733721,1.169295821,0.087311513,1.171242576,0.086430038,1.17044881,0.086798599,1.169656371,0.088292964,1.169623029,0.086734732,1.169772231,0.086904613,1.169929645,0.086225403,1.169370299,0.086627356,1.169448397,0.086557996,1.169579252,0.087310933,1.170010639,0.086689567,1.169549356,0.086489613,1.16974499,0.086308614,1.169515467,0.086434331,1.169165962,0.086668323,1.16962347,0.085699607,1.170609209,0.086452283,1.169499367,0.086628071,1.169619672,0.086565632,1.169886029,0.087202456,1.169583498,0.086989652,1.169264227,0.08635981,1.168871115,0.086164306,1.169774575,0.086452128,1.169692074,0.086940577,1.171066881,0.08710942,1.169724429,0.086797902,1.169695291,0.08595078,1.169873428,0.087026275,1.169217665,0.087010264,1.169630799
0.09009009,0.098569017,1.192189546,0.095773336,1.191627255,0.097713178,1.191892602,0.098246882,1.191736169,0.100077629,1.193594413,0.098544597,1.192258749,0.098736138,1.192492253,0.098826605,1.191528695,0.098553945,1.191877816,0.098538659,1.19204771,0.098754579,1.191614759,0.097857681,1.191875711,0.098330169,1.192150399,0.100298655,1.192943489,0.098627993,1.192004859,0.098610448,1.192534713,0.098707847,1.192239881,0.098506242,1.192253269,0.098419659,1.192537471,0.099173403,1.192673927,0.098928508,1.192311655,0.098778214,1.192332558,0.099738212,1.191699837,0.09853504,1.192856302,0.098493677,1.19246715,0.09770658,1.192799719,0.098518256,1.19284155,0.098403236,1.192246054,0.098113803,1.191668729,0.098259806,1.192360227,0.098480247,1.192115895,0.098448165,1.192011433,0.098445126,1.192457178,0.098677768,1.192240858,0.09938935,1.192047538,0.098505582,1.192290312,0.098502916,1.192210112,0.099108512,1.1913935,0.098597987,1.191748669,0.09839653,1.192043999,0.097791519,1.192661821,0.098025402,1.192169793,0.098203573,1.192129206,0.098795088,1.191843497,0.098689521,1.192225517,0.098689887,1.192404416,0.098869445,1.192300908,0.098852534,1.192456588,0.098950944,1.192693076,0.099200771,1.193893995,0.098752647,1.191832698,0.098848164,1.192048372,0.09955559,1.19324715,0.098632033,1.192232369,0.098454701,1.192310407,0.097885561,1.193401525,0.098555958,1.191722001,0.098537523,1.19224337,0.097856107,1.192034256,0.098155474,1.192062748,0.098550505,1.191831278,0.099265577,1.19268766,0.098229667,1.192848131,0.098638887,1.192176874,0.098010602,1.192412885,0.098571016,1.192366379,0.098735561,1.192423013,0.097868739,1.191637146,0.098427535,1.192009535,0.098376908,1.192078353,0.09802611,1.192123199,0.098503742,1.192127411,0.098306808,1.192260446,0.098355152,1.192092523,0.098244248,1.191697947,0.098496161,1.192124378,0.098475305,1.191278372,0.098314445,1.192127097,0.098451333,1.192143851,0.098091679,1.191144791,0.09898729,1.192080686,0.098804396,1.191792453,0.097737149,1.193508086,0.098080552,1.19228409,0.098287896,1.192185073,0.09775,1.191098974,0.098957836,1.192259624,0.098610841,1.19220406,0.097711623,1.192060817,0.098834899,1.191723479,0.09884063,1.192145175
