time,actual-u1,actual-u2,S1-noise-u1,S1-noise-u2,S1-gp-u1,S1-gp-u2,S1-proj-u1,S1-proj-u2,S2-noise-u1,S2-noise-u2,S2-gp-u1,S2-gp-u2,S2-proj-u1,S2-proj-u2,S3-noise-u1,S3-noise-u2,S3-gp-u1,S3-gp-u2,S3-proj-u1,S3-proj-u2,S4-noise-u1,S4-noise-u2,S4-gp-u1,S4-gp-u2,S4-proj-u1,S4-proj-u2,S5-noise-u1,S5-noise-u2,S5-gp-u1,S5-gp-u2,S5-proj-u1,S5-proj-u2,S6-noise-u1,S6-noise-u2,S6-gp-u1,S6-gp-u2,S6-proj-u1,S6-proj-u2,S7-noise-u1,S7-noise-u2,S7-gp-u1,S7-gp-u2,S7-proj-u1,S7-proj-u2,S8-noise-u1,S8-noise-u2,S8-gp-u1,S8-gp-u2,S8-proj-u1,S8-proj-u2,S9-noise-u1,S9-noise-u2,S9-gp-u1,S9-gp-u2,S9-proj-u1,S9-proj-u2,S10-noise-u1,S10-noise-u2,S10-gp-u1,S10-gp-u2,S10-proj-u1,S10-proj-u2,S11-noise-u1,S11-noise-u2,S11-gp-u1,S11-gp-u2,S11-proj-u1,S11-proj-u2,S12-noise-u1,S12-noise-u2,S12-gp-u1,S12-gp-u2,S12-proj-u1,S12-proj-u2,S13-noise-u1,S13-noise-u2,S13-gp-u1,S13-gp-u2,S13-proj-u1,S13-proj-u2,S14-noise-u1,S14-noise-u2,S14-gp-u1,S14-gp-u2,S14-proj-u1,S14-proj-u2,S15-noise-u1,S15-noise-u2,S15-gp-u1,S15-gp-u2,S15-proj-u1,S15-proj-u2,S16-noise-u1,S16-noise-u2,S16-gp-u1,S16-gp-u2,S16-proj-u1,S16-proj-u2,S17-noise-u1,S17-noise-u2,S17-gp-u1,S17-gp-u2,S17-proj-u1,S17-proj-u2,S18-noise-u1,S18-noise-u2,S18-gp-u1,S18-gp-u2,S18-proj-u1,S18-proj-u2,S19-noise-u1,S19-noise-u2,S19-gp-u1,S19-gp-u2,S19-proj-u1,S19-proj-u2,S20-noise-u1,S20-noise-u2,S20-gp-u1,S20-gp-u2,S20-proj-u1,S20-proj-u2,S21-noise-u1,S21-noise-u2,S21-gp-u1,S21-gp-u2,S21-proj-u1,S21-proj-u2,S22-noise-u1,S22-noise-u2,S22-gp-u1,S22-gp-u2,S22-proj-u1,S22-proj-u2,S23-noise-u1,S23-noise-u2,S23-gp-u1,S23-gp-u2,S23-proj-u1,S23-proj-u2,S24-noise-u1,S24-noise-u2,S24-gp-u1,S24-gp-u2,S24-proj-u1,S24-proj-u2,S25-noise-u1,S25-noise-u2,S25-gp-u1,S25-gp-u2,S25-proj-u1,S25-proj-u2,S26-noise-u1,S26-noise-u2,S26-gp-u1,S26-gp-u2,S26-proj-u1,S26-proj-u2,S27-noise-u1,S27-noise-u2,S27-gp-u1,S27-gp-u2,S27-proj-u1,S27-proj-u2,S28-noise-u1,S28-noise-u2,S28-gp-u1,S28-gp-u2,S28-proj-u1,S28-proj-u2,S29-noise-u1,S29-noise-u2,S29-gp-u1,S29-gp-u2,S29-proj-u1,S29-proj-u2,S30-noise-u1,S30-noise-u2,S30-gp-u1,S30-gp-u2,S30-proj-u1,S30-proj-u2
0,0,1,0.016846728,0.998372699,-0.001345049,1.002893143,-0.005535834,1.000629815,0.002166684,0.997156641,0.013377395,1.020515075,0.005992588,1.028662643,-0.010319103,1.047114521,0.012587471,1.009640402,0.003612187,1.005949063,-0.005764333,1.018155422,0.015427969,1.007562317,0.001678813,1.003742189,0.017123898,1.009823001,0.005274414,1.000030486,-0.002962004,1.006905829,0.041277474,0.944856596,0.000294417,1.005263034,-0.004551699,1.007612102,0.029607417,1.027797405,0.035896567,1.010832465,0.01712844,1.004036459,0.011790008,1.026661479,0.004880641,1.014382318,-0.004385374,1.013545272,0.006267841,0.992464726,0.011944677,1.004770606,0.003156806,1.002695971,0.044561896,1.037233137,-0.003699684,1.006316344,-0.01616658,0.997469426,-0.020197321,1.007550712,0.006075592,1.003799601,0.001098763,0.99951942,-0.006187447,1.034365035,0.017208372,0.995043837,0.007521738,1.003427316,0.004158612,1.003133935,0.012559765,0.996960829,-0.010856743,0.994584513,-0.067617677,0.995583759,0.003127476,1.001231883,-0.00727387,0.989936945,-0.029596273,1.043713997,-0.013190524,1.013366928,-0.035219103,1.01575488,-0.011549555,1.022584361,0.02888082,1.002428031,0.01644488,1.007409629,0.042032327,1.007281489,0.002289566,1.016559843,0.000673467,1.021742397,0.029590622,0.97665063,0.017800558,1.001654444,0.00403317,0.998854292,-0.009148148,0.963928579,0.006708028,0.986235034,-0.007307446,0.992290823,0.010050182,1.037893183,0.018667091,1.005575449,0.006950689,1.001472125,0.080695727,1.026022952,0.014908633,1.011986323,0.010861325,1.020994026,-0.029770764,0.972224565,0.011176386,0.993984136,-0.003386026,0.998061243,0.024324611,0.99972719,0.011315377,0.992084999,-0.01545874,0.99720071,0.028335438,1.044029857,0.028505447,0.98290254,0.013010869,0.988141588,-0.022140333,0.952140346,-0.00331296,0.990225296,-0.015967885,0.989449994,0.033656379,0.956261005,0.010422412,0.995158413,-0.003746432,0.997736762,-0.02855468,1.006620191,0.014244898,0.995926475,-0.001359102,0.995534958,-0.005950583,1.010570616,0.001487632,1.005563929,-0.016361794,1.00962443,0.010068323,1.022580285,0.015556296,1.00627848,0.013906017,0.99748157,-0.039466667,1.023032737,0.000409664,1.002729457,-0.019864127,1.004358874
0.01001001,0.009999963,0.997989992,-0.010975145,1.055771433,0.007739044,1.000775674,0.004205418,0.999302878,0.047789599,1.007325291,0.02207502,1.016940284,0.015773543,1.02421271,0.000303691,0.928965809,0.021278222,1.006809755,0.013250396,1.003896768,0.030363175,0.975025647,0.024404562,1.005471435,0.011960573,1.00222273,0.005426087,0.93573262,0.01390158,0.997888815,0.006654117,1.004266104,0.027772087,0.998265929,0.009323788,1.002502418,0.004883255,1.004964283,0.002001883,1.021722241,0.043753922,1.008184976,0.027192754,1.00255729,5.53E-05,0.981401935,0.013929266,1.011193636,0.005413603,1.010744914,-0.00074702,1.041723729,0.02083913,1.001923703,0.012933866,1.000331434,0.045696454,0.957004501,0.005554158,1.003702207,-0.005616818,0.996406134,-0.010478344,1.0231393,0.014950715,1.001440481,0.010353246,0.997800267,0.016145381,0.975823449,0.025577077,0.992333049,0.016861099,0.999942363,0.04445354,0.950521856,0.021782015,0.994709003,0.001121933,0.992690526,0.032622096,1.024741207,0.01232,0.998838592,0.002778539,0.989152225,-0.023258892,0.968645599,-0.003386028,1.010149425,-0.022738483,1.012329545,0.015942746,0.973425816,0.03767814,0.999589917,0.026697697,1.004095354,0.007172925,0.963732053,0.010720576,1.013099835,0.008591959,1.017534798,0.008749325,1.024132649,0.026286517,0.999138394,0.014142302,0.997039841,0.048992271,1.016554799,0.01538004,0.984512022,0.003010177,0.990228058,0.005542672,1.023202911,0.027135069,1.002443108,0.016703228,0.998976935,-0.005174365,1.029937816,0.023159684,1.009295676,0.019401106,1.017549424,0.036700976,0.996891621,0.020015968,0.991837833,0.007093584,0.995588512,0.029461416,0.976089212,0.020374985,0.990120937,-0.003215712,0.994837992,0.050013724,0.977312009,0.036595186,0.981024243,0.022915329,0.98605893,0.011681819,0.968248346,0.006837115,0.988719743,-0.004845229,0.98819638,0.011792585,1.019659713,0.019523959,0.993114212,0.006979762,0.995671261,0.084608936,1.017939428,0.022649553,0.994214018,0.00881024,0.994402095,-0.023754873,1.014714285,0.010676721,1.003128762,-0.004826916,1.007018097,0.051401884,0.970785266,0.023974702,1.003312348,0.022573049,0.995935425,0.03639538,1.032916614,0.009714644,1.000165534,-0.008367792,1.001789043
0.02002002,0.019979726,0.995963988,-0.002699351,1.009732302,0.016859335,0.998675088,0.013940683,0.997923343,0.01605387,1.005916207,0.03081152,1.013417766,0.025519228,1.019884639,0.031408298,0.961948867,0.030003262,1.003993475,0.022883304,1.001805019,-0.009154255,1.024697202,0.033402768,1.003381162,0.022214743,1.000669511,0.020152936,1.040747213,0.022570628,0.995765326,0.016262702,1.001659607,0.025526638,0.982803086,0.018387307,0.999777043,0.014340633,1.002325347,0.02819496,0.948922362,0.051662004,1.005561051,0.037197219,1.001025399,-0.01510057,1.015891378,0.023007963,1.0080507,0.015224832,1.007959929,-0.01790486,0.993900726,0.029766541,0.999120519,0.022707483,0.997979067,-0.022953254,1.005312406,0.014833219,1.001116475,0.004901605,0.995264246,0.043490423,0.906977973,0.023859168,0.999087056,0.019633092,0.996055887,0.066738269,1.039921836,0.033996894,0.989667844,0.026236228,0.996548899,-0.051508655,0.962230869,0.031022116,0.99245773,0.012963102,0.990783166,-0.007598578,1.009230837,0.021537537,0.99645026,0.012834235,0.988281733,0.010144536,1.007191043,0.00642628,1.006971624,-0.010412059,1.009174879,0.051418617,0.963656024,0.046497911,0.996795397,0.036883957,1.000860625,-0.00580706,1.053178406,0.019206864,1.009691433,0.016679194,1.013459148,-0.004433479,1.051964164,0.034809655,0.996645552,0.024206165,0.995195799,0.01620591,0.990738063,0.024092769,0.982802667,0.013282656,0.988177673,-0.019072332,0.95733709,0.03564513,0.999342821,0.026438231,0.996478794,-0.01751629,1.002127377,0.031461725,1.006638727,0.027998871,1.014176733,-0.00763103,1.044933367,0.028885288,0.989710783,0.01751681,0.993149169,0.02382284,1.021127933,0.029463864,0.988179262,0.008876822,0.992526415,0.027920328,0.946686569,0.044735129,0.979163207,0.032777228,0.983997057,-0.044888719,0.986936992,0.016973037,0.987183003,0.006240861,0.986886215,0.02867156,1.009655317,0.028650582,0.991085921,0.017641869,0.993594498,-0.027142588,0.99457878,0.03109925,0.992504988,0.018939638,0.993215903,-0.008908399,0.986279404,0.019894065,1.000721467,0.006587196,1.004440073,0.075876658,0.940363924,0.03243823,1.000374304,0.031266341,0.994330546,0.007019372,1.008715694,0.019041676,0.997632837,0.003041949,0.999253124
0.03003003,0.029939129,0.993921974,0.057996964,0.99534486,0.026014479,0.996589623,0.023669606,0.996492196,0.036136952,0.983994628,0.039585593,1.009946069,0.035242405,1.015671115,0.037193062,1.029752044,0.038761529,1.001191271,0.03251001,0.999674824,0.060818627,1.002562378,0.042421741,1.001290628,0.032441219,0.999082458,0.013560151,1.002625555,0.031280297,0.993658363,0.025855776,0.999083752,0.008584311,1.003932206,0.027483768,0.997085323,0.023818932,0.999694896,0.053692553,1.010969444,0.059619711,1.002959457,0.047143231,0.999441915,0.034216236,0.953858684,0.03211562,1.004951722,0.025046792,1.005189096,0.021964616,0.956571044,0.038725753,0.996359557,0.032476978,0.995637954,0.032349936,0.992326348,0.024136397,0.998557634,0.015388405,0.994045586,0.042287543,0.994124548,0.032799821,0.996738859,0.028936988,0.994286328,0.037444356,1.039791603,0.042466441,0.987046243,0.035642561,0.993241588,0.01044503,1.018153986,0.040279184,0.990206552,0.024671795,0.988861773,-0.030285288,0.962223478,0.030779059,0.994066098,0.022892009,0.987326392,-0.012565228,1.007393567,0.016245575,1.003832046,0.001768297,1.005980851,0.105318459,1.005115895,0.055339245,0.994042699,0.047006662,0.997700522,0.051768269,0.984633111,0.027747035,1.006333422,0.024923118,1.009507141,0.054549073,1.007973855,0.043368922,0.994174545,0.034225685,0.993322305,0.012147738,1.016767703,0.032844983,0.981105014,0.023511192,0.986138376,0.051852903,0.955021991,0.044196138,0.996273976,0.036155648,0.993977762,0.048927338,0.964093758,0.039813456,1.004013569,0.036651383,1.0108714,0.070155423,0.993223028,0.037783419,0.987601377,0.027885633,0.990740693,-0.0386434,1.013593019,0.038580864,0.986258,0.020824541,0.990248146,0.084930085,0.969248331,0.052924089,0.977317562,0.042597775,0.98195287,0.03797666,0.979881093,0.027094276,0.985615085,0.017289584,0.985520595,0.006447094,1.004799588,0.037801318,0.989071963,0.028241575,0.991522658,0.030740672,0.975441166,0.039592782,0.990797664,0.029029901,0.991976894,0.009663949,0.975494084,0.029138484,0.998340267,0.017885598,1.00188791,-0.036689054,1.019166799,0.040945592,0.997463507,0.039985405,0.99266794,0.012424888,0.993444573,0.028389736,0.995129649,0.014367404,0.996748302
0.04004004,0.03987801,0.991863872,0.056386621,0.977453387,0.035203121,0.994517483,0.033391717,0.995010172,0.044330446,1.031550314,0.04839592,1.006523672,0.044937794,1.011565354,0.063573909,1.014126791,0.047551943,0.998402782,0.042129691,0.997507124,0.033442688,1.038846186,0.051460623,0.999198916,0.042639455,0.997461777,-0.046268276,1.038100605,0.040029316,0.991566228,0.035427102,0.996536649,0.01517418,0.994616941,0.036611954,0.994425608,0.033316743,0.997072308,0.062599845,1.029156752,0.067625923,1.000378903,0.057032185,0.99780751,-0.001118075,1.035785611,0.041251116,1.001894859,0.034877808,1.002431502,0.067009878,0.990541301,0.047715596,0.993639248,0.04224157,0.993307077,0.002412789,0.982266913,0.033462581,0.996024121,0.025842979,0.992752115,0.071713965,0.955772647,0.041771528,0.994395359,0.038263738,0.992491099,0.031919806,0.930797434,0.050984315,0.984466218,0.045076025,0.990015425,0.003637127,0.958842099,0.049552322,0.987954955,0.036252259,0.9869255,0.04751936,0.955810018,0.040043525,0.991685266,0.032950582,0.986287194,-0.019789641,0.9927518,0.026071021,1.000729154,0.013806677,1.002794689,0.134356865,1.00721591,0.064201241,0.991329997,0.057068577,0.994610253,0.023887693,1.020485453,0.03633968,1.003024514,0.033312249,1.005671468,-0.000270958,0.986462494,0.051963248,0.991723954,0.044201488,0.99141961,0.077998972,0.979939338,0.041635435,0.979417075,0.033696857,0.984108545,0.036166156,0.986630435,0.052786941,0.993235881,0.045855086,0.991473648,0.047653027,0.993317639,0.048213561,1.001418255,0.045355426,1.007629087,0.027235798,0.941152611,0.046709418,0.985507962,0.038201349,0.988360868,0.041235852,1.034032364,0.047724823,0.984355142,0.032633112,0.988009205,0.023424989,0.999154206,0.061160858,0.975485401,0.052377954,0.979923347,0.034287901,0.971307923,0.037200295,0.984015959,0.028299752,0.98410061,0.069877021,0.98270585,0.046975188,0.987070723,0.038780884,0.989449725,0.024221316,0.996711355,0.048128926,0.989090293,0.039081332,0.990685498,0.022812809,1.00764596,0.038408786,0.99598334,0.029073093,0.999359189,0.049721371,0.972338513,0.049495483,0.994579051,0.048730177,0.99094826,-0.003251737,0.98761765,0.03775779,0.992654203,0.025610544,0.994271772
0.05005005,0.049796209,0.989789552,0.052667728,0.980773123,0.044423889,0.992456833,0.043106754,0.993478016,0.0051093,1.048939,0.057241174,1.003148987,0.054602752,1.007560681,0.06907381,0.941651315,0.056373411,0.995627578,0.051741476,0.995302915,0.094647597,1.045823411,0.060518541,0.99710506,0.052809348,0.99580738,0.059850132,1.013074245,0.048816395,0.989487182,0.045015874,0.994015985,-0.006612014,0.992545433,0.045770633,0.991796197,0.042832585,0.994457019,0.082827182,1.011703118,0.075679498,0.997818046,0.06686548,0.996122979,0.058244381,1.013122586,0.050413316,0.998878217,0.0447165,0.999685805,0.077538524,0.998398023,0.056734884,0.990957955,0.052000498,0.990985232,0.041639545,1.018844536,0.042810646,0.993514322,0.036265078,0.991385689,0.032208463,0.969321698,0.050773131,0.992055963,0.047612002,0.990670053,0.073076854,0.993991564,0.0595491,0.981925683,0.054532704,0.986865817,0.034865551,1.010542396,0.058840623,0.98570237,0.047708911,0.984973852,0.041262357,0.991412607,0.04932988,0.989306879,0.043008438,0.985165084,0.033325028,0.97196822,0.035901773,0.997661357,0.025707912,0.999632582,0.049118655,1.011341466,0.073082986,0.988655405,0.067072248,0.99158533,0.056876941,1.028446884,0.044983366,0.999763343,0.041836066,1.001944771,0.049699556,1.036863633,0.060591551,0.989292309,0.054134643,0.989487871,0.026944972,0.991854396,0.050462862,0.977736835,0.043840397,0.982086822,0.053865619,0.949696195,0.06141637,0.990227767,0.05553652,0.988966117,0.017783698,1.02199897,0.056660706,0.998850793,0.054108022,1.004445533,0.054149874,0.980426807,0.055662327,0.983428847,0.048465753,0.986007495,0.075480238,0.991408476,0.056894566,0.982468642,0.044307293,0.985795796,0.076240928,0.959467826,0.069444212,0.973664786,0.062118923,0.977905557,0.040012501,0.972310178,0.047290557,0.982385549,0.03927051,0.982627298,0.018073285,1.000619638,0.056171202,0.985080547,0.049261263,0.987387019,0.072465445,1.010166348,0.056706443,0.987381093,0.049094515,0.989342014,0.076481776,0.978740471,0.047703766,0.993648822,0.040154255,0.996851443,0.074180876,1.013048775,0.058086582,0.991719966,0.05749994,0.989172605,0.043157452,1.000977906,0.047144792,0.990204688,0.036773383,0.991820795
0.06006006,0.059693562,0.987698822,0.025537946,0.991112209,0.053675404,0.990405808,0.052814377,0.991896363,0.109767686,1.010433038,0.066120012,0.99982036,0.064255652,1.003650893,0.041912964,0.986242149,0.065224824,0.99286516,0.061344586,0.993063255,0.094669099,0.996623311,0.069594612,0.995008048,0.062950412,0.994119188,0.089783666,0.953024889,0.057640231,0.987419446,0.054578625,0.991519663,0.036633602,0.999068204,0.054958561,0.989195331,0.052365152,0.991848378,0.107657472,1.004571768,0.083779275,0.995275486,0.076644438,0.994389082,0.06792458,0.993874794,0.05960107,0.99589985,0.054561248,0.996950933,-0.003867981,0.972546433,0.06578242,0.988313972,0.061752987,0.988671277,0.055129495,1.065891813,0.052179457,0.991026579,0.046654282,0.989948011,0.048212456,0.961552391,0.059803459,0.989720015,0.056980573,0.988822789,0.062618699,0.989523234,0.068159359,0.979422504,0.064008829,0.983787898,0.041317035,1.054752565,0.068143164,0.983448173,0.059045839,0.983005949,0.039410435,0.967244807,0.058637059,0.986930002,0.053064321,0.983960909,0.084014252,1.104325115,0.045736975,0.994627006,0.037481181,0.996803412,0.100721629,1.028871303,0.081983555,0.986016986,0.077020354,0.988621408,0.052415886,1.02422167,0.053676646,0.996548468,0.050484479,0.998320223,0.074746492,0.954470576,0.069252732,0.986878095,0.064025786,0.987526899,0.092141435,1.002065394,0.059325986,0.976062249,0.053943061,0.98007162,0.103812155,0.975171726,0.070083239,0.987248786,0.065199793,0.986455063,0.04846667,1.021116902,0.065153539,0.996309151,0.062906346,1.001316671,0.045184518,0.989843888,0.064641172,0.981362297,0.058680189,0.98367813,0.018657669,0.962668573,0.066088905,0.980596418,0.055851794,0.983613575,0.084353485,0.872327444,0.077772908,0.97185374,0.071821583,0.975896714,0.045952594,0.987364513,0.057364518,0.980723743,0.050200934,0.981101645,0.047027474,0.996081612,0.065388356,0.983099739,0.059684702,0.985319686,0.076455779,0.945494981,0.065324075,0.985668258,0.059069838,0.987946679,0.019430093,0.985412258,0.057022208,0.991334805,0.051133252,0.994362417,0.075596291,0.992219963,0.066717555,0.988885213,0.066294224,0.987341705,0.023660607,0.975544636,0.056549684,0.987779245,0.047857597,0.989392609
0.07007007,0.069569904,0.985591439,0.015271048,0.936188454,0.062956273,0.988362508,0.062514311,0.990265728,0.087225235,1.007541222,0.07503108,0.996536073,0.073871523,0.999830238,0.05957887,0.985656254,0.074105059,0.990114958,0.07093836,0.990788862,0.111615316,0.971743361,0.078687939,0.99290682,0.07306242,0.992397196,0.042298663,0.948576308,0.066499507,0.985361202,0.064115214,0.989045656,0.078241575,0.970326786,0.064174481,0.986621198,0.061912998,0.989245641,0.117670024,0.929174649,0.091924074,0.992749775,0.086370331,0.992606388,0.027227348,1.040290339,0.068813218,0.992957764,0.06441057,0.994225738,0.126376182,0.964238879,0.074856993,0.985705525,0.071498641,0.986364087,-0.01875322,0.980858139,0.061567867,0.988559184,0.057010199,0.988440633,0.083094744,1.057247025,0.068861327,0.9873868,0.066368106,0.98694899,0.070438305,1.008781401,0.076813644,0.976954498,0.073501012,0.980777238,0.061535042,0.957969417,0.077459013,0.981191688,0.070266995,0.981020853,0.121261973,0.942825739,0.06796398,0.984553653,0.063116974,0.98267565,0.026105525,0.977002876,0.055575764,0.9916244,0.049127944,0.993485367,0.149183278,0.977316902,0.090902011,0.983412748,0.086915094,0.985714227,0.064516614,0.950417206,0.062418051,0.993378373,0.059248142,0.994791243,0.040077228,0.956248953,0.077945674,0.98447975,0.07387564,0.985536938,0.027203491,0.994375121,0.068223517,0.974391244,0.064005445,0.978061376,0.095473283,1.013422669,0.078786346,0.984298013,0.07484466,0.983940088,0.135745708,0.96912534,0.073690691,0.993791261,0.071747613,0.998238583,0.090384821,1.019306459,0.073644963,0.979306539,0.068846161,0.981370564,0.064317937,0.952028634,0.075306639,0.978736356,0.067271524,0.981459617,0.090052605,0.947089913,0.086145683,0.970050259,0.081486909,0.973894187,0.024342268,0.931619261,0.067421633,0.979030381,0.061090109,0.979524483,0.02456231,0.965218913,0.074625632,0.981126569,0.070052493,0.983245754,0.124806588,0.933549417,0.073980552,0.983949953,0.069007845,0.986499826,0.071600783,0.931205221,0.066362886,0.989039341,0.062014324,0.991889743,0.054987446,1.025223244,0.075387052,0.986073695,0.075112479,0.985456544,0.048046915,0.967938361,0.065971397,0.985375972,0.058865034,0.98698463
0.08008008,0.079425066,0.983467102,0.055877947,1.019881072,0.072265092,0.986325002,0.07220631,0.98858687,0.055539362,0.988892617,0.083973015,0.993294345,0.083462089,0.996093043,0.062992173,1.009414147,0.083012978,0.987376333,0.08052204,0.988480581,0.116527344,0.949529429,0.087797611,0.990800274,0.083145026,0.990641238,0.08808853,1.013351119,0.075392893,0.983310596,0.073657082,0.986591846,0.057965901,0.974016758,0.073417124,0.984071934,0.071474702,0.986648128,0.116564583,1.029134006,0.100112693,0.990239411,0.096044417,0.990775723,0.09819993,1.022517206,0.078048586,0.990049916,0.074263139,0.991508886,0.096251588,0.979185024,0.083957378,0.983130776,0.081236389,0.984062452,0.10712139,0.9697208,0.07097472,0.986110385,0.067332766,0.986865293,0.077710613,0.990221601,0.077945538,0.985055539,0.075773234,0.98504803,0.06329152,0.956941975,0.085510487,0.974519432,0.083005988,0.977829388,0.092703385,0.934967907,0.086787226,0.978932182,0.081376141,0.979017947,0.122883152,0.991876498,0.077309552,0.982176804,0.073164921,0.981310322,0.096909406,1.026798514,0.065417266,0.988651787,0.060650789,0.990552159,0.077956528,0.934288117,0.099837407,0.980840648,0.096758546,0.982859801,0.081118178,0.939109726,0.071206096,0.990251473,0.068118146,0.991351708,0.092171337,1.003696932,0.086669248,0.982095669,0.08368512,0.983517899,0.08087546,0.973904774,0.077154146,0.972721724,0.074028729,0.976054527,0.108694825,0.984319289,0.087524474,0.981374446,0.084471077,0.981420707,0.088605801,1.013523884,0.082270777,0.991295013,0.080629003,0.995207579,0.029901956,0.953636283,0.082672698,0.977259762,0.078964784,0.979082391,0.059168324,0.948458517,0.084546557,0.976886308,0.078570597,0.979329371,0.027577178,0.97737948,0.094561256,0.968252303,0.091115772,0.971895201,0.065253377,1.019133513,0.077461351,0.977305264,0.071937263,0.977896894,0.084923035,0.98579705,0.083882002,0.97915927,0.080366387,0.981180931,0.040746669,0.929305508,0.082674585,0.982224321,0.07890887,0.985001581,0.04539057,0.98757831,0.075724561,0.986760441,0.072801175,0.989431306,0.061514158,0.991706335,0.084093708,0.983284248,0.083954155,0.98351785,0.117888438,1.000020389,0.075408851,0.982992923,0.069797331,0.984594263
0.09009009,0.089258877,0.981325457,0.108301998,1.006802475,0.081600445,0.98429133,0.081890046,0.986859992,0.071090755,1.018676701,0.09294444,0.99009333,0.093033211,0.992434044,0.104866967,0.989045174,0.09194743,0.984648579,0.090094998,0.98613908,0.051856648,0.975293784,0.096922708,0.988687262,0.093197851,0.988851175,0.110818745,0.954113168,0.084319044,0.981265738,0.083183284,0.984155877,0.07723084,1.089277057,0.082685208,0.981545625,0.081049036,0.984055118,0.134163219,0.927003876,0.108343913,0.987742843,0.105667944,0.988897222,0.045421313,0.982546516,0.087305987,0.987174216,0.084117323,0.988799158,0.149149404,1.031087519,0.09308234,0.980587822,0.090965795,0.981765134,0.076729131,0.991857386,0.080398847,0.983678387,0.077621443,0.985223439,0.093553965,0.952972531,0.087054882,0.982725396,0.08519467,0.983119586,0.092069106,0.899593398,0.094248407,0.972115029,0.092520755,0.97494016,0.109573645,0.964455416,0.096126847,0.976668869,0.092376913,0.976996343,0.088705977,1.045250836,0.086672671,0.979798379,0.083206884,0.979865818,0.037391165,0.935930693,0.075260596,0.985707361,0.072054811,0.987365061,0.089661082,0.956333616,0.108788783,0.978298594,0.106552939,0.980054242,0.091493754,0.979943237,0.080039277,0.987166109,0.077086042,0.987995586,0.088055779,0.932424447,0.095422309,0.979724203,0.093454774,0.981469497,0.105139072,0.951653314,0.086116553,0.971051568,0.084013561,0.974049497,0.106648788,1.026263738,0.096296387,0.978477008,0.094078874,0.978896645,0.111473437,0.969931255,0.090892393,0.988818266,0.089548051,0.992219871,0.068108386,0.976585747,0.091723355,0.975220117,0.089037572,0.976811593,0.072815191,0.96789484,0.093807435,0.975044097,0.089753256,0.977221424,0.053226352,1.014151637,0.103018332,0.966457807,0.100709116,0.969897209,0.121490492,1.002776694,0.087483115,0.97554815,0.082741527,0.976219481,0.09116233,0.951927188,0.093156422,0.977196038,0.090627596,0.979100822,0.090241418,0.951990458,0.091404869,0.98048948,0.088773597,0.983452067,0.066555991,1.040600847,0.085105985,0.984496079,0.083497571,0.98698479,0.13293163,0.913706865,0.092836147,0.980515647,0.092818651,0.98152647,0.0888424,0.995560122,0.084860953,0.980628112,0.080655877,0.98221885
