time,actual-u1,actual-u2,S1-noise-u1,S1-noise-u2,S1-gp-u1,S1-gp-u2,S1-proj-u1,S1-proj-u2,S2-noise-u1,S2-noise-u2,S2-gp-u1,S2-gp-u2,S2-proj-u1,S2-proj-u2,S3-noise-u1,S3-noise-u2,S3-gp-u1,S3-gp-u2,S3-proj-u1,S3-proj-u2,S4-noise-u1,S4-noise-u2,S4-gp-u1,S4-gp-u2,S4-proj-u1,S4-proj-u2,S5-noise-u1,S5-noise-u2,S5-gp-u1,S5-gp-u2,S5-proj-u1,S5-proj-u2,S6-noise-u1,S6-noise-u2,S6-gp-u1,S6-gp-u2,S6-proj-u1,S6-proj-u2,S7-noise-u1,S7-noise-u2,S7-gp-u1,S7-gp-u2,S7-proj-u1,S7-proj-u2,S8-noise-u1,S8-noise-u2,S8-gp-u1,S8-gp-u2,S8-proj-u1,S8-proj-u2,S9-noise-u1,S9-noise-u2,S9-gp-u1,S9-gp-u2,S9-proj-u1,S9-proj-u2,S10-noise-u1,S10-noise-u2,S10-gp-u1,S10-gp-u2,S10-proj-u1,S10-proj-u2,S11-noise-u1,S11-noise-u2,S11-gp-u1,S11-gp-u2,S11-proj-u1,S11-proj-u2,S12-noise-u1,S12-noise-u2,S12-gp-u1,S12-gp-u2,S12-proj-u1,S12-proj-u2,S13-noise-u1,S13-noise-u2,S13-gp-u1,S13-gp-u2,S13-proj-u1,S13-proj-u2,S14-noise-u1,S14-noise-u2,S14-gp-u1,S14-gp-u2,S14-proj-u1,S14-proj-u2,S15-noise-u1,S15-noise-u2,S15-gp-u1,S15-gp-u2,S15-proj-u1,S15-proj-u2,S16-noise-u1,S16-noise-u2,S16-gp-u1,S16-gp-u2,S16-proj-u1,S16-proj-u2,S17-noise-u1,S17-noise-u2,S17-gp-u1,S17-gp-u2,S17-proj-u1,S17-proj-u2,S18-noise-u1,S18-noise-u2,S18-gp-u1,S18-gp-u2,S18-proj-u1,S18-proj-u2,S19-noise-u1,S19-noise-u2,S19-gp-u1,S19-gp-u2,S19-proj-u1,S19-proj-u2,S20-noise-u1,S20-noise-u2,S20-gp-u1,S20-gp-u2,S20-proj-u1,S20-proj-u2,S21-noise-u1,S21-noise-u2,S21-gp-u1,S21-gp-u2,S21-proj-u1,S21-proj-u2,S22-noise-u1,S22-noise-u2,S22-gp-u1,S22-gp-u2,S22-proj-u1,S22-proj-u2,S23-noise-u1,S23-noise-u2,S23-gp-u1,S23-gp-u2,S23-proj-u1,S23-proj-u2,S24-noise-u1,S24-noise-u2,S24-gp-u1,S24-gp-u2,S24-proj-u1,S24-proj-u2,S25-noise-u1,S25-noise-u2,S25-gp-u1,S25-gp-u2,S25-proj-u1,S25-proj-u2,S26-noise-u1,S26-noise-u2,S26-gp-u1,S26-gp-u2,S26-proj-u1,S26-proj-u2,S27-noise-u1,S27-noise-u2,S27-gp-u1,S27-gp-u2,S27-proj-u1,S27-proj-u2,S28-noise-u1,S28-noise-u2,S28-gp-u1,S28-gp-u2,S28-proj-u1,S28-proj-u2,S29-noise-u1,S29-noise-u2,S29-gp-u1,S29-gp-u2,S29-proj-u1,S29-proj-u2,S30-noise-u1,S30-noise-u2,S30-gp-u1,S30-gp-u2,S30-proj-u1,S30-proj-u2
0,0,1,3.40E-05,0.999874543,-0.000155618,0.999406595,0.000209005,0.999718968,1.97E-07,0.998822529,-0.00040586,0.998971958,-2.07E-05,0.999463302,0.001262971,0.998723932,-0.000586043,0.998675664,-0.000319487,0.999310343,-0.001507311,1.002414168,-0.000741735,0.999648999,-0.000671453,1.000118923,0.000428699,0.999329189,5.43E-05,0.999115053,0.000189001,0.999693082,-0.000943766,1.000935154,-0.000777528,0.999060827,-0.000509752,0.999658746,-0.001712207,0.99997634,-0.000830211,0.999793751,-0.000468249,1.000055199,-0.001043564,1.000535722,-0.000565394,0.999537788,-0.000298305,1.000238216,7.29E-05,1.002211838,-0.000302955,1.000073171,-0.00014794,1.000448694,-5.92E-05,0.99960037,-0.000478694,0.999237761,-0.00010375,0.999851787,0.000157999,0.998939398,0.000175136,0.998919055,0.000438404,0.999418511,0.000840596,0.998589749,0.00027001,0.999411523,0.000269031,0.999923052,0.000830002,0.997903378,-0.000707423,0.998191421,-0.000231053,0.999235489,0.000476398,0.999712662,8.31E-05,0.999561675,0.000423279,1.000209226,-0.000716256,0.999703117,-0.000613433,0.99913915,-0.000127937,0.99967775,-0.000738005,0.999180438,-0.00038806,0.999185981,-0.000201582,0.999710777,4.05E-05,1.000973846,9.78E-05,0.998856344,0.000571425,0.999407147,0.00080513,0.999789646,-2.89E-05,0.999520436,0.000160824,1.000014201,-0.000386874,0.999658265,-0.000123885,0.999161024,0.00025738,0.999727124,5.61E-05,0.997489764,-0.000366951,0.998550294,-3.24E-05,0.999302302,0.000951817,1.000949424,0.000703754,0.999576057,0.001024413,1.000170967,3.22E-05,1.0013319,-0.000714957,0.999611433,-0.000337635,1.00039344,0.001895976,1.000824698,0.000139535,1.000040263,0.00042522,1.000687114,-0.000707485,1.000225784,-0.000590058,0.999577638,-0.00028442,1.000131563,-0.001006726,0.99934838,0.000547834,0.999228904,0.000638556,0.999894975,-0.000137146,1.001057631,-0.000371634,0.999749904,-0.000217266,1.000387147,-0.000982529,0.997767652,-0.00016088,0.999101408,0.000230187,0.999920644,6.89E-05,1.000800431,-0.000279866,0.999108185,-3.77E-05,0.999697199,0.001780143,1.000702607,0.000272737,0.999284783,0.000545707,0.999908938,-0.000971005,0.99913572,-0.000489735,0.999656616,4.98E-05,1.00040498
0.01001001,0.009999963,0.997989992,0.009699561,0.996988792,0.009942689,0.997528528,0.010214625,0.99772228,0.009449241,0.997239832,0.009689672,0.997146005,0.009985724,0.997493587,0.009713648,0.996773852,0.009517552,0.996888441,0.00970957,0.997360982,0.010456119,0.997529834,0.009344011,0.997755944,0.009368923,0.998095509,0.009752967,0.996436145,0.010105733,0.997289153,0.010173666,0.997716466,0.009583129,0.99728895,0.009331802,0.997234804,0.009524304,0.997673062,0.009585216,0.997984945,0.009320673,0.997892451,0.009585542,0.998045991,0.010560573,0.997686129,0.00953236,0.997689435,0.009716802,0.998210772,0.011886347,0.999137919,0.00978226,0.998152086,0.009871397,0.998403096,0.008997076,0.997670401,0.00962776,0.997413572,0.009913347,0.997863625,0.010780558,0.99837701,0.010183731,0.997086205,0.010379975,0.997442588,0.011242047,0.998191476,0.01032385,0.99758693,0.01027032,0.99795191,0.008424609,0.996590888,0.009376235,0.996433309,0.009750002,0.997250739,0.011067726,1.000229985,0.01016328,0.997681264,0.010418341,0.998162695,0.008981132,0.998635077,0.009509182,0.997284457,0.009887688,0.997672679,0.007589521,0.998686462,0.009686258,0.997358639,0.009805546,0.997739034,0.009437866,0.995720995,0.010170862,0.997030774,0.010535284,0.997433941,0.008638248,0.997460014,0.010021329,0.997639901,0.010138715,0.997998985,0.008454639,0.996142398,0.009945962,0.997307491,0.010238579,0.997721779,0.008606668,0.998060045,0.00974934,0.996791796,0.010003109,0.997355694,0.010235614,0.997972185,0.010732792,0.997745251,0.010965256,0.998183591,0.009509863,0.999611952,0.009401324,0.9977692,0.009687187,0.998361947,0.010274275,0.999265494,0.010218761,0.998121622,0.010427993,0.998598394,0.011458665,0.99953986,0.009522465,0.997704198,0.009752283,0.998106117,0.01056353,0.995590411,0.010546706,0.997420373,0.010578682,0.997911982,0.010397082,0.997865825,0.009720347,0.997886948,0.00981633,0.998350699,0.010783597,0.999167183,0.009898027,0.997300175,0.010205134,0.997925796,0.010543246,0.997893041,0.009799492,0.997254237,0.009976339,0.997686138,0.010444874,0.996924528,0.010271154,0.997451011,0.010468702,0.997912128,0.008916517,0.998785064,0.00960463,0.997807961,0.010027218,0.998375106
0.02002002,0.019979726,0.995963988,0.021100628,0.996604859,0.020011271,0.995619335,0.020199572,0.995709219,0.020782389,0.995635231,0.019756507,0.995285286,0.019971771,0.995505761,0.019579092,0.995514975,0.019592944,0.995064439,0.019717671,0.995392173,0.020433273,0.99674176,0.019402711,0.995833175,0.019387371,0.996057155,0.02063143,0.996515962,0.020130005,0.995428961,0.020139021,0.995722089,0.018804915,0.996343131,0.019412055,0.995373968,0.019536554,0.995670231,0.020511588,0.996510346,0.019439212,0.995960837,0.019616578,0.996020142,0.018296931,0.995197373,0.019600586,0.995805901,0.0197109,0.996167528,0.019437878,0.994564684,0.019839217,0.996200637,0.019869552,0.996342372,0.020056982,0.995569162,0.01970513,0.995555077,0.019909595,0.995858959,0.020648896,0.993496275,0.020168978,0.995219794,0.02030449,0.995449067,0.021021097,0.996949469,0.020349486,0.995726799,0.020250706,0.995961784,0.020079905,0.99573554,0.019432664,0.994636383,0.01971285,0.995249504,0.019059948,0.995131024,0.020214585,0.995768751,0.020392688,0.996101986,0.020082072,0.994810712,0.019601629,0.99539681,0.019882793,0.995651389,0.019285135,0.99494744,0.019732705,0.995495988,0.019792174,0.995748173,0.01926916,0.996802401,0.020215159,0.995171302,0.020480583,0.995443302,0.020731463,0.99748777,0.020044299,0.995728748,0.020097636,0.995968505,0.021049154,0.99668096,0.019987956,0.995420986,0.020200208,0.995700475,0.019270264,0.994351801,0.019835494,0.994994905,0.02001609,0.995390242,0.019319973,0.996972896,0.020735159,0.99587971,0.020888212,0.99617866,0.019059419,0.997647009,0.019488329,0.995891746,0.019691253,0.996315146,0.020745992,0.996512318,0.020269069,0.996172179,0.020409418,0.996497864,0.019963436,0.996351533,0.019605501,0.995798432,0.01976643,0.99606517,0.021629064,0.9968994,0.02052062,0.995574823,0.020501042,0.995911025,0.018979921,0.997082185,0.019784003,0.995990516,0.019827687,0.99630003,0.020472765,0.996778445,0.019930938,0.995462506,0.020161192,0.995914167,0.018763432,0.995201061,0.019851321,0.99536749,0.019968965,0.995659644,0.020460489,0.994850141,0.020245644,0.995582326,0.020375345,0.995898302,0.020901389,0.995498733,0.019669926,0.995925246,0.019986046,0.996330061
0.03003003,0.029939129,0.993921974,0.029384495,0.996650819,0.030050393,0.993679781,0.030163493,0.993679689,0.027485489,0.993186272,0.029794838,0.993390741,0.029936993,0.993499844,0.029378732,0.993850364,0.029640276,0.993204605,0.029704597,0.99340397,0.028824687,0.992803508,0.029434493,0.993881385,0.029383803,0.994003528,0.030952628,0.995128311,0.030127309,0.993535351,0.030084783,0.993709823,0.030064514,0.993440294,0.029463428,0.993479233,0.029527023,0.993650095,0.028012611,0.993426392,0.029525742,0.993999662,0.029624646,0.993977602,0.029597129,0.994093172,0.02963955,0.993888186,0.029684149,0.994108532,0.030084676,0.993545509,0.029868098,0.994219668,0.02984667,0.994266713,0.030923387,0.994628509,0.029753611,0.993663145,0.02988477,0.993837817,0.030525999,0.993709299,0.030130895,0.993320672,0.030211728,0.993438348,0.03022788,0.994432235,0.030347172,0.993832066,0.030210043,0.993952745,0.02944684,0.993786476,0.029461996,0.992801707,0.029657012,0.993231707,0.031938016,0.994462132,0.030237239,0.993825003,0.030346489,0.994027424,0.031678016,0.993250494,0.029664151,0.993477073,0.029857176,0.993614071,0.030386547,0.993586127,0.029751479,0.993598984,0.029757991,0.993738527,0.030378694,0.99302734,0.030230955,0.993278776,0.030407145,0.993434806,0.029838612,0.994727141,0.030040217,0.993787745,0.030037101,0.993922513,0.029079617,0.994450949,0.030002293,0.993502379,0.030141776,0.993662925,0.030735428,0.99370028,0.029891735,0.993160609,0.030006384,0.993406287,0.031054808,0.992837667,0.030711032,0.99398033,0.030793176,0.994155972,0.028470099,0.992334338,0.029546259,0.99398004,0.029674385,0.994252879,0.030472137,0.993795892,0.030290692,0.994192814,0.030369284,0.994385429,0.02917399,0.993361711,0.029659259,0.993861171,0.029758111,0.994008803,0.028916933,0.995637224,0.030469737,0.993693256,0.030405288,0.993891847,0.031289351,0.993744812,0.029819506,0.994061503,0.029816939,0.994234847,0.032140086,0.994522646,0.029937934,0.99358934,0.030098321,0.993885902,0.03053185,0.993314037,0.02987576,0.993448798,0.029940314,0.9936177,0.030199328,0.993228446,0.030196299,0.993679673,0.03026531,0.993867436,0.030868464,0.994179173,0.029706371,0.994009366,0.029925855,0.994269988
0.04004004,0.03987801,0.991863872,0.038586805,0.991339055,0.040060316,0.991710575,0.040106417,0.991633371,0.039802412,0.990947592,0.039804852,0.991463246,0.039881641,0.991475871,0.039328334,0.991450649,0.039659691,0.991309825,0.039670193,0.991396396,0.039618448,0.993483896,0.039439482,0.991901211,0.039358276,0.991934838,0.041249843,0.992235006,0.040097827,0.991609135,0.040010766,0.99167966,0.040778993,0.991751098,0.039486119,0.991551452,0.039495487,0.991612753,0.038388809,0.994245115,0.039580594,0.992009621,0.039609881,0.991918536,0.038527471,0.99280736,0.039649514,0.991937225,0.039636169,0.992033666,0.039608763,0.992458481,0.039869084,0.992209954,0.039802432,0.992175898,0.040482728,0.991112515,0.039773399,0.991738581,0.039838682,0.991799969,0.039776134,0.992111149,0.040069498,0.991389629,0.040101421,0.991410111,0.040093268,0.992870874,0.040317161,0.991903608,0.040148232,0.991924902,0.03981494,0.989966843,0.039464362,0.990930281,0.039582395,0.991197248,0.041103943,0.991362473,0.040231478,0.991850821,0.040279265,0.991938591,0.03901649,0.992069489,0.039696985,0.991526043,0.039810488,0.991560582,0.040723252,0.992136297,0.039742775,0.991668522,0.039702846,0.991710044,0.042680464,0.991511982,0.040218487,0.991353986,0.040314748,0.991408711,0.040529292,0.99179936,0.040009294,0.991817604,0.0399571,0.991861018,0.039244865,0.989872472,0.039989166,0.991552474,0.040063384,0.991609084,0.039732437,0.991520985,0.039918283,0.991289839,0.039973773,0.991403627,0.041145279,0.990610659,0.040660585,0.992047947,0.040679723,0.992115724,0.040674837,0.991199545,0.039575312,0.992034986,0.039636543,0.992175359,0.040293348,0.99148523,0.040283858,0.992184342,0.040307529,0.992260903,0.038066121,0.991709367,0.039683949,0.991893188,0.039727205,0.991936974,0.043224422,0.991500284,0.040394211,0.991776611,0.040291626,0.991854432,0.039243046,0.990382222,0.03982702,0.992100742,0.039783653,0.992155106,0.039889318,0.991835463,0.039919093,0.991681555,0.040016085,0.991840908,0.040330035,0.992128023,0.039872946,0.991498951,0.039890045,0.991560198,0.039249641,0.992504217,0.040123206,0.991743938,0.04013832,0.991819519,0.039491364,0.99322319,0.039714177,0.992061156,0.039846458,0.992194709
0.05005005,0.049796209,0.989789552,0.051165112,0.989858272,0.050041295,0.989712363,0.050028307,0.989570556,0.050173963,0.989790502,0.049786736,0.989503611,0.049805249,0.989433807,0.049778419,0.989417163,0.049651328,0.989380926,0.049614315,0.989369476,0.050025092,0.989348466,0.049417802,0.989893229,0.049310568,0.989850545,0.05014688,0.98989858,0.050041736,0.989651067,0.049916712,0.989631619,0.049097936,0.988713561,0.049480319,0.989591416,0.049441756,0.989558012,0.04882999,0.990502785,0.04960409,0.989991347,0.049572074,0.98984254,0.049769358,0.9900616,0.049630733,0.98995389,0.049566999,0.989942771,0.049529204,0.990191485,0.049842352,0.990172208,0.049736738,0.990069751,0.049571609,0.989789881,0.049764681,0.98978213,0.049771224,0.989745469,0.051336571,0.989999969,0.049984801,0.989427392,0.04997343,0.989364313,0.050610065,0.988263644,0.050259694,0.989942241,0.050065124,0.989878076,0.05084339,0.990303055,0.049439891,0.989023041,0.049488769,0.98914624,0.04997921,0.988626226,0.050197537,0.989846944,0.050191013,0.989835408,0.048684543,0.988916214,0.049700367,0.989544459,0.049742828,0.989490701,0.050639977,0.988530183,0.049706783,0.989705431,0.049626596,0.989662626,0.050238728,0.98896411,0.050177981,0.989397662,0.050202943,0.989364799,0.050691783,0.989166945,0.04995174,0.98981897,0.049857355,0.989783884,0.051836414,0.989601261,0.04994876,0.989572016,0.04996489,0.989539096,0.049923665,0.991237856,0.049915355,0.989383465,0.049918315,0.989382327,0.050586141,0.990064708,0.050583988,0.990083333,0.050547677,0.990057817,0.049412912,0.988963214,0.049575681,0.990057425,0.049577318,0.990082221,0.048944804,0.989936015,0.05024879,0.99014751,0.050224005,0.990124043,0.050354114,0.988932741,0.049679776,0.989895194,0.049673778,0.989849434,0.050501028,0.990431709,0.050294192,0.989825765,0.050159267,0.989798955,0.049791187,0.991819737,0.049806709,0.990109002,0.049728019,0.990060795,0.048750177,0.989965425,0.049874491,0.989739969,0.049914491,0.989779107,0.048991004,0.989676134,0.049843016,0.989518677,0.049818066,0.989486905,0.05105234,0.989887048,0.050026447,0.98977594,0.049994249,0.98975435,0.05083228,0.989521275,0.049693555,0.990081386,0.049747796,0.990103931
0.06006006,0.059693562,0.987698822,0.060151128,0.986175359,0.059993578,0.987685729,0.059928708,0.987490794,0.060039635,0.989831679,0.059740669,0.987512581,0.059707717,0.987373536,0.058334927,0.987281267,0.059615324,0.987418669,0.059536706,0.987323112,0.059112783,0.98810344,0.059369572,0.987857957,0.059240523,0.987750747,0.059354809,0.987514167,0.059959209,0.987661834,0.05980249,0.987565552,0.059989908,0.987042205,0.059446215,0.987599853,0.059365909,0.987485837,0.060386474,0.987362993,0.059596547,0.987945412,0.059511152,0.987749651,0.060258643,0.988045249,0.059583457,0.987938982,0.059476365,0.987835766,0.060844775,0.987166713,0.059788072,0.988107072,0.059649467,0.987948102,0.059349282,0.986147127,0.059727646,0.987794475,0.0596823,0.98767394,0.059115193,0.987125591,0.059876816,0.987434625,0.059827257,0.987300793,0.060167387,0.98674482,0.060175006,0.987948714,0.059960517,0.987812402,0.058512577,0.986221842,0.059388707,0.987080855,0.059375749,0.987078155,0.058060169,0.987305876,0.060135639,0.987814046,0.060081577,0.987717668,0.059376687,0.986701276,0.059674525,0.987532992,0.059653974,0.98740436,0.060312534,0.988675526,0.059643687,0.987710477,0.059529103,0.98759644,0.060269684,0.986421905,0.06010966,0.98741047,0.060071805,0.987302969,0.058942127,0.988109492,0.059867753,0.987792426,0.05973762,0.987690954,0.059817437,0.98839582,0.05988126,0.987561683,0.059845859,0.987452568,0.061197508,0.987626182,0.059883165,0.987442292,0.059839909,0.987342041,0.061903457,0.9904918,0.060481403,0.9880872,0.060396927,0.987982076,0.060136558,0.987847967,0.059547556,0.988048131,0.059496766,0.987973349,0.060015258,0.988418412,0.060185708,0.988082999,0.060118757,0.987974507,0.060323296,0.987835524,0.059646939,0.987867835,0.059597511,0.987746093,0.060155287,0.987223751,0.060169819,0.98784153,0.060008374,0.987725086,0.058654231,0.988035887,0.059758734,0.988086987,0.059649759,0.987951249,0.059156714,0.986491284,0.059804204,0.987765338,0.059793356,0.987700215,0.05944682,0.986749843,0.059786101,0.987508639,0.059724368,0.98739764,0.057342753,0.988159674,0.0599061,0.987776434,0.059832501,0.987671899,0.059693433,0.987922748,0.059644708,0.988070766,0.059629438,0.987997626
0.07007007,0.069569904,0.985591439,0.068829568,0.985135735,0.069917403,0.985631197,0.069807621,0.985394069,0.069689852,0.98674679,0.069666827,0.985490833,0.069588886,0.9852947,0.069651068,0.985967313,0.069551813,0.985423753,0.069437393,0.985257202,0.068475031,0.983871067,0.069294904,0.98579585,0.069148089,0.985634936,0.068102986,0.984768608,0.069850409,0.985642064,0.069667866,0.985481265,0.069765071,0.984244309,0.06938399,0.985577426,0.069267677,0.985395922,0.068715999,0.985971098,0.069558273,0.985872326,0.069426853,0.985639703,0.069174919,0.985502614,0.069507924,0.985893236,0.069364083,0.985712376,0.069555289,0.987620979,0.069706411,0.986015125,0.069540304,0.985810877,0.069657815,0.985725636,0.069662472,0.985776234,0.069571759,0.985585355,0.071402485,0.986724976,0.069745551,0.985411928,0.069662989,0.985219472,0.068878923,0.986663981,0.070063325,0.985923714,0.069834276,0.985727673,0.068824376,0.98502459,0.06931093,0.985104524,0.069243353,0.984993047,0.069432835,0.985678884,0.070046002,0.98575273,0.069950982,0.985584996,0.06978181,0.986190119,0.069619681,0.985492248,0.069543712,0.98530135,0.070500469,0.987096769,0.069553666,0.985684356,0.06941025,0.985511131,0.070098154,0.986193449,0.07001374,0.985393013,0.069921015,0.985223115,0.069857285,0.98625427,0.069757524,0.98573849,0.069597889,0.985581867,0.07033455,0.986690103,0.069786838,0.985522085,0.069706413,0.985349285,0.070310553,0.986139915,0.069821922,0.985467066,0.069738324,0.985282801,0.069249961,0.985354562,0.070352986,0.986060191,0.070226971,0.985888009,0.068480952,0.984866416,0.069491121,0.986007812,0.069394545,0.985848361,0.069170852,0.986865098,0.070094821,0.98599142,0.069991503,0.985811927,0.069179026,0.985942136,0.069585634,0.985811695,0.069498362,0.985626591,0.069668895,0.986123102,0.070021226,0.985824651,0.069838622,0.985632821,0.070338133,0.984539308,0.069683248,0.986035335,0.069548935,0.985826377,0.069133691,0.985209473,0.069708302,0.985758354,0.069652402,0.985604144,0.069963072,0.985974117,0.069702327,0.985469436,0.069608756,0.985292239,0.070517774,0.985543667,0.069762237,0.985746107,0.069653315,0.985571895,0.068621667,0.987868983,0.069567836,0.986029935,0.069491275,0.985875492
0.08008008,0.079425066,0.983467102,0.077939678,0.983739921,0.079813003,0.983549225,0.079664934,0.983279953,0.079292618,0.98266837,0.079565378,0.983438976,0.079448585,0.98319715,0.081483544,0.982514953,0.079460924,0.98339681,0.07931612,0.98317143,0.08068982,0.983665945,0.079193907,0.983707304,0.079033254,0.983503068,0.079917337,0.984711098,0.079715493,0.983592315,0.079512781,0.983378645,0.079177338,0.98518943,0.07929382,0.983524732,0.079146969,0.983288203,0.081394974,0.982320912,0.079489569,0.983772533,0.079319342,0.983512284,0.080671917,0.983122735,0.079404365,0.983817319,0.079230168,0.983572351,0.079253165,0.982582315,0.079597529,0.983896873,0.079409228,0.983657416,0.079167596,0.983252811,0.079569337,0.983727962,0.079439402,0.983479193,0.079339669,0.982008109,0.07959101,0.983359837,0.079480008,0.983119812,0.079768297,0.984767156,0.079924868,0.983867862,0.07968636,0.983623567,0.079168191,0.981735642,0.079206674,0.98309478,0.079091252,0.982890419,0.078945135,0.984092451,0.079928837,0.983663536,0.079798873,0.983437047,0.078009341,0.98210908,0.07953605,0.983422768,0.079411792,0.983181165,0.080242699,0.984050967,0.07943689,0.9836277,0.079269836,0.983406523,0.078773696,0.982922757,0.079890427,0.98334583,0.079750319,0.983124768,0.079397771,0.983871266,0.079621236,0.983657613,0.079437798,0.983456316,0.080818742,0.982033625,0.079665665,0.98345377,0.079546278,0.983228858,0.079047327,0.98341147,0.079731828,0.983458464,0.079613534,0.983204223,0.081519753,0.983764249,0.080198888,0.984002889,0.080037972,0.983775775,0.078998779,0.983790843,0.079406553,0.983937107,0.079270668,0.983707093,0.0786653,0.98206808,0.079976334,0.983873316,0.079842216,0.983635758,0.079133329,0.983835074,0.079496049,0.983727293,0.079376321,0.983490636,0.079218009,0.982738664,0.079848537,0.983775808,0.079649794,0.983521748,0.078511629,0.985181437,0.079580403,0.983954619,0.07942519,0.983685964,0.079054129,0.983862169,0.079586853,0.983719645,0.079491445,0.983490507,0.07985324,0.982256219,0.079591818,0.9834016,0.079471071,0.983170171,0.07987411,0.982535608,0.079594922,0.983685581,0.079455992,0.983454101,0.07820051,0.98416875,0.079463128,0.983959471,0.079333103,0.983736985
0.09009009,0.089258877,0.981325457,0.08978747,0.981329399,0.089680598,0.981440207,0.089500593,0.98114807,0.090659167,0.980548734,0.089436486,0.98135755,0.08928672,0.981080713,0.089396297,0.980795995,0.08934278,0.981338407,0.08917254,0.981065707,0.08894965,0.98228973,0.089066682,0.981592648,0.088895622,0.981354552,0.089365493,0.983001825,0.089554608,0.981513084,0.089336812,0.981257221,0.088102394,0.980321871,0.089175871,0.981442303,0.089003646,0.98116198,0.090246266,0.981246323,0.089390721,0.981646415,0.089188205,0.98136725,0.090099514,0.982660559,0.089273001,0.981711825,0.089074275,0.981415424,0.088761159,0.980268565,0.089461579,0.981752754,0.089256022,0.981487696,0.088676694,0.981874967,0.089448406,0.981650144,0.089285106,0.981355223,0.088069639,0.981686195,0.089413193,0.981278818,0.089278269,0.98100185,0.089909221,0.982734254,0.08975984,0.98178171,0.089516507,0.981499888,0.088251665,0.980919036,0.08907605,0.981052286,0.088919169,0.980770106,0.090305422,0.980004327,0.089784341,0.981546933,0.089625246,0.981273309,0.090315917,0.980642223,0.089423841,0.981325025,0.089258293,0.981043705,0.087512492,0.981582825,0.08929352,0.981541069,0.08910762,0.981282454,0.089046328,0.981074844,0.089739919,0.981269394,0.089559604,0.9810078,0.090243412,0.980691717,0.089459061,0.981550183,0.089257254,0.981313918,0.089166089,0.980588976,0.0895179,0.981357214,0.089365201,0.981091193,0.089426333,0.981324582,0.08961308,0.981417103,0.089465515,0.981106082,0.090483511,0.981798933,0.090019248,0.981915807,0.089829334,0.981644887,0.088979018,0.981633853,0.089294022,0.981836588,0.089124858,0.981549053,0.088812851,0.981246485,0.089830442,0.981729156,0.089670795,0.981445821,0.089071548,0.981160505,0.089378364,0.98161508,0.08923124,0.981337846,0.09003605,0.981454477,0.089651866,0.981695611,0.089441714,0.981391758,0.090344687,0.981337838,0.08945034,0.981845341,0.089278697,0.98152924,0.089728705,0.982404663,0.089439921,0.981649771,0.089310311,0.981358952,0.088916746,0.980275895,0.089454689,0.981305597,0.089311167,0.981031249,0.090898853,0.981817951,0.089404211,0.981595407,0.089240496,0.981318319,0.087257571,0.981967286,0.089330769,0.981859881,0.089154647,0.981581931
