time,actual-u1,actual-u2,S1-noise-u1,S1-noise-u2,S1-gp-u1,S1-gp-u2,S1-proj-u1,S1-proj-u2,S2-noise-u1,S2-noise-u2,S2-gp-u1,S2-gp-u2,S2-proj-u1,S2-proj-u2,S3-noise-u1,S3-noise-u2,S3-gp-u1,S3-gp-u2,S3-proj-u1,S3-proj-u2,S4-noise-u1,S4-noise-u2,S4-gp-u1,S4-gp-u2,S4-proj-u1,S4-proj-u2,S5-noise-u1,S5-noise-u2,S5-gp-u1,S5-gp-u2,S5-proj-u1,S5-proj-u2,S6-noise-u1,S6-noise-u2,S6-gp-u1,S6-gp-u2,S6-proj-u1,S6-proj-u2,S7-noise-u1,S7-noise-u2,S7-gp-u1,S7-gp-u2,S7-proj-u1,S7-proj-u2,S8-noise-u1,S8-noise-u2,S8-gp-u1,S8-gp-u2,S8-proj-u1,S8-proj-u2,S9-noise-u1,S9-noise-u2,S9-gp-u1,S9-gp-u2,S9-proj-u1,S9-proj-u2,S10-noise-u1,S10-noise-u2,S10-gp-u1,S10-gp-u2,S10-proj-u1,S10-proj-u2,S11-noise-u1,S11-noise-u2,S11-gp-u1,S11-gp-u2,S11-proj-u1,S11-proj-u2,S12-noise-u1,S12-noise-u2,S12-gp-u1,S12-gp-u2,S12-proj-u1,S12-proj-u2,S13-noise-u1,S13-noise-u2,S13-gp-u1,S13-gp-u2,S13-proj-u1,S13-proj-u2,S14-noise-u1,S14-noise-u2,S14-gp-u1,S14-gp-u2,S14-proj-u1,S14-proj-u2,S15-noise-u1,S15-noise-u2,S15-gp-u1,S15-gp-u2,S15-proj-u1,S15-proj-u2,S16-noise-u1,S16-noise-u2,S16-gp-u1,S16-gp-u2,S16-proj-u1,S16-proj-u2,S17-noise-u1,S17-noise-u2,S17-gp-u1,S17-gp-u2,S17-proj-u1,S17-proj-u2,S18-noise-u1,S18-noise-u2,S18-gp-u1,S18-gp-u2,S18-proj-u1,S18-proj-u2,S19-noise-u1,S19-noise-u2,S19-gp-u1,S19-gp-u2,S19-proj-u1,S19-proj-u2,S20-noise-u1,S20-noise-u2,S20-gp-u1,S20-gp-u2,S20-proj-u1,S20-proj-u2,S21-noise-u1,S21-noise-u2,S21-gp-u1,S21-gp-u2,S21-proj-u1,S21-proj-u2,S22-noise-u1,S22-noise-u2,S22-gp-u1,S22-gp-u2,S22-proj-u1,S22-proj-u2,S23-noise-u1,S23-noise-u2,S23-gp-u1,S23-gp-u2,S23-proj-u1,S23-proj-u2,S24-noise-u1,S24-noise-u2,S24-gp-u1,S24-gp-u2,S24-proj-u1,S24-proj-u2,S25-noise-u1,S25-noise-u2,S25-gp-u1,S25-gp-u2,S25-proj-u1,S25-proj-u2,S26-noise-u1,S26-noise-u2,S26-gp-u1,S26-gp-u2,S26-proj-u1,S26-proj-u2,S27-noise-u1,S27-noise-u2,S27-gp-u1,S27-gp-u2,S27-proj-u1,S27-proj-u2,S28-noise-u1,S28-noise-u2,S28-gp-u1,S28-gp-u2,S28-proj-u1,S28-proj-u2,S29-noise-u1,S29-noise-u2,S29-gp-u1,S29-gp-u2,S29-proj-u1,S29-proj-u2,S30-noise-u1,S30-noise-u2,S30-gp-u1,S30-gp-u2,S30-proj-u1,S30-proj-u2
0,0,1,-1.152638492,1.534451064,0.494331103,1.044268406,0.064883904,1.033612478,1.066512662,0.399486245,0.566640649,1.019415673,0.86016537,1.687374698,0.399467522,0.405858712,0.217648599,0.819983245,-0.495062576,0.629870071,0.499098357,1.882031685,0.179553957,1.051871566,-0.125033343,0.857393793,-1.300321506,0.049431385,0.000206212,0.822648941,-0.020411845,0.750708646,-0.520741498,-0.006181022,0.515335842,0.70724529,0.474556983,0.774785104,-2.173623158,-0.704811454,0.066297957,0.844653498,-0.670889809,0.777621504,-0.490206128,1.432940173,-0.004264423,1.253631439,-0.540595803,1.129574306,-3.246688559,-0.001620862,-0.137953349,0.83024328,-1.256382456,0.822180842,-1.918942987,3.503377172,0.297041573,0.873939257,-1.415319836,3.37860261,1.932536414,0.526164457,0.643570595,1.197953001,0.687717501,1.450809558,-0.853390074,0.141186477,0.345420312,0.845316284,-0.106911672,0.481436167,-1.224017127,-1.25128279,0.171945453,0.709372485,-0.198048574,0.485989478,1.672371333,2.167302559,0.293920878,0.976468668,-0.001543339,2.056423964,0.924623802,1.005074512,0.49249587,0.034201523,0.427025693,0.262871535,-0.428562015,0.853103326,-0.044755342,0.877614324,-0.370822353,0.73967366,1.572654323,1.039550193,0.192922235,0.909755699,0.30891297,0.905804424,0.635679051,1.516651768,0.590328502,0.949809858,0.371458952,1.142967307,-1.006210155,1.257746903,0.732944411,1.105767062,-0.262920565,0.696387839,-0.089249295,1.613441401,0.297756856,1.515009475,0.142752417,1.823041107,0.40477882,0.828291583,0.116116324,0.746761171,0.196645399,0.415290388,0.170254193,1.7791569,0.378992762,1.234956021,0.538080705,2.163282089,0.508473358,-0.393404287,0.482026756,0.325621055,0.436792408,0.533723474,0.738064764,2.819739901,0.325902721,1.003622871,-0.023605981,1.007888953,1.009484788,0.518423328,0.710417509,0.617805811,0.622798923,0.308370123,1.194468943,0.613192447,0.529773105,1.178755938,0.708401313,1.08783612,-0.036752149,-0.733467728,0.504372043,0.521274544,0.231676393,0.53492864,0.881611553,1.485230222,0.614692373,1.2076469,0.925350895,2.240266225,0.563733395,0.838835655,0.509580409,1.142969874,0.034692085,1.149947074,0.494437849,1.867226924,0.525053406,1.312206961,-0.190156521,1.27312145
0.040160643,0.03999763,0.991838977,1.327121358,0.09920941,0.522674021,1.022712339,0.161339171,1.040314402,1.301570344,1.119980868,0.582036255,0.996830533,0.63997697,1.574463695,0.258148513,-0.075075722,0.238073275,0.803744548,-0.422399041,0.651083737,-0.479042969,-0.477279912,0.2145136,1.034661421,-0.098378655,0.817428023,0.401739498,0.801591966,0.013354593,0.814590361,-0.023881154,0.732785435,1.051765593,0.602753092,0.537871973,0.707620873,0.500046963,0.768420102,-1.037895227,0.884148383,0.108693775,0.826097715,-0.578441856,0.809398341,0.05189721,2.275188128,0.032128303,1.244227686,-0.406404244,1.176719029,-1.34982267,2.463744532,-0.100721999,0.834308267,-0.652151717,0.900189683,0.664811863,0.758325524,0.314850437,0.85507651,0.254562882,0.772352324,1.57031838,1.809671761,0.657623981,1.174383102,0.679917401,1.324300806,-0.834800565,-0.335724622,0.367227709,0.832067487,-0.061682552,0.500915188,0.846192054,0.168695982,0.19618336,0.699358102,-0.172197357,0.49083408,-0.519290241,2.475859861,0.324878681,0.958311581,0.017452993,0.886708433,-0.610026886,0.057876686,0.515110867,0.052253885,0.445829872,0.262213814,-1.114367597,1.083549498,-0.01446154,0.862861221,-0.335346494,0.723336259,-0.533707977,1.342874015,0.211591188,0.899109903,0.300464145,0.868714801,-0.301573188,0.465340048,0.609641769,0.929533842,0.430866107,1.071827216,1.071519709,-0.416420959,0.74265222,1.082171771,0.008433095,0.729421926,0.879184442,2.6706359,0.323603922,1.494448188,0.165665051,1.874961842,-1.264502703,-0.213331631,0.145501174,0.732277662,0.244271965,0.424714255,-0.358625472,1.971246572,0.39548684,1.215575731,0.383286868,1.279922637,0.101379578,-1.661574072,0.499453459,0.331781031,0.453472611,0.543456252,1.002478197,0.317430782,0.343386904,1.008221113,0.027935304,0.988555862,0.084109904,2.036666405,0.725274635,0.612934774,0.639134224,0.31516556,0.117117582,1.330609177,0.546156837,1.165847771,0.711298574,1.088840356,1.227005262,1.631022282,0.522104241,0.51085349,0.271544233,0.522078297,1.08733245,2.992625535,0.63163914,1.173457182,0.757988954,2.163502513,0.34899288,-0.209453172,0.528673318,1.137122752,0.457692722,1.209743837,0.330749691,0.02958655,0.535501347,1.293757138,-0.024839006,1.32783977
0.080321285,0.079662277,0.983415701,0.911774319,0.451333603,0.550966693,1.000480229,0.254508392,1.045150075,1.059767212,1.157400501,0.597433423,0.973706681,0.625434857,1.300502194,-2.032017764,0.217990652,0.258352383,0.786975473,-0.343050031,0.670928118,-1.653194126,1.293294374,0.249632927,1.015994179,-0.060885265,0.792061714,1.83227277,1.796910137,0.027360392,0.805666854,-0.023769619,0.718408424,0.326826542,0.953083695,0.560500874,0.706873122,0.527546469,0.761131626,0.26752093,0.653684167,0.150984971,0.806943289,-0.483323481,0.83912058,0.178915614,1.274076974,0.069059518,1.233263053,-0.298670775,1.209452322,0.647265305,0.37023299,-0.063164,0.837195519,-0.403774755,0.815876703,-0.852082018,1.478357078,0.332489666,0.83573038,0.296394683,0.772938115,-0.037795774,0.444138675,0.671444381,1.150054289,0.66288734,1.214326661,-0.25538616,0.274684427,0.388853197,0.818243837,-0.015817287,0.522477445,-1.044706557,0.472594436,0.220454056,0.688600776,-0.14595755,0.496499938,-1.795997488,-1.049874713,0.355902586,0.939339297,0.018990476,0.910972163,0.341118733,-0.697013606,0.537386085,0.070873636,0.464713541,0.262139462,0.311182641,1.527338312,0.015961582,0.847372776,-0.298115649,0.71215575,0.770688286,0.453625605,0.230680483,0.887772842,0.283028641,0.840336532,1.030295242,2.172909126,0.628646401,0.908673256,0.458938533,1.026760253,-0.050735478,1.556151743,0.752027535,1.057917779,0.273364574,0.851078406,-0.51556021,1.476151055,0.349480319,1.473078278,0.181607826,1.90470035,-2.63190959,2.471437513,0.174772708,0.717223374,0.291113742,0.434727848,0.386041488,2.154353193,0.411899289,1.195412232,0.364134396,1.2188114,0.698277857,1.593451983,0.516792505,0.337430101,0.469552275,0.552300651,0.032403102,-0.923576351,0.360775683,1.011492853,0.083364852,0.976899045,-0.872500306,0.35745341,0.739866449,0.607178596,0.656007706,0.322712267,-0.316369009,1.843017681,0.562439531,1.152107755,0.714009409,1.090693968,0.243417003,-0.518910515,0.539622468,0.500111215,0.30536835,0.510783649,0.874987469,2.959249829,0.648447849,1.138535014,0.672619934,1.933342158,0.655325723,1.339678637,0.547761751,1.128346537,0.575530633,1.22990326,-0.301718458,2.620910987,0.545663249,1.273159805,0.10843419,1.354514751
0.120481928,0.118983103,0.974712602,-0.800303151,0.26353545,0.579166503,0.977590583,0.344036228,1.048014828,-0.225914406,2.676364171,0.612811208,0.950061428,0.630859048,1.174081225,1.713306137,-0.226449448,0.278456596,0.769687776,-0.255755771,0.690978494,0.512426514,0.84072716,0.284851588,0.995878759,-0.009528422,0.782886768,-0.431085793,0.748689341,0.042214726,0.795877235,-0.019989215,0.707370444,1.629297973,0.132499822,0.583186906,0.704972697,0.556712866,0.753016973,-0.609114855,2.228314513,0.193033051,0.78720172,-0.381779069,0.875628137,0.252660165,1.540009573,0.106469271,1.220724466,-0.205514068,1.231563265,-0.659646551,1.581493464,-0.025342203,0.838865291,-0.279906952,0.770300034,-0.232110371,-0.08033077,0.349936549,0.815914732,0.334893696,0.772638926,1.301127182,2.604560698,0.685010807,1.124986906,0.643290575,1.129272907,1.220116952,1.942771044,0.410265746,0.803852315,0.030466434,0.546790718,-0.423865664,1.474894774,0.244723278,0.677103475,-0.119019297,0.503092411,-0.799970435,0.996438793,0.386936213,0.919566633,0.020333905,0.930789118,0.13395646,-2.466258467,0.559290108,0.089935199,0.483405833,0.262220808,-0.082336686,0.076206478,0.046472336,0.831156812,-0.25941859,0.704405498,0.548141471,-1.261736362,0.250169208,0.875747452,0.258369659,0.821757312,-0.770972513,-0.296960023,0.647311752,0.887241788,0.476350199,0.993306278,2.139481019,1.260223873,0.761056181,1.033022488,0.527658959,1.059923466,0.286636907,0.261791686,0.375351637,1.450917478,0.193183522,1.917142821,-0.269416221,-1.479142904,0.203879917,0.701605762,0.335704847,0.444665768,1.179100671,0.123660136,0.428209386,1.174478379,0.350017406,1.173854458,-0.214294708,-0.554245673,0.534021382,0.342545705,0.485145723,0.560147176,0.110716062,3.085979083,0.37804796,1.013379238,0.139690067,0.973377257,0.617450247,-0.485686892,0.754174213,0.600527613,0.673411334,0.331015681,-0.59007629,0.905782493,0.57860259,1.137542745,0.716148716,1.09360225,0.114701889,1.069095072,0.556903266,0.489054401,0.333620737,0.501311168,-0.611791125,2.462726852,0.665095366,1.102924389,0.635168809,1.70813726,1.43475992,0.708734045,0.566816494,1.116609288,0.609934293,1.232152781,0.065753263,2.510004653,0.555526988,1.250429372,0.205262555,1.360576496
0.16064257,0.157948286,0.965698351,-1.243215377,-0.65697696,0.607230317,0.954062871,0.428965237,1.048972156,-0.541903442,1.669514532,0.628148086,0.925912747,0.637080564,1.095645449,-0.986907195,1.937611627,0.298356483,0.751893946,-0.15868759,0.712807518,0.943132583,1.40375891,0.320108115,0.974327638,0.060709159,0.792773022,2.027697453,-0.39161083,0.057904804,0.785221893,-0.012529852,0.699420176,1.722460498,-0.872578674,0.605893279,0.701892686,0.587044239,0.744231179,1.084820993,1.246721509,0.234700103,0.766885288,-0.264681292,0.929742363,-1.16329651,1.122587495,0.1442955,1.206602098,-0.120157589,1.244557947,-0.236667484,0.198361698,0.012679195,0.839280181,-0.195895118,0.744666685,0.745703756,1.230194447,0.367168363,0.795644047,0.368634309,0.771437508,-0.116319946,-0.418467722,0.698302225,1.099202395,0.624044107,1.067118958,-0.862268247,-0.132907585,0.431434258,0.788900635,0.076921163,0.574538358,-0.397663348,-0.682031568,0.268956313,0.664870441,-0.091018835,0.51073459,0.771380306,-0.643537137,0.417922146,0.899009878,0.022412835,0.946072898,-1.061900716,1.326709406,0.580791834,0.109300069,0.50178549,0.262117178,-1.219177763,1.082718834,0.077028447,0.8142223,-0.219377366,0.699125263,2.10287914,1.594950413,0.27003494,0.863037649,0.22823962,0.813425426,2.263354649,0.718127052,0.665607287,0.865253849,0.489391736,0.96644115,0.198471801,-0.597114393,0.769724154,1.007504152,0.728361453,1.298640365,-0.077119596,2.385729977,0.401182952,1.427984468,0.202916926,1.91612399,-0.550651264,1.244211535,0.232771754,0.685433068,0.354513802,0.454381399,2.15999096,2.682778839,0.444396182,1.152788072,0.339677417,1.138204796,0.053687288,-0.214959182,0.551117317,0.34710644,0.500375742,0.566895622,-1.251867539,0.764818954,0.395182518,1.013823316,0.194364331,0.978311508,0.257794577,0.317032868,0.768179247,0.592973897,0.691324998,0.340072922,1.496791753,2.154802886,0.594627251,1.122160665,0.717194619,1.097753418,1.395663919,0.445809933,0.573923191,0.477690166,0.357011636,0.493706293,0.166202314,1.241878703,0.681558314,1.066670531,0.625599557,1.52577349,0.391652658,2.41122926,0.585807641,1.101894305,0.620127432,1.23452978,0.024772206,0.619054605,0.565080627,1.225587287,0.270702344,1.355280169
0.200803213,0.196544485,0.956328793,-0.232753685,1.82704169,0.635114571,0.929917493,0.508014599,1.048226513,0.921281886,2.720091324,0.643421987,0.901279247,0.642916806,1.039368753,-0.637773253,-0.900654053,0.318022568,0.733607188,-0.049943782,0.737644596,0.071427939,-2.002888476,0.355340064,0.951356873,0.155676238,0.82544275,0.488838478,0.806414264,0.074413838,0.773702817,-0.001445319,0.694271171,-1.491593976,-0.992929979,0.628582114,0.697608758,0.617904512,0.734976585,0.046182767,0.928805002,0.275849568,0.746007048,-0.115303901,1.012352509,-0.402077166,0.71561606,0.182474172,1.190889461,-0.039143353,1.249045692,0.628247435,-1.202191241,0.0508348,0.838405323,-0.129595442,0.731013838,0.555096945,0.953591024,0.384162402,0.774933404,0.396734958,0.769257588,0.854715715,1.171439313,0.711297597,1.072723269,0.605981665,1.024095286,0.886754679,0.554557146,0.452327621,0.773397236,0.123288007,0.606427235,1.180755097,2.791233685,0.293118065,0.651907208,-0.061522792,0.519570475,0.001860453,2.591448943,0.448802067,0.877686786,0.030186629,0.955138259,0.011253992,0.137726963,0.601860536,0.128817244,0.519818555,0.261600312,-2.161564924,0.941822542,0.107587126,0.796579368,-0.177952213,0.695749262,0.429132844,-0.732386834,0.290253756,0.849648346,0.194295107,0.815605817,1.318455357,1.313934357,0.683502648,0.842724566,0.500732543,0.94391423,-1.029073459,2.880756758,0.778017643,0.981381855,0.847275667,1.476693403,0.718490651,3.912920254,0.426938893,1.404298842,0.212941273,1.903470528,1.396779348,1.560190868,0.261397271,0.668714322,0.384460422,0.463833784,-0.563443841,-0.238232811,0.460438529,1.130356246,0.33265219,1.108706683,1.424623183,-0.115500884,0.568057314,0.351092124,0.515378998,0.572447802,0.373513974,0.899620971,0.412158048,1.01277038,0.245414084,0.991476061,0.038340228,0.298199163,0.78186296,0.584511319,0.709714223,0.349870515,1.999412701,-0.253173699,0.610494611,1.105970501,0.716471694,1.103281417,2.540420619,-0.694688747,0.59065885,0.466026057,0.376312467,0.487887622,0.308403108,2.157815401,0.697813115,1.029819814,0.630172551,1.380278304,1.919550764,0.503375707,0.604704641,1.084200592,0.623217277,1.233593694,0.426491317,0.069486174,0.574312423,1.198662089,0.313832449,1.344409311
0.240963855,0.234756343,0.946547916,0.618339099,1.484082131,0.662775357,0.90517576,0.579882975,1.046072564,1.793758162,1.347724149,0.658610328,0.876180159,0.648285111,0.995419993,-1.009945088,1.534745061,0.337425376,0.714841418,0.071024838,0.765762197,-0.1717702,2.073011533,0.390484166,0.926986129,0.275053817,0.880676382,-1.442735259,-0.037875939,0.091720977,0.761323617,0.013157694,0.69160919,0.335685293,2.747680067,0.651214512,0.692099309,0.648573931,0.72548201,0.534888477,1.340838224,0.316347014,0.724580822,0.088482629,1.121092236,1.297493416,0.306333919,0.220939424,1.173583499,0.038942442,1.245488502,-0.551666564,0.781068701,0.089058174,0.83620857,-0.072207136,0.725640618,1.1471286,0.814219238,0.400896021,0.753798471,0.418949428,0.765909903,-0.032298449,1.153919497,0.723975911,1.045573083,0.58906116,0.997442602,1.478611208,0.284339433,0.472914768,0.75735128,0.169335713,0.643212778,1.733314823,0.021629232,0.317173111,0.638220606,-0.030006977,0.52976855,0.334163633,0.810383857,0.479516894,0.855616553,0.065930753,0.948648681,0.829007866,-0.5752466,0.622465918,0.14832381,0.537488374,0.260551522,0.151016553,-0.003310468,0.138105158,0.778239298,-0.134942428,0.693931433,-1.434340635,1.333094641,0.310800257,0.835585457,0.158213399,0.828642603,1.399875659,2.923631346,0.700967716,0.819669767,0.51175468,0.924569389,1.479001926,1.189981919,0.785923053,0.954675493,0.900528063,1.564905146,0.469329799,1.542993054,0.4525837,1.379881075,0.225056339,1.879123425,1.185376187,-1.644903439,0.289705749,0.651459341,0.406536595,0.472917879,-1.308738154,1.517409823,0.476315112,1.107198852,0.328842602,1.08378854,2.265866141,0.697924433,0.584818182,0.354483842,0.530310953,0.576698161,-0.272853225,0.969338945,0.428953185,1.010168325,0.291412549,1.011636849,0.708216049,-0.614339831,0.795206874,0.5751356,0.728527941,0.360381962,0.842394261,1.979583681,0.626185656,1.088982286,0.713148353,1.11020956,0.085099123,0.705245157,0.607086943,0.454070044,0.392258023,0.483717647,0.904698135,0.331136258,0.713836027,0.992419655,0.641155345,1.260464392,-0.374025602,1.238252513,0.623476357,1.063543197,0.624028179,1.231857349,2.041381605,-0.293554849,0.583210854,1.169689419,0.342912253,1.329668515
0.281124498,0.272566033,0.936288871,2.040706016,2.555907567,0.690168515,0.87985986,0.643533312,1.042818607,0.698597366,0.503171598,0.673690041,0.850635311,0.653258567,0.959055063,-0.700529308,1.49328968,0.356535495,0.695611244,0.200856859,0.795655865,-0.710990413,1.765808101,0.425476478,0.901238684,0.398598961,0.943943057,0.902716178,2.67181788,0.109801262,0.748089545,0.031127018,0.691097986,1.394796744,2.604802408,0.673750619,0.685345608,0.678318169,0.715974077,-0.997040987,0.581654377,0.3560609,0.702621185,0.349094357,1.208482243,-2.211106543,1.025945594,0.259623714,1.154684655,0.114323414,1.234565979,0.356165997,0.524084825,0.127281992,0.832660678,-0.019357146,0.726575575,0.654880569,-0.732436131,0.417346669,0.732255482,0.435565053,0.761049093,0.419563709,0.204638877,0.736316226,1.017776401,0.572880412,0.985982,0.94043053,1.215038368,0.493164736,0.740772644,0.214926251,0.685744798,0.702038024,-0.388886427,0.341085767,0.623818772,0.004171939,0.541525609,-0.159731262,0.762094676,0.510006922,0.832819809,0.175321095,0.906792801,0.094013157,0.602147318,0.642578183,0.167645689,0.554836615,0.258939431,-2.029168603,0.406498728,0.168538976,0.759214528,-0.089984266,0.693451497,-0.234641668,0.228286817,0.331647587,0.820855909,0.121959137,0.853084197,-0.055004215,0.935269565,0.717972676,0.796105963,0.523290857,0.907759294,1.895088943,1.666912415,0.793427027,0.927405748,0.92011199,1.591957872,2.163229251,2.104511443,0.478081287,1.354752489,0.240841254,1.84171204,0.42263942,2.979304205,0.317646827,0.633678726,0.436206562,0.481509256,0.333542759,0.029703199,0.492004481,1.083332846,0.328332853,1.062665494,-0.241610265,1.300074567,0.601376575,0.357263999,0.545350651,0.579521598,1.468024522,0.950071968,0.445546539,1.005967998,0.331413961,1.036355258,1.784620837,1.786818451,0.808192658,0.564844359,0.747696537,0.37156533,1.532224833,1.01957218,0.641681286,1.071207089,0.706265409,1.118372179,-1.799512851,-1.02999676,0.623184301,0.44183052,0.405503999,0.481048128,0.838536091,0.039998962,0.729603185,0.954518422,0.654627173,1.157865795,-1.48025702,1.230445787,0.642091117,1.039953431,0.624115469,1.229734694,-0.509263474,1.603032207,0.591764624,1.138712002,0.364023921,1.310302623
0.321285141,0.309952845,0.925475032,1.840479709,1.277294665,0.717249723,0.853992829,0.698396126,1.038696917,1.93899186,1.204654197,0.688637614,0.824665105,0.657928958,0.927631523,0.812620556,1.512831776,0.375323629,0.675931954,0.329998297,0.823653368,0.490825417,1.060466782,0.460252546,0.874141424,0.49240897,0.989526458,0.560626986,0.057434469,0.128625598,0.734007508,0.05226898,0.692384019,1.148885565,0.367342364,0.696149705,0.677331933,0.706463103,0.706645677,0.004247216,2.412468351,0.394863322,0.680143458,0.61443606,1.19857042,0.75030272,0.51244778,0.298457982,1.134196947,0.186646377,1.217275,0.097465372,1.135258129,0.165438202,0.827735484,0.031505052,0.732654023,1.714226406,0.871328119,0.433491926,0.710321222,0.447190701,0.7541511,1.810577417,-0.093305467,0.748297704,0.989358761,0.55684444,0.990302278,-0.534822631,0.248979643,0.513046719,0.723671917,0.26011532,0.735035269,-0.925987262,0.254041949,0.364820155,0.608711151,0.041813571,0.555070256,0.043747263,1.815984084,0.540211972,0.809318593,0.364554232,0.827177161,1.52549366,0.503967211,0.662168085,0.186598569,0.571956648,0.2567879,1.630874277,0.286350834,0.198844749,0.739518648,-0.042545645,0.694156947,0.229669584,1.120098442,0.35276747,0.80546764,0.088165226,0.889703389,-0.28776142,0.640545284,0.734488082,0.772050335,0.535913389,0.893098647,0.188850995,1.98145976,0.800516466,0.89959407,0.926256189,1.580076827,-0.721786981,0.776196643,0.503395306,1.328935215,0.261654589,1.789359101,-0.023985816,1.908528089,0.345170638,0.615383855,0.475817872,0.489001207,2.364496583,-0.049030899,0.507485084,1.058776172,0.331302511,1.044968138,-0.002682291,-0.118613879,0.617709027,0.359416355,0.560705722,0.580757486,-0.377377712,0.050911153,0.461916733,1.000123565,0.364952254,1.062282991,2.212026845,0.312787197,0.820802154,0.553637157,0.767130456,0.383361079,1.418168237,2.009339117,0.656962344,1.052656997,0.694821491,1.127318633,0.382987941,1.297045324,0.638927923,0.429316293,0.416616691,0.47974647,1.020952723,1.266641998,0.74509064,0.916165326,0.668712922,1.066892702,1.665437291,1.670625193,0.660516777,1.013478948,0.623849856,1.224538096,-0.337477193,0.176947505,0.599962688,1.105779594,0.381443266,1.284204338
0.361445783,0.346892812,0.91402114,2.398106735,1.323235645,0.743974594,0.827598518,0.744446652,1.033778202,1.684287234,-0.795490855,0.703429128,0.798290496,0.662381748,0.899520999,-1.312611359,0.912393307,0.393760651,0.6558195,0.444358153,0.844968654,-0.380830765,1.452093057,0.494747564,0.845724832,0.544625082,1.005983659,0.505331995,0.630318002,0.148160745,0.71908608,0.07634953,0.695100707,0.902556209,-0.217903897,0.718370242,0.668045692,0.732459941,0.69762722,0.999245309,2.582912308,0.432630752,0.657163693,0.813889031,1.087191811,0.783485714,1.44073711,0.33737181,1.112128014,0.25542133,1.194851809,0.615823915,1.247168599,0.203458195,0.821410067,0.082097459,0.743117539,0.595008379,-1.499272038,0.449309543,0.688013008,0.454546974,0.744520817,-1.130964091,1.195248934,0.759899652,0.96034664,0.54017233,1.013213311,0.655098674,0.028304512,0.532530133,0.706060387,0.305303986,0.792339488,0.231154195,1.316922743,0.388340263,0.592908498,0.08392118,0.570664818,1.04241148,0.972035558,0.57007154,0.785136326,0.564788524,0.740615434,-0.528857421,0.310213351,0.68120699,0.204989003,0.588910862,0.254147832,-0.765296852,0.717585549,0.228978462,0.719166395,0.008080933,0.695920336,0.492580481,1.210766363,0.374130241,0.789429609,0.060591347,0.939366072,-0.825563736,-1.262338245,0.750484919,0.747520717,0.550065343,0.880345721,1.373152158,1.812093689,0.80717855,0.871262649,0.926699845,1.52627519,-1.602047585,0.563384834,0.528489219,1.302452155,0.288487817,1.720678356,-0.324315682,0.710811975,0.372227934,0.596586881,0.508747642,0.495026811,0.746074563,0.804503869,0.522735296,1.03354774,0.33798124,1.030535583,-0.47184055,2.438822263,0.633791988,0.360926064,0.576617742,0.580188445,1.056809183,0.408940404,0.478042435,0.992592869,0.392113124,1.085902453,1.359269917,0.51431283,0.833017408,0.541515537,0.786719717,0.395690432,0.050904976,1.347286086,0.672009643,1.0333451,0.677944428,1.136219457,-0.368116426,1.288897203,0.654295026,0.41653658,0.426078927,0.479710117,0.763936363,-0.500845194,0.760274406,0.87741032,0.6825746,0.98395282,-1.186869263,0.780399047,0.678720778,0.98418369,0.623088722,1.21235607,-1.048554808,1.225676986,0.607794263,1.070948895,0.398246836,1.248928682
