time,actual-u1,actual-u2,S1-noise-u1,S1-noise-u2,S1-gp-u1,S1-gp-u2,S1-proj-u1,S1-proj-u2,S2-noise-u1,S2-noise-u2,S2-gp-u1,S2-gp-u2,S2-proj-u1,S2-proj-u2,S3-noise-u1,S3-noise-u2,S3-gp-u1,S3-gp-u2,S3-proj-u1,S3-proj-u2,S4-noise-u1,S4-noise-u2,S4-gp-u1,S4-gp-u2,S4-proj-u1,S4-proj-u2,S5-noise-u1,S5-noise-u2,S5-gp-u1,S5-gp-u2,S5-proj-u1,S5-proj-u2,S6-noise-u1,S6-noise-u2,S6-gp-u1,S6-gp-u2,S6-proj-u1,S6-proj-u2,S7-noise-u1,S7-noise-u2,S7-gp-u1,S7-gp-u2,S7-proj-u1,S7-proj-u2,S8-noise-u1,S8-noise-u2,S8-gp-u1,S8-gp-u2,S8-proj-u1,S8-proj-u2,S9-noise-u1,S9-noise-u2,S9-gp-u1,S9-gp-u2,S9-proj-u1,S9-proj-u2,S10-noise-u1,S10-noise-u2,S10-gp-u1,S10-gp-u2,S10-proj-u1,S10-proj-u2,S11-noise-u1,S11-noise-u2,S11-gp-u1,S11-gp-u2,S11-proj-u1,S11-proj-u2,S12-noise-u1,S12-noise-u2,S12-gp-u1,S12-gp-u2,S12-proj-u1,S12-proj-u2,S13-noise-u1,S13-noise-u2,S13-gp-u1,S13-gp-u2,S13-proj-u1,S13-proj-u2,S14-noise-u1,S14-noise-u2,S14-gp-u1,S14-gp-u2,S14-proj-u1,S14-proj-u2,S15-noise-u1,S15-noise-u2,S15-gp-u1,S15-gp-u2,S15-proj-u1,S15-proj-u2,S16-noise-u1,S16-noise-u2,S16-gp-u1,S16-gp-u2,S16-proj-u1,S16-proj-u2,S17-noise-u1,S17-noise-u2,S17-gp-u1,S17-gp-u2,S17-proj-u1,S17-proj-u2,S18-noise-u1,S18-noise-u2,S18-gp-u1,S18-gp-u2,S18-proj-u1,S18-proj-u2,S19-noise-u1,S19-noise-u2,S19-gp-u1,S19-gp-u2,S19-proj-u1,S19-proj-u2,S20-noise-u1,S20-noise-u2,S20-gp-u1,S20-gp-u2,S20-proj-u1,S20-proj-u2,S21-noise-u1,S21-noise-u2,S21-gp-u1,S21-gp-u2,S21-proj-u1,S21-proj-u2,S22-noise-u1,S22-noise-u2,S22-gp-u1,S22-gp-u2,S22-proj-u1,S22-proj-u2,S23-noise-u1,S23-noise-u2,S23-gp-u1,S23-gp-u2,S23-proj-u1,S23-proj-u2,S24-noise-u1,S24-noise-u2,S24-gp-u1,S24-gp-u2,S24-proj-u1,S24-proj-u2,S25-noise-u1,S25-noise-u2,S25-gp-u1,S25-gp-u2,S25-proj-u1,S25-proj-u2,S26-noise-u1,S26-noise-u2,S26-gp-u1,S26-gp-u2,S26-proj-u1,S26-proj-u2,S27-noise-u1,S27-noise-u2,S27-gp-u1,S27-gp-u2,S27-proj-u1,S27-proj-u2,S28-noise-u1,S28-noise-u2,S28-gp-u1,S28-gp-u2,S28-proj-u1,S28-proj-u2,S29-noise-u1,S29-noise-u2,S29-gp-u1,S29-gp-u2,S29-proj-u1,S29-proj-u2,S30-noise-u1,S30-noise-u2,S30-gp-u1,S30-gp-u2,S30-proj-u1,S30-proj-u2
0,0,1,-0.129358983,1.186958255,0.010249941,1.174761787,0.05708977,1.114825891,-0.743281077,0.940026898,-0.092938978,0.85721124,0.040578727,0.930105115,-0.144473767,1.526380772,-0.047840328,1.030915506,0.055844096,0.980755416,0.06356075,1.472369066,0.040566837,1.239156462,-0.001619236,1.086622781,0.320110313,0.699559553,0.018035863,0.943292995,0.034557145,1.02971791,0.296145583,1.287659659,-0.124332399,1.010604033,-0.040970676,1.020097942,0.265573656,0.630078815,0.029988624,1.002752584,0.034919154,0.999906465,-0.642280304,1.500309201,-0.01292855,1.055661237,0.045886868,0.986102857,0.068274129,0.741756115,0.055943552,0.968665058,0.11735233,0.928564619,0.319888245,0.766044759,0.019860989,0.980122816,0.04079284,1.002172781,0.436429548,0.59627317,0.02199345,0.926609868,0.06248579,0.918611484,0.400838221,0.916641536,-0.029554156,1.100755302,-0.150325469,1.044109942,0.326168731,1.385250432,-0.089002083,1.007416679,0.010533021,1.126693197,0.265381403,0.892388688,-0.045753203,0.746760009,0.108786934,0.893485359,0.554419219,1.375062943,-0.049148156,0.999459118,-0.09394214,1.02557923,-0.0952,1.271603411,0.043176342,1.012832997,0.068621648,1.009852022,-0.022797859,1.030642016,-0.055986823,1.016194384,-0.088516609,0.997657623,-0.377876882,1.038221531,0.115813111,1.088809459,0.109075217,1.052127478,0.294008487,0.840624137,-0.014764572,0.818343285,-0.000589637,0.953997111,0.168955979,1.092396966,-0.065434374,0.879994982,0.015558165,0.990295298,0.017010966,1.090062855,-0.001497415,1.043726451,-0.010586296,1.107420789,0.218266308,1.266448983,0.115954336,1.137788122,0.14191562,1.056613918,0.1451441,1.408226542,-0.091117963,1.098132808,-0.109320735,1.081803521,-0.086642706,0.604793704,0.031026239,0.964522878,-0.013831589,1.027545021,-0.000869475,0.873702491,-0.100723326,0.990600629,-0.056208581,0.878117419,-0.268324763,1.063455859,-0.017117017,1.007827432,-0.050804444,0.841915669,0.258739804,0.969778039,-0.045461693,0.907537455,0.018329886,0.833335397,-0.092633421,1.211483403,0.070874547,0.793413852,-0.026802048,0.98194751,0.256811922,1.126081585,0.073141132,1.116163467,-0.033832011,1.097550745,-0.335281163,1.510618239,-0.087100292,0.979458486,-0.040285545,1.036045721
0.01001001,0.010110712,1.020170299,-0.034376471,1.222357783,0.019880152,1.191937183,0.066512935,1.132483756,0.193325133,0.850921096,-0.078561057,0.88069452,0.047272678,0.948914659,-0.196372084,0.91224663,-0.036175076,1.046942876,0.060900788,0.999785903,0.015144027,1.082233604,0.050193709,1.245410455,0.01294534,1.098262818,0.037080987,0.752929988,0.027775611,0.971576598,0.043820088,1.050359232,-0.533103197,1.435631044,-0.111239673,1.025873847,-0.031169155,1.039741471,-0.093914152,1.023074034,0.037217916,1.019779197,0.042272425,1.020505328,-0.029286091,0.968101582,-0.003601078,1.070336753,0.048568239,1.003803269,0.502834996,1.111613602,0.060912212,0.995135242,0.118593097,0.956389861,-0.02436941,1.17063787,0.031786101,1.001860042,0.051524493,1.027713745,-0.137150497,1.036592236,0.032210193,0.949179371,0.072599182,0.94934597,-0.429488884,1.172248572,-0.023643171,1.112474536,-0.13559134,1.065637538,-0.36428302,1.090963912,-0.070954803,1.034047344,0.022322717,1.14146932,0.086846938,0.474875065,-0.031432457,0.781821418,0.109731875,0.914239209,-0.273559257,1.089789525,-0.036170826,1.021885645,-0.074676095,1.038697712,-0.081051726,0.883540341,0.049844268,1.034697131,0.074783108,1.023319952,0.212131949,0.921954326,-0.046284966,1.041815643,-0.075642112,1.017560095,-0.192619309,1.030145063,0.125567581,1.107156307,0.11770543,1.075097303,-0.018786296,0.965652744,-0.007467301,0.849089922,0.0079188,0.971159358,-0.441447525,0.91324036,-0.051312232,0.907967908,0.024487426,1.01004725,0.192171559,1.55990516,0.009065047,1.06516516,0.001012414,1.13363917,0.566578497,0.744996724,0.122275399,1.152900192,0.146310895,1.066925393,0.129638051,1.592648743,-0.083012103,1.10870455,-0.097606172,1.103098548,0.536784648,1.231580239,0.039198002,0.985489058,-0.001054048,1.045963795,0.249886531,0.797692796,-0.087212309,1.01313544,-0.042776958,0.905957575,-0.380514793,1.351115139,-0.008209167,1.028371136,-0.041151751,0.87286299,-0.270158477,0.981412129,-0.034105508,0.925742187,0.026727789,0.858585094,0.840599033,0.685618979,0.075942916,0.824547605,-0.014828376,0.992612849,-0.067196955,0.839493505,0.0763246,1.129612512,-0.02502652,1.11288378,-0.010206424,0.789968752,-0.071785735,0.996621628,-0.028620701,1.044551148
0.02002002,0.020424832,1.040640888,-0.434372433,1.059471637,0.029792614,1.208917125,0.076047403,1.14816378,0.503602061,1.00347276,-0.063884937,0.904524147,0.05421595,0.96963873,0.131440769,1.599381504,-0.024135981,1.063804353,0.066333761,1.031656076,0.412408605,1.130354791,0.060161359,1.251884454,0.027573586,1.117514735,0.064712142,1.283541343,0.037826755,1.000041702,0.053298891,1.073670677,0.461540299,1.062331022,-0.097840873,1.041610597,-0.021193248,1.05495787,-0.444515566,1.198000476,0.044724025,1.037063287,0.049846698,1.040914486,-0.302826729,1.529232755,0.006041713,1.085609525,0.051688432,1.032318559,0.355353489,1.023430607,0.066296465,1.021658012,0.120259186,0.977711502,0.217269475,1.013367092,0.043978726,1.02353518,0.062459741,1.044543447,0.230825816,1.371575327,0.042696461,0.972208261,0.082865122,0.979317395,-0.339295623,1.26415033,-0.01729605,1.124586264,-0.120658529,1.085833269,0.10398237,0.958740452,-0.052778297,1.060826605,0.035920596,1.157767609,-0.128723399,0.990590527,-0.016866973,0.817597477,0.111251918,0.950564026,-0.154317747,0.979894159,-0.022881711,1.044432436,-0.055333354,1.055129891,-0.129985268,0.676555009,0.056886191,1.056610015,0.081137006,1.038689101,-0.758135436,1.02432381,-0.036312797,1.067304189,-0.064785312,1.039890069,-0.064543032,1.483074326,0.135526714,1.125912617,0.126632525,1.103935314,0.238923523,0.908876489,0.000227438,0.879520555,0.017177746,0.987366436,0.036333107,1.251446819,-0.037035764,0.936212278,0.033641973,1.039618092,0.183428313,1.134294294,0.019942026,1.087212925,0.012837583,1.148190761,0.557771698,1.225401572,0.128926619,1.167873921,0.150988319,1.092040174,-0.196761838,0.628942625,-0.074445908,1.11964644,-0.085766307,1.108988136,-0.209539783,0.433673126,0.047617996,1.00656499,0.011817092,1.064293332,-0.252210567,1.725230146,-0.07346845,1.035874309,-0.029221021,0.942980121,0.23931501,1.241524459,0.000931018,1.049091473,-0.028983129,0.896812035,0.170478289,0.759893321,-0.022422626,0.94417824,0.035367031,0.880179179,-0.157967731,0.471020475,0.081387897,0.85611958,-0.002741226,1.00862687,0.39446609,1.681669087,0.079835988,1.143605917,-0.013552207,1.139719114,-0.247389554,1.158765414,-0.056290775,1.014561133,-0.016810719,1.067537917
0.03003003,0.030945362,1.061410939,0.136062999,1.107602992,0.03998904,1.225722351,0.085697861,1.166487779,0.34976956,1.049427868,-0.048916157,0.928700707,0.061419796,0.989819009,-0.359673743,0.807063662,-0.011725548,1.081512794,0.072134418,1.04939874,0.140095082,1.505561773,0.070469213,1.258637953,0.042271461,1.143450736,0.431792289,1.11212463,0.048188557,1.028663678,0.062992971,1.093990126,-0.452889668,0.974714129,-0.084138595,1.057848508,-0.011052715,1.072716053,0.029817953,1.134235599,0.052510326,1.054634303,0.057640269,1.060921324,0.311377087,1.252484559,0.015999633,1.101501581,0.055278302,1.05293214,-0.207388661,0.666047094,0.072100039,1.048211083,0.122264445,0.99543234,0.544296008,0.680514345,0.056435486,1.04515865,0.073523673,1.058004828,-0.232710735,0.764147107,0.053452664,0.995700754,0.093264238,0.998119215,0.080181314,0.795605317,-0.010508979,1.137137299,-0.105549314,1.099336274,-0.172327646,0.738182463,-0.034478585,1.087735311,0.048558386,1.173286034,0.007532591,0.809360988,-0.002062579,0.854038056,0.113392071,0.975674338,-0.020389358,0.91883831,-0.009285342,1.067095645,-0.035930452,1.072498813,0.441752101,1.493193865,0.064304185,1.078565373,0.0877779,1.0655805,-0.034070843,0.9396837,-0.026068326,1.092646907,-0.050719528,1.060754031,0.042541083,1.084754701,0.145692781,1.145095017,0.135827663,1.122781718,0.292836535,1.086709418,0.008322699,0.909601573,0.026453765,1.005512644,-0.654606094,0.315159866,-0.02260801,0.96471205,0.042963104,1.045844583,-0.176275049,0.892441443,0.031132991,1.109863143,0.024835376,1.165169584,0.107957844,1.442089298,0.13590793,1.182733719,0.156047804,1.114251511,0.470898934,0.642337937,-0.065419757,1.131010605,-0.07381414,1.127382655,0.391177232,1.59587192,0.056287449,1.027761355,0.024781958,1.083368123,0.028781767,1.542636382,-0.059493968,1.058816494,-0.015542717,0.970721472,0.160079256,1.1409683,0.010307666,1.069975382,-0.018707719,0.921006336,-0.437693104,0.957986548,-0.010414429,0.962856509,0.044263661,0.908894707,0.045740027,0.880084116,0.08721384,0.888104948,0.009535264,1.036844671,-0.427495655,1.773862767,0.083684384,1.158164199,-0.005642225,1.160261592,-0.212268989,1.075822626,-0.040619849,1.033283183,-0.004818782,1.085039389
0.04004004,0.041675295,1.082479013,0.083084056,1.028736898,0.050470925,1.242375874,0.095468697,1.183271506,0.122668073,0.867975843,-0.033660524,0.95322406,0.068872699,1.008525894,0.297654174,1.233521362,0.001053317,1.100076402,0.078289877,1.079039304,0.230295288,1.1489749,0.081116317,1.265729843,0.057036702,1.156510112,-0.014587403,1.676794711,0.058859993,1.057417763,0.072906186,1.118098741,-0.441197237,0.570513412,-0.070135693,1.074620305,-0.000744679,1.088076125,0.184978782,0.753671604,0.06058,1.07252119,0.065647362,1.080137802,0.453183445,0.475248851,0.026272182,1.118031291,0.0592116,1.068400032,0.454808935,1.307960087,0.078326208,1.074772782,0.124712293,1.028258817,-0.069516615,1.000498435,0.069152762,1.066742576,0.084762593,1.082575131,-0.135608163,0.980909984,0.064479011,1.019659223,0.103795335,1.026950923,-0.072631433,1.880757997,-0.003278621,1.150172422,-0.090234345,1.132080441,-0.515974271,1.182947251,-0.016061649,1.114754181,0.061262946,1.195259149,0.12283595,1.493802965,0.012974706,0.891089445,0.116187351,1.015180544,0.218485931,0.842113863,0.004613481,1.089871488,-0.016474332,1.089580771,0.555323346,1.239086611,0.072099932,1.100557677,0.094708769,1.081322848,0.440411008,1.121955626,-0.015549713,1.117832654,-0.036891961,1.084272146,0.568225652,0.770253124,0.156067938,1.16471773,0.145229842,1.142384333,-0.443852352,0.332857855,0.016821142,0.939304304,0.035144351,1.017235854,0.501169834,1.150852909,-0.008032033,0.993451128,0.052488205,1.084244009,0.299065584,1.023077828,0.042637133,1.133105797,0.037046559,1.187254133,-0.274711097,1.202603334,0.143218962,1.197505749,0.161414895,1.13045581,-0.10693206,1.403393172,-0.055934552,1.142848041,-0.06163388,1.156454979,0.202151395,1.241182108,0.065207407,1.049089197,0.037838729,1.102343674,-0.535363965,0.68051179,-0.045291234,1.081961056,-0.001758442,0.992507819,-0.028045435,1.454248881,0.019924829,1.091009159,-0.008471596,0.95317944,-0.117248538,0.979613624,0.001917391,0.981788043,0.053440804,0.935079451,-0.242931732,0.762925813,0.093424691,0.920477974,0.022013028,1.056002099,-0.243281878,1.24916192,0.08787862,1.173305094,0.005504541,1.175140538,-0.258994531,1.153106348,-0.024777469,1.052789139,0.007344263,1.104941721
0.05005005,0.052617601,1.103843005,-0.123447397,1.556291432,0.06123954,1.258902799,0.105379531,1.208215274,0.130817446,0.801641312,-0.018124115,0.978093185,0.076574383,1.028353271,0.509189485,0.555858401,0.014197301,1.119498539,0.084810596,1.097960257,0.178417088,1.446388615,0.092101332,1.273217963,0.071869107,1.181708847,0.310288324,1.050254285,0.069839754,1.086279119,0.083033613,1.136945485,-0.043541287,0.75599148,-0.055835278,1.091956856,0.009745673,1.1086477,0.175291994,1.147575355,0.068936026,1.090752064,0.073879111,1.101998821,-0.020722509,1.188669492,0.036858555,1.135213167,0.063585062,1.098620258,-0.249901245,1.549148333,0.084977781,1.101322135,0.127689893,1.055800069,0.021643967,1.127788868,0.082126694,1.088300614,0.096230772,1.104917616,0.611091948,0.986686933,0.075775503,1.044084014,0.11446988,1.053153794,0.057943018,1.073449265,0.004397878,1.163733923,-0.074722249,1.14264799,-0.187361938,0.535645873,0.002466575,1.14186383,0.075083075,1.207864966,0.185409558,0.867154766,0.028238681,0.92869449,0.119563348,1.033207293,-0.075451596,0.78264964,0.018809706,1.112756166,0.003028975,1.107093491,0.063320396,1.026450494,0.080274718,1.12258214,0.101856901,1.097689102,-0.466389793,1.370422534,-0.004755281,1.142852266,-0.025367697,1.108967505,0.507315033,1.536719791,0.166654215,1.184792321,0.154924776,1.175132401,0.609468968,0.905707438,0.025725018,0.968605229,0.045738829,1.038458221,0.083220042,0.997909372,0.006689084,1.022413354,0.062276128,1.10493937,-0.103307418,1.587590475,0.054453361,1.156927385,0.049531596,1.215739666,0.272364777,1.588606717,0.150859036,1.212217725,0.167120146,1.156164071,0.450216342,0.413791038,-0.045991721,1.155208169,-0.049286304,1.162342902,0.04123318,0.823754767,0.07437872,1.070559728,0.050985729,1.121539173,-0.188879242,0.935766853,-0.030862778,1.105306772,0.012133677,1.024112145,-0.099371476,0.752348351,0.029786466,1.112178537,0.002330016,0.9669609,-0.299536664,0.822987956,0.014570829,1.000983926,0.062873678,0.958504925,0.007796499,0.871267545,0.100023983,0.953212008,0.034671652,1.079550263,0.061802266,1.535156616,0.092427249,1.189043392,0.017211448,1.197906435,0.340657453,1.277888429,-0.008768223,1.07307544,0.019693162,1.125675245
0.06006006,0.063775232,1.125500091,-0.169060165,1.187126743,0.072295925,1.275330123,0.115428374,1.223090229,-0.263772373,0.586911184,-0.002313267,1.003306016,0.084527787,1.047250378,0.558715021,1.170095313,0.027702693,1.139777578,0.091715808,1.129522783,0.054085105,1.405544471,0.103422533,1.281158657,0.086772167,1.201506171,-0.533214356,1.413157631,0.081126243,1.115222869,0.093373551,1.160654388,0.020932226,0.929671224,-0.041240722,1.109886824,0.020446448,1.129490467,0.0975669,1.170687922,0.077581168,1.109353874,0.082346936,1.123115135,0.271107703,0.972739065,0.047757629,1.15305768,0.068461831,1.12025274,0.314890578,1.343164784,0.092057097,1.127838951,0.131098339,1.077073355,-0.071439569,1.479360599,0.095353191,1.109847753,0.107939908,1.131610674,-0.261017021,1.401903154,0.087341928,1.068973275,0.125290524,1.084562547,-0.114490412,1.688575604,0.012522874,1.177861154,-0.059027822,1.170463037,-0.404688647,1.299743953,0.021100198,1.169044785,0.088266217,1.233118381,-0.440625241,0.788863337,0.043722971,0.966792772,0.12338959,1.060223102,-0.315876143,0.640731777,0.033298023,1.135745781,0.022576809,1.123303514,0.451456565,0.85533821,0.088829428,1.144634706,0.109231994,1.114619721,0.493603452,1.441058817,0.00631648,1.167698544,-0.010299736,1.132306393,0.020261076,1.176594618,0.177453509,1.205327459,0.164911601,1.194937271,-0.360847851,1.192809866,0.03503617,0.997486145,0.054678479,1.058325741,-0.04239991,0.521452851,0.02155224,1.051582475,0.072228769,1.119871471,0.078704918,1.004763228,0.066580298,1.18131088,0.06224211,1.229273444,0.113192484,1.036299086,0.158827166,1.226898681,0.173124764,1.167956064,-0.016617482,1.539567052,-0.035593217,1.168138388,-0.036744421,1.196679439,-0.238963983,0.752239228,0.083802049,1.092184126,0.064221647,1.141057637,-0.270215547,1.281390608,-0.016211284,1.128852026,0.026139628,1.05681248,-0.125806145,0.669476307,0.03989643,1.133468766,0.013422251,0.99193512,0.084465494,1.241708518,0.027543566,1.020455158,0.072595951,0.991625751,0.184896912,1.224592612,0.107014825,0.986279486,0.047549562,1.108025509,0.7485849,1.639599398,0.097338529,1.205390797,0.030351212,1.218977274,-0.08604108,0.993553847,0.007403231,1.09413353,0.032210085,1.141053552
0.07007007,0.075151102,1.147446662,0.278439209,1.497048995,0.08364088,1.291686503,0.125613715,1.246104953,0.642010259,1.509667101,0.013765429,1.028859273,0.092794525,1.075463876,-0.003552219,1.26945551,0.041565375,1.16090678,0.099074233,1.156623253,-0.201955588,0.952431399,0.115077807,1.289606322,0.101739681,1.213798851,0.096172253,0.619070448,0.092717573,1.144224149,0.103926648,1.179180023,-0.294203215,0.910177664,-0.026355651,1.128436308,0.031354414,1.149151784,0.252133542,1.69891418,0.08651797,1.128352063,0.091058609,1.146153075,0.790355092,0.918838372,0.058967968,1.171571107,0.073772491,1.143305374,0.308799044,1.258824772,0.099566013,1.154303883,0.134897987,1.100071057,-0.067715895,1.210904652,0.108827927,1.131400103,0.11985574,1.148517408,0.196562315,0.914192924,0.099177857,1.094322783,0.136251269,1.105463525,0.060090963,0.985068167,0.021098219,1.192590087,-0.043148219,1.182753568,-0.089008549,1.346170002,0.039833381,1.196277496,0.102431182,1.252888186,0.074140854,0.942286561,0.059421034,1.00532079,0.127802006,1.091173695,0.286000993,1.217957529,0.048072882,1.158836246,0.042129127,1.153135551,0.57443271,1.541859429,0.097764536,1.166712023,0.116906798,1.141187073,-0.698079334,1.105862861,0.017666901,1.192366206,0.001059011,1.151909367,-0.217097447,1.699542528,0.18846757,1.226328691,0.175176059,1.225831316,-0.073101717,1.248748239,0.044756012,1.025934273,0.065074029,1.077191664,-0.471662425,1.347549365,0.036554313,1.080942119,0.082421999,1.159191759,0.102123846,1.027479143,0.079016279,1.206235703,0.075137194,1.250734401,0.275176022,0.68341933,0.167122059,1.24157873,0.179332248,1.182349835,-0.515175533,1.404860923,-0.024741522,1.181683624,-0.023941686,1.215473985,-0.223584405,1.323070974,0.093477849,1.113973318,0.077545681,1.160990394,0.193175926,0.755688418,-0.001339592,1.152594694,0.040252649,1.081971558,-0.098051219,1.170324623,0.050258448,1.154864694,0.025001514,1.027996969,-0.321747496,0.930715579,0.040832964,1.040212522,0.082598198,1.013009005,0.083066401,1.142792508,0.114399887,1.019651907,0.060634893,1.129007366,0.424666809,0.923821025,0.102620398,1.222355792,0.04055591,1.231838151,0.023726428,0.392287977,0.023732168,1.11594983,0.044856292,1.151950828
0.08008008,0.086748088,1.169678267,-0.192177065,1.92481277,0.095274957,1.308002007,0.13596572,1.271565201,-0.127655279,0.6930561,0.030105132,1.054748292,0.101346789,1.090287336,-0.348809305,1.500053471,0.055780834,1.182874203,0.106868132,1.185475797,0.075550097,1.60632774,0.127064653,1.298612959,0.116779309,1.246836217,-0.098181474,1.274410695,0.10461157,1.173258126,0.114700256,1.204558567,0.266796056,1.578398622,-0.011183951,1.147628499,0.04249896,1.175430576,0.069472252,1.17150358,0.095748744,1.147770228,0.100009785,1.166273891,0.106685291,1.846457563,0.070487817,1.190755405,0.079634391,1.176419233,-0.100775456,1.153919218,0.107505901,1.18069849,0.139105853,1.12310622,0.115446247,1.090402251,0.122546345,1.152974659,0.131931308,1.167697255,0.026016969,1.439471008,0.111282637,1.120125776,0.147353668,1.138539725,0.195892169,0.910653327,0.030125252,1.207952894,-0.027106045,1.202342102,0.27729383,1.789073352,0.058660336,1.223542337,0.116854244,1.27644444,0.321719366,1.069568998,0.075326167,1.044212169,0.13283586,1.121656682,0.219491956,1.767153217,0.063128494,1.182023185,0.061638015,1.183603738,-0.468849609,1.25602894,0.107080105,1.188811412,0.124882438,1.158205756,0.807755318,1.152131293,0.029297127,1.216851829,0.01743623,1.175185352,0.455696417,0.979103565,0.199697993,1.247798234,0.185692625,1.241802355,0.150296142,0.80464371,0.054885531,1.053942301,0.075606734,1.092561979,-0.644806892,0.90004105,0.051692164,1.110475738,0.092862943,1.175914573,0.521403269,1.623367934,0.091759348,1.231677724,0.088301063,1.280199097,0.35803425,1.588144218,0.175742114,1.256288793,0.185928243,1.215762184,-0.132155667,1.162303586,-0.013439647,1.195885891,-0.010961757,1.232903244,0.713150852,1.628743817,0.103406371,1.135937755,0.090956816,1.181092972,-0.095355282,1.122558495,0.0137493,1.176532033,0.05447,1.11501365,0.008852311,0.938468783,0.060876111,1.176350846,0.037126308,1.051013651,0.0941376,1.438228982,0.054436069,1.060266436,0.092890904,1.04808133,0.574061483,0.929712815,0.1221814,1.053299812,0.073884295,1.147341851,0.279138255,0.837610085,0.108280451,1.239943524,0.051420086,1.250850182,0.075624143,1.386915293,0.040213797,1.138505746,0.057704151,1.184544292
0.09009009,0.098569017,1.192189546,0.072743351,1.362015302,0.107198452,1.324307832,0.146464513,1.285589936,-0.16634012,1.023104905,0.046698761,1.080966846,0.110159822,1.114431312,-0.033128471,0.944272341,0.070344156,1.205662644,0.115052952,1.206809559,0.483219807,1.219573288,0.139380187,1.308227725,0.131892144,1.260915338,0.551201111,1.19166665,0.116805769,1.202300027,0.125712365,1.226762919,0.053329272,1.089996574,0.004270236,1.167483334,0.053864723,1.191933884,-0.072447742,0.70672915,0.105275562,1.167629777,0.109187935,1.186726917,-0.3611817,0.620263917,0.082315101,1.210608115,0.085944464,1.189125121,-0.506923543,1.409501447,0.115877634,1.207005275,0.143776853,1.152040043,-0.494249261,0.732604266,0.136503663,1.174589044,0.144155981,1.183064948,0.173259637,1.322777145,0.123655387,1.146372802,0.158605215,1.164165977,1.03000854,0.821601465,0.03960479,1.223977544,-0.010885879,1.221578842,0.112115142,1.36053017,0.077575331,1.250819607,0.130659755,1.292602912,-0.1587272,1.365459448,0.091431519,1.083397886,0.138517116,1.155140983,0.041663715,1.553028739,0.07845884,1.20530183,0.081132968,1.200847976,-0.244295668,1.228581385,0.116775779,1.210930808,0.13311651,1.178512213,0.319742267,1.423275588,0.041208106,1.241153753,0.030445804,1.200752504,0.182976867,1.322290766,0.211146213,1.269734787,0.196444204,1.270433552,0.156477545,0.55322277,0.065425272,1.081508375,0.086108657,1.109225002,0.46955671,1.090234703,0.066962634,1.140166559,0.10350374,1.2037576,-0.343204005,0.934528948,0.104807258,1.257609279,0.101683859,1.292883851,-0.231179226,1.449787775,0.184685422,1.271060318,0.192951969,1.234802737,0.074081826,1.043037675,-0.001691127,1.210783848,0.002196659,1.251815375,-0.34014643,1.004614157,0.113587657,1.158087184,0.104451934,1.201188659,0.065789258,1.193771079,0.029052235,1.200660554,0.068793922,1.145719352,-0.075729736,0.964188623,0.071752856,1.197911505,0.048907652,1.078854938,0.019848679,1.730093243,0.06834961,1.080626802,0.103523443,1.079979622,-0.003405455,1.357066016,0.130361138,1.087192758,0.08733625,1.177816621,-0.479769808,1.264786397,0.114325923,1.258155712,0.060694058,1.275686648,-0.288840977,1.199034771,0.056843268,1.161777711,0.070783618,1.202364188
