time,actual-u1,actual-u2,S1-noise-u1,S1-noise-u2,S1-gp-u1,S1-gp-u2,S1-proj-u1,S1-proj-u2,S2-noise-u1,S2-noise-u2,S2-gp-u1,S2-gp-u2,S2-proj-u1,S2-proj-u2,S3-noise-u1,S3-noise-u2,S3-gp-u1,S3-gp-u2,S3-proj-u1,S3-proj-u2,S4-noise-u1,S4-noise-u2,S4-gp-u1,S4-gp-u2,S4-proj-u1,S4-proj-u2,S5-noise-u1,S5-noise-u2,S5-gp-u1,S5-gp-u2,S5-proj-u1,S5-proj-u2,S6-noise-u1,S6-noise-u2,S6-gp-u1,S6-gp-u2,S6-proj-u1,S6-proj-u2,S7-noise-u1,S7-noise-u2,S7-gp-u1,S7-gp-u2,S7-proj-u1,S7-proj-u2,S8-noise-u1,S8-noise-u2,S8-gp-u1,S8-gp-u2,S8-proj-u1,S8-proj-u2,S9-noise-u1,S9-noise-u2,S9-gp-u1,S9-gp-u2,S9-proj-u1,S9-proj-u2,S10-noise-u1,S10-noise-u2,S10-gp-u1,S10-gp-u2,S10-proj-u1,S10-proj-u2,S11-noise-u1,S11-noise-u2,S11-gp-u1,S11-gp-u2,S11-proj-u1,S11-proj-u2,S12-noise-u1,S12-noise-u2,S12-gp-u1,S12-gp-u2,S12-proj-u1,S12-proj-u2,S13-noise-u1,S13-noise-u2,S13-gp-u1,S13-gp-u2,S13-proj-u1,S13-proj-u2,S14-noise-u1,S14-noise-u2,S14-gp-u1,S14-gp-u2,S14-proj-u1,S14-proj-u2,S15-noise-u1,S15-noise-u2,S15-gp-u1,S15-gp-u2,S15-proj-u1,S15-proj-u2,S16-noise-u1,S16-noise-u2,S16-gp-u1,S16-gp-u2,S16-proj-u1,S16-proj-u2,S17-noise-u1,S17-noise-u2,S17-gp-u1,S17-gp-u2,S17-proj-u1,S17-proj-u2,S18-noise-u1,S18-noise-u2,S18-gp-u1,S18-gp-u2,S18-proj-u1,S18-proj-u2,S19-noise-u1,S19-noise-u2,S19-gp-u1,S19-gp-u2,S19-proj-u1,S19-proj-u2,S20-noise-u1,S20-noise-u2,S20-gp-u1,S20-gp-u2,S20-proj-u1,S20-proj-u2,S21-noise-u1,S21-noise-u2,S21-gp-u1,S21-gp-u2,S21-proj-u1,S21-proj-u2,S22-noise-u1,S22-noise-u2,S22-gp-u1,S22-gp-u2,S22-proj-u1,S22-proj-u2,S23-noise-u1,S23-noise-u2,S23-gp-u1,S23-gp-u2,S23-proj-u1,S23-proj-u2,S24-noise-u1,S24-noise-u2,S24-gp-u1,S24-gp-u2,S24-proj-u1,S24-proj-u2,S25-noise-u1,S25-noise-u2,S25-gp-u1,S25-gp-u2,S25-proj-u1,S25-proj-u2,S26-noise-u1,S26-noise-u2,S26-gp-u1,S26-gp-u2,S26-proj-u1,S26-proj-u2,S27-noise-u1,S27-noise-u2,S27-gp-u1,S27-gp-u2,S27-proj-u1,S27-proj-u2,S28-noise-u1,S28-noise-u2,S28-gp-u1,S28-gp-u2,S28-proj-u1,S28-proj-u2,S29-noise-u1,S29-noise-u2,S29-gp-u1,S29-gp-u2,S29-proj-u1,S29-proj-u2,S30-noise-u1,S30-noise-u2,S30-gp-u1,S30-gp-u2,S30-proj-u1,S30-proj-u2
0,0,1,1.226535044,0.005312496,0.231052466,0.733851815,0.254566844,1.068636606,-0.752070316,0.875857798,-0.062773444,0.771199148,-0.015604481,0.825103686,1.580631816,1.668892996,0.113751853,0.957935966,-0.017646939,1.141998374,1.142653186,0.073874463,-0.037233208,0.733267186,0.030720682,0.937790948,-0.960765632,1.352251229,0.062116681,1.28834985,0.200230099,1.275262549,-0.991829326,0.560400417,-0.004052165,0.7035002,-0.080970151,1.027868006,-0.785749063,-0.364632571,0.131741273,0.715254432,0.078941716,0.909828384,0.725817158,0.519907186,0.080255206,0.745041167,0.271796086,0.914310884,-1.728879208,2.268242284,-0.046366134,1.039637375,-0.056291914,1.06829911,-0.744584536,0.126453082,0.130860421,1.014138609,0.179806558,1.002734138,-1.128372082,0.752235231,-0.259777823,0.933938356,-0.126603366,1.168830076,-0.401393465,2.346536078,0.191551444,0.470851556,-0.037487466,0.608390865,1.491896678,3.002574131,0.080973716,1.128041476,-0.118013428,1.272474739,-0.18525936,1.1414969,0.527037975,0.973753427,0.566986266,1.090589377,0.128150886,2.131328055,0.074311193,1.109288188,-0.035324078,1.073257301,-0.386345739,-0.465043814,-0.068066463,0.51591864,0.006680173,1.01940134,-0.312933268,0.7603286,0.213453225,0.927324161,-0.000192709,1.11321359,0.026208482,1.736728577,-0.220134375,1.038864859,-0.158054477,0.810365683,-0.021183272,0.585072062,-0.149975762,0.824050168,-0.064675603,0.934598039,-1.218922467,1.641236527,-0.05408607,0.907179286,-0.065882062,1.20202356,-1.50457886,1.199184724,0.066332588,0.868871871,0.161100063,0.616085226,-0.681128582,2.206315037,0.001095597,1.283111811,-0.163059631,1.194403583,2.278805505,-0.009237273,0.212797414,0.901087766,0.101634077,1.166188313,-0.944755946,3.049332662,-0.168604481,1.42832013,-0.282995509,1.369146435,-0.800658108,1.679621085,0.178276436,0.521121175,0.285984074,1.032882366,0.815880091,1.367734893,-0.077888856,0.628942479,0.071203172,0.773775727,0.758454597,0.588625151,-0.012419804,1.163928348,-0.120430088,1.156843786,0.735354811,1.301368746,0.03244444,1.260509474,-0.0510935,1.134472664,0.521799708,0.018395149,-0.144992854,0.837497129,-0.181258317,1.021500569,0.937699158,1.73540698,0.418170362,1.181432489,0.445915625,1.402053524
0.01001001,0.010110712,1.020170299,1.132815992,1.376113136,0.237972355,0.755616093,0.262592973,1.10331515,0.426538175,2.430741271,-0.052501501,0.797640721,-0.01378255,0.85725643,-0.225557749,1.353466931,0.121748908,0.986833243,-0.006139051,1.165173052,-0.285412795,0.55957456,-0.024381102,0.765374566,0.034811695,0.964151995,-1.148753451,1.184705108,0.075413578,1.327831106,0.200237721,1.301542098,0.31196176,0.858921803,0.009913871,0.741595313,-0.066373215,1.047955837,0.159107483,0.849403064,0.142977317,0.735326203,0.088307238,0.924182866,0.845754253,2.666334149,0.086087292,0.767179369,0.267167213,0.92713871,-0.848706716,1.576919916,-0.029948759,1.051140206,-0.04462323,1.076411653,0.186366092,1.888565969,0.144361719,1.044063476,0.178720503,1.046241005,1.145866763,0.709995246,-0.248314165,0.961885953,-0.128551847,1.183904261,-0.103109571,0.946967868,0.203783238,0.508367908,-0.007089965,0.641262643,-0.56195337,1.431538153,0.088483648,1.149097988,-0.105776974,1.273270771,0.887652224,1.402431615,0.530668316,1.000777706,0.567290124,1.114604902,1.00219228,1.11738198,0.081658567,1.12427839,-0.024869189,1.088948002,-0.555111496,0.251702354,-0.053741559,0.541610009,0.014176814,1.035256872,0.309109802,1.853247698,0.223767612,0.963783994,0.020868531,1.158905031,-0.728826918,0.237041219,-0.204783964,1.047703735,-0.150175974,0.813402887,0.663392268,1.740523184,-0.133116054,0.845779475,-0.050280007,0.965961948,0.059088222,0.685011046,-0.037543644,0.940193402,-0.053675924,1.206392564,-0.831779695,0.360959281,0.082654783,0.897099433,0.160233148,0.6509976,0.605183433,1.499492029,0.01460589,1.297975322,-0.140619029,1.220135284,2.230989314,0.878718288,0.223935968,0.930948629,0.110804749,1.193384583,-0.228613367,2.191367927,-0.157228158,1.447291177,-0.267621616,1.384560596,1.429862259,-1.102617664,0.189950804,0.564928805,0.282294659,1.018468607,0.102863224,-0.172025241,-0.062045868,0.661535458,0.073170855,0.793131766,1.342821452,0.221491662,-0.000949931,1.185052352,-0.109875511,1.166051835,-0.931951218,2.111996674,0.049164726,1.278396279,-0.029662492,1.164043847,0.422006618,0.671923485,-0.128849966,0.863652929,-0.170156103,1.042263994,-0.764536368,2.24644152,0.427455334,1.215892217,0.451704307,1.441654952
0.02002002,0.020424832,1.040640888,-0.220983986,2.125854306,0.245070114,0.778079432,0.268280218,1.131667362,0.271333771,1.72900061,-0.041909435,0.824640387,-0.011456116,0.881179171,1.573962979,0.699516394,0.129938442,1.016106535,0.005549917,1.185926265,0.367339887,0.899953701,-0.011337549,0.798133349,0.039298937,0.99076927,0.397712648,0.540938918,0.088839108,1.366757958,0.200679336,1.322187439,0.894945298,-0.187154131,0.024146576,0.780216341,-0.051567959,1.057254661,0.212842484,3.243229365,0.154402971,0.756096992,0.097932029,0.944741979,1.398576129,0.345111254,0.09223309,0.78962879,0.264143953,0.940382448,0.14952198,-0.386191228,-0.01338288,1.062641226,-0.0329652,1.068250396,0.68671324,3.316878616,0.157967889,1.074301262,0.178748344,1.088103682,-0.19335199,1.273434405,-0.236573299,0.990362447,-0.130077935,1.200157325,0.931377032,-0.316646983,0.21615178,0.546981596,0.023119632,0.676117613,-0.716475363,1.299754234,0.096184747,1.170404205,-0.093458071,1.28698774,0.870407695,1.836637865,0.534435538,1.028207688,0.567790988,1.138904061,1.097950596,0.210333716,0.089213365,1.139544914,-0.014306127,1.105188419,0.689989958,1.257535743,-0.039308165,0.567989183,0.021959184,1.054022178,-0.395419599,-0.072083192,0.234240254,1.000526976,0.04193803,1.143150315,-0.885532521,1.777418673,-0.189199284,1.056733371,-0.141926407,0.857478555,0.465234528,0.55308932,-0.115951693,0.867666454,-0.038086467,0.972247786,-0.697772173,2.145341044,-0.020847332,0.97375646,-0.041264394,1.265639558,-1.30928363,-0.21180454,0.0990907,0.925722787,0.159873134,0.689426968,-0.53138197,1.982086537,0.028309257,1.313125933,-0.118162274,1.246268821,0.276230039,0.970940075,0.235192877,0.961377116,0.120282221,1.213269257,2.013127802,0.761467695,-0.145562842,1.466368735,-0.252121502,1.393029515,-0.654704703,1.001918712,0.201813632,0.609348352,0.27758967,1.056564138,0.363530561,1.246461297,-0.046000262,0.694833314,0.075457739,0.821845391,0.816034752,2.103898868,0.010764809,1.205844479,-0.098959158,1.20104699,1.414492464,1.320433424,0.066116876,1.296237097,-0.008111095,1.182585294,-0.376368794,1.143929892,-0.112505537,0.890242413,-0.158823017,1.06303905,0.858584854,0.874436643,0.436846877,1.250660849,0.459282175,1.460717592
0.03003003,0.030945362,1.061410939,-1.127996301,2.119516297,0.252346463,0.801240386,0.274958973,1.152363045,0.950161673,-0.485409976,-0.030997989,0.852177812,-0.008751722,0.89914433,-0.089901253,-0.28445605,0.138320637,1.045733481,0.017400468,1.203872678,0.733726044,3.525283543,0.001894904,0.831509235,0.044189392,1.017635831,-1.08765406,2.119483952,0.102389359,1.405043186,0.201725335,1.367176528,-0.63173115,1.004519878,0.038642973,0.819314201,-0.036485556,1.084727247,-0.424116858,1.947161372,0.166016879,0.777571154,0.107763849,0.954154134,0.134353725,1.121786188,0.098694814,0.812383439,0.25554189,0.954106665,-0.768235689,-0.356956647,0.00332511,1.074169668,-0.021316146,1.076628531,-0.955814149,0.699725214,0.171675879,1.104815524,0.179600247,1.109072007,0.870296214,1.193287507,-0.224557337,1.019360311,-0.131167833,1.216071818,0.446083801,-0.827618052,0.22865455,0.586657833,0.053037801,0.722911593,0.120366813,0.926544678,0.104077131,1.191948286,-0.081020412,1.298171175,0.126199631,-0.107313337,0.538343631,1.056023349,0.568459002,1.154715953,1.188124933,1.876149225,0.096975315,1.155102105,-0.003572134,1.146297855,0.897918427,-0.028751058,-0.024769471,0.595048633,0.02989041,1.056200437,-0.931188327,-0.491851013,0.244869166,1.037509566,0.063082742,1.156702485,0.849432475,2.51115937,-0.173383951,1.065991123,-0.133048637,0.892239784,1.285657802,2.0145948,-0.098489457,0.889703481,-0.02288402,1.007203224,-0.228722103,0.414554479,-0.004002278,1.007826388,-0.028691217,1.25284121,1.419326956,2.53885569,0.115635622,0.954716961,0.160349856,0.767171469,0.993895253,1.67689791,0.042202551,1.328583916,-0.095702758,1.272657787,-0.278940497,1.3557701,0.246566199,0.992355028,0.130059063,1.23929196,0.243496107,0.800505793,-0.133609506,1.485570737,-0.236493018,1.410828044,0.069992477,-0.369326572,0.213862299,0.654311068,0.274556274,1.058406961,-0.121131258,0.514146304,-0.029756201,0.728798906,0.078087332,0.844497552,0.429479041,1.750980296,0.022722395,1.226302494,-0.087646223,1.214249189,-1.090618549,2.060461975,0.083295089,1.314031975,0.013548411,1.212313014,-0.483103422,0.566036682,-0.095964016,0.917262071,-0.147281437,1.079411076,-0.059711676,3.102812445,0.446343772,1.285694676,0.465701452,1.517881368
0.04004004,0.041675295,1.082479013,0.499565973,1.421953934,0.259802009,0.825094767,0.286795735,1.16521233,-0.243965255,0.107594049,-0.019768164,0.880230475,-0.005627349,0.927770956,-1.733778298,0.970774796,0.14689557,1.075689962,0.029466001,1.238915502,-0.034175857,-0.163941732,0.015313609,0.865465206,0.049489898,1.044743892,0.321803661,0.604186572,0.116060355,1.442601601,0.203292135,1.378912538,-0.694902969,1.451649237,0.053399875,0.858837874,-0.020991486,1.107941534,0.930087467,1.349616726,0.177817575,0.799751014,0.117710057,0.965528433,0.883245711,0.348435786,0.105474351,0.835437149,0.253332544,0.968312808,-0.891890125,2.045637124,0.020168767,1.085755785,-0.009296135,1.112486614,0.258928748,0.694543178,0.185482588,1.13556785,0.181180056,1.143320001,0.955201579,0.064011569,-0.212268579,1.048870216,-0.131842047,1.230737175,-0.740234745,-1.067861211,0.241288944,0.627357758,0.082545854,0.774254525,-1.19595631,0.012988229,0.112160811,1.21371691,-0.06848957,1.303999268,0.294052234,1.458762749,0.542396496,1.084202679,0.569318401,1.184263303,0.518695189,1.385002441,0.104944012,1.170962572,0.007347379,1.166825757,0.442599519,-0.370011192,-0.010128716,0.622778925,0.037865664,1.064380292,0.124097321,0.211643688,0.255652249,1.074687384,0.084164269,1.193280066,0.201346746,0.876601701,-0.157341723,1.07551417,-0.123886498,0.895069864,0.131667735,0.901719035,-0.080736396,0.911883602,-0.012871425,1.014835744,-0.158362173,2.240674128,0.012986302,1.042357778,-0.015949754,1.320148171,0.865952295,0.771114863,0.132284767,0.98405523,0.16156938,0.790642294,0.485808214,2.126777056,0.056282512,1.34436817,-0.073254506,1.299369193,-0.514301184,2.196851651,0.258053931,1.023861614,0.140232485,1.272828298,-0.22429969,1.632016405,-0.121369309,1.504914376,-0.220713846,1.436233776,0.522858728,0.786128631,0.22609401,0.69974552,0.271985099,1.08706537,-1.784467266,1.259029915,-0.013317972,0.763392136,0.08105325,0.871875183,0.724924063,-0.358644217,0.034920639,1.246426511,-0.076337173,1.206708159,1.053641214,2.289213712,0.100693391,1.331780779,0.035284636,1.239040175,0.680706165,0.65016535,-0.07922998,0.944707461,-0.135537022,1.098924417,0.484997211,-0.228360258,0.455944736,1.320947815,0.472952503,1.514974971
0.05005005,0.052617601,1.103843005,-0.118112207,0.37949596,0.267437248,0.849635532,0.294187604,1.174049297,0.79316795,0.534798058,-0.008221227,0.908773668,-0.001988784,0.956204194,1.259567736,0.542177334,0.15566321,1.105950073,0.041766011,1.26180533,-1.659774106,1.822887072,0.028915815,0.899961577,0.055207159,1.072085371,-2.114150276,1.523699923,0.129848056,1.479350501,0.205310556,1.416834193,0.022628588,1.136597695,0.068413882,0.898734521,-0.005192448,1.125604617,0.159339901,-1.673627257,0.189803478,0.822636764,0.127694074,0.967316628,1.218061741,-0.20243873,0.112573251,0.85878357,0.249912654,0.982944499,-0.686439443,1.467582837,0.037141606,1.097430649,0.00311268,1.122870485,-0.662350392,1.350091322,0.199384871,1.16651794,0.183711122,1.181005881,0.709557278,1.9029898,-0.199709513,1.078880923,-0.132056306,1.249810467,0.122412758,1.046028534,0.254052272,0.669038419,0.111380048,0.863192654,2.459270205,0.185120731,0.120435691,1.235695253,-0.05585473,1.317485541,-0.032985239,0.570766954,0.546597937,1.112721649,0.570391965,1.204990619,-0.304555675,1.31214839,0.113118913,1.187137008,0.018420696,1.191983272,-0.643185351,-0.933860412,0.004610813,0.651168637,0.045929906,1.071121821,-0.195591563,2.183073845,0.266587295,1.112015308,0.105029758,1.257751006,-2.39753443,0.435827007,-0.141076501,1.085339257,-0.114577227,0.913220924,-0.108597643,0.410029289,-0.062699828,0.934200564,-0.000272793,1.028825643,1.238796526,-0.26354033,0.030113132,1.077301938,-0.003076982,1.289596032,-0.541367391,0.234661733,0.149033289,1.013709114,0.163261846,0.829389598,-0.670518288,0.680950422,0.070545772,1.360496016,-0.050830123,1.326216202,0.667735118,1.53263555,0.269654013,1.055873497,0.150728256,1.288387822,0.84670016,0.414920227,-0.108843602,1.524415874,-0.204792964,1.446926093,0.711946531,0.889968315,0.238505794,0.745577753,0.270207396,1.104978934,0.667249334,0.310549102,0.003310009,0.798570005,0.084357824,0.894437089,-0.842805179,0.073945891,0.047357181,1.266218952,-0.064976887,1.225853322,-0.512818843,0.793065814,0.118305643,1.34948313,0.057129435,1.253622224,-0.338843543,1.870692245,-0.062308133,0.972573094,-0.123538533,1.124642319,-0.267061464,-0.186642294,0.465648422,1.356372302,0.479578107,1.548325799
0.06006006,0.063775232,1.125500091,1.06931326,0.590178402,0.275252555,0.874852674,0.305260471,1.195960422,0.781830759,2.310539171,0.00364129,0.937780502,0.002210508,0.990088725,0.878580608,1.93193591,0.164623419,1.136486109,0.054301442,1.297017868,1.140907284,1.654546949,0.042698669,0.934956053,0.061347806,1.099651055,0.405942231,0.241389339,0.143748365,1.515210116,0.207801494,1.430948232,-0.437926722,-0.576918125,0.083681389,0.938949603,0.010733221,1.131479608,0.38444219,1.198765945,0.201972896,0.846226368,0.137818713,0.989515429,-0.799006039,-0.044747473,0.119992719,0.882416154,0.239508294,0.998122597,0.931086557,0.62973158,0.054237106,1.109225954,0.015646404,1.128179495,0.418550364,1.703807232,0.213379537,1.197623705,0.18721972,1.217129434,-1.214518384,1.171304108,-0.186882815,1.109379183,-0.131784804,1.266322375,1.231631024,0.709925301,0.266941764,0.711652778,0.139531205,0.909513124,1.353237499,2.050826148,0.128901562,1.257866968,-0.043034731,1.346095658,0.800346294,0.606804605,0.550951657,1.141554203,0.57166095,1.228942548,-0.519409223,0.599606803,0.121499347,1.203634022,0.029648182,1.211138541,0.179032024,1.90258644,0.019445785,0.680204282,0.054320511,1.10357749,1.170732986,1.064973126,0.277671981,1.149447569,0.125759456,1.259536859,1.093807863,1.168576862,-0.124592327,1.09550243,-0.104873984,0.947011641,0.176737282,1.82349433,-0.044387331,0.956648839,0.014015244,1.064055422,0.946878325,1.055438707,0.047372874,1.11260697,0.009891337,1.344704325,1.526670059,1.887524756,0.165876282,1.043648403,0.165763694,0.893878258,-0.257863348,0.737196189,0.084988854,1.376983,-0.028441925,1.353373427,-0.478701491,0.358932885,0.281364327,1.088364617,0.161364596,1.296514203,-0.282662922,1.778083733,-0.096033929,1.544090237,-0.188725193,1.476296192,0.312252798,-0.302919494,0.2510945,0.791731468,0.26861969,1.108798581,-0.343796487,-0.353460561,0.020123208,0.83428669,0.087977685,0.918088826,-0.54439699,1.577419825,0.060029496,1.285684473,-0.053185234,1.259376214,-1.24430514,0.316219549,0.136125546,1.367138327,0.079089164,1.275221868,0.302868024,1.243351242,-0.0452033,1.00085231,-0.111293201,1.142504839,-0.369146975,1.735737224,0.475453422,1.391918209,0.486694673,1.601400538
0.07007007,0.075151102,1.147446662,0.44225709,1.716007622,0.28324819,0.900733125,0.312838245,1.227335681,0.893872641,0.079099743,0.015817587,0.967221922,0.006886321,1.009082353,-1.219180679,1.754406189,0.173775949,1.16726855,0.067083219,1.322534538,-0.279883729,2.391120561,0.056659218,0.970403799,0.067918016,1.127431133,1.608069896,0.901203257,0.157757129,1.550104034,0.210716819,1.464094877,-0.355252852,-0.362692856,0.099198579,0.979427004,0.026809978,1.152059342,1.952416346,0.362077378,0.214324021,0.870515467,0.148167772,1.000291569,0.063466525,-0.137362918,0.127733609,0.906328142,0.238149201,1.013833769,1.303290039,2.097672877,0.071448719,1.121173788,0.028453802,1.155637694,-0.865305454,2.025138213,0.227463354,1.228841371,0.19168127,1.253137369,1.080809377,0.976316575,-0.173791347,1.140349632,-0.131047921,1.283801461,0.437084206,-1.076318563,0.279954566,0.755149726,0.167336628,0.931457582,-1.667682501,1.769168121,0.137558106,1.280214169,-0.030025212,1.359775702,1.62065864,1.072574281,0.555461247,1.170672247,0.573144666,1.253592362,0.758143447,2.56798585,0.130084505,1.220459976,0.041090156,1.255973246,-0.552958118,2.10999869,0.034372822,0.709870234,0.063125129,1.119575805,-0.207704166,0.884671481,0.288903878,1.186937855,0.146464556,1.279464882,-1.722998778,1.586742577,-0.107893381,1.10603878,-0.094682933,0.977872995,0.337593595,0.417514357,-0.025806738,0.97922363,0.028177255,1.069068514,-0.005209281,-0.749497002,0.064760134,1.148217857,0.022997076,1.329537239,1.255028781,-0.160359136,0.182808781,1.073841177,0.16893208,0.913433548,-1.332739656,2.932380475,0.099608175,1.393842696,-0.006104068,1.380874564,-0.125320282,1.095732728,0.293182696,1.121306173,0.172256478,1.328034934,0.198468624,1.263203138,-0.082942025,1.56395102,-0.172501181,1.493575995,-1.156596975,-0.863542944,0.263856805,0.838128214,0.266933335,1.11966595,1.157268205,0.613907562,0.037116967,0.870493627,0.091959537,0.94709501,0.398920157,2.892938728,0.072934887,1.304829874,-0.040831255,1.293457928,-1.027468463,1.609436488,0.154146643,1.384745274,0.101095622,1.309851469,0.872454144,1.804381983,-0.027920425,1.029537155,-0.09881188,1.166003732,1.42783424,1.943503059,0.485358263,1.427533764,0.494922648,1.633698072
0.08008008,0.086748088,1.169678267,0.236641105,-0.067711188,0.291424291,0.927260672,0.321287707,1.22754822,0.556328365,2.267445558,0.028305594,0.997066732,0.012056263,1.045004471,-0.02635453,-0.969906035,0.183120439,1.198266056,0.080008317,1.329766839,-1.546342245,0.34326043,0.070794411,1.006257528,0.074924012,1.155414807,-0.279179964,1.651977985,0.17187014,1.583959608,0.214241439,1.498849939,1.90459413,2.647674263,0.114961427,1.020109167,0.043400969,1.19571325,0.095780977,2.286541368,0.226854932,0.895497302,0.158727456,1.021578625,1.325470236,2.459900209,0.135796419,0.930512538,0.238918125,1.029941789,1.468333298,1.246535283,0.08876988,1.133306411,0.041538372,1.161350916,-1.000129143,0.805780702,0.241633044,1.260125602,0.196982975,1.281255721,-1.663540689,1.690939313,-0.160438158,1.1717747,-0.129809281,1.303019235,0.332192126,-0.074358983,0.293087743,0.799474118,0.194651476,0.999333157,-1.354424176,2.810307337,0.146404891,1.302717424,-0.016822248,1.388003562,0.491228057,1.16257628,0.560130184,1.200045653,0.574845261,1.277192445,0.800858084,1.371898669,0.138873448,1.237618835,0.052735504,1.269729231,0.149478226,2.789206889,0.049388506,0.74014866,0.072222005,1.139912731,1.195566524,1.790595857,0.300280446,1.224439398,0.167015432,1.321906153,-0.854517145,0.351834258,-0.090983984,1.116982167,-0.084197934,0.987388425,-0.61765705,0.852218496,-0.006966128,1.001920872,0.039398159,1.093635766,-2.111385702,1.747750171,0.082269467,1.184076572,0.036286479,1.411165993,-1.005141987,1.888960488,0.199825767,1.104253831,0.172829492,0.982460827,-0.328630271,0.519576272,0.114400047,1.411086521,0.016173024,1.408255623,0.674828129,2.037268172,0.305106889,1.154666596,0.183597832,1.363191934,0.224683858,2.411150957,-0.06956982,1.584010088,-0.1561195,1.523133959,0.18782209,-0.28449686,0.276789206,0.88468758,0.26683024,1.143211693,2.535089039,2.10359385,0.054286511,0.907139617,0.096355915,0.978101682,0.320816311,1.508292168,0.086070494,1.323663984,-0.028182063,1.298347214,1.400665507,-0.342008014,0.172362327,1.402302402,0.123169708,1.321522416,1.507584201,-0.077514986,-0.010464573,1.058618255,-0.086125897,1.177906382,-0.414647748,0.782576517,0.495361408,1.463165487,0.501377091,1.650860824
0.09009009,0.098569017,1.192189546,0.631752747,-0.888556286,0.299780872,0.954415885,0.330919982,1.237895386,-1.437977752,0.860099455,0.041102971,1.02728163,0.017756908,1.06813412,0.169382378,1.289315988,0.192656418,1.229445467,0.093138262,1.371650097,-1.478557831,0.404542339,0.085101096,1.042467593,0.082371751,1.183590478,1.664234343,2.00640124,0.186083144,1.616708344,0.218343759,1.528971106,1.347371906,-0.320578128,0.1309657,1.060937227,0.060266045,1.19244412,2.034752107,1.56830672,0.239563594,0.921162626,0.169519747,1.034965031,0.083692795,-0.175534971,0.144181286,0.954962089,0.232415965,1.046525406,0.771596348,1.358636212,0.106194006,1.145656013,0.054790838,1.176284448,0.454746525,0.746233511,0.255885293,1.291429625,0.203087061,1.31485099,0.664799397,0.95368247,-0.146826483,1.20363452,-0.12806304,1.320833501,1.149268405,1.939638703,0.306338279,0.844566822,0.221111168,1.081555262,0.526912683,0.553209904,0.155441374,1.325355755,-0.003480872,1.385850522,0.453995294,1.724168385,0.564961821,1.229642274,0.576774389,1.303593365,-0.791640605,1.54554531,0.147865106,1.255112032,0.064541599,1.297196355,-0.446033825,-0.695777774,0.064489375,0.771019454,0.081351279,1.129372432,0.157944553,1.31922734,0.311799041,1.261905071,0.187416706,1.336724188,-1.668109921,2.773703345,-0.073868591,1.128364954,-0.073207288,1.046792972,1.178527979,-0.559601917,0.012126181,1.024737206,0.058260737,1.097873227,0.284138302,1.892261222,0.099895378,1.220122216,0.049852913,1.439597884,2.401237063,1.84054032,0.216922167,1.134851117,0.177661818,1.024984466,-0.176200787,1.533621466,0.12936068,1.428723544,0.038378558,1.43596735,-1.667657827,2.155834885,0.317134617,1.188411518,0.195357563,1.390400855,0.50530992,1.712122017,-0.05591944,1.604277377,-0.139580036,1.54009673,-0.175083304,2.146565908,0.289888025,0.93132741,0.267512038,1.188378892,0.300094706,2.308009219,0.071626948,0.944170938,0.101161218,1.005821071,0.021925145,1.702456381,0.099433286,1.342197533,-0.015355758,1.319779096,0.578521024,3.306971768,0.190765848,1.419807596,0.145245924,1.373445444,-0.316236356,0.246696333,0.007159077,1.088084683,-0.073241404,1.200099822,2.345059114,1.975468911,0.50546126,1.49875834,0.510267218,1.690917048
