time,actual-u1,actual-u2,S1-noise-u1,S1-noise-u2,S1-gp-u1,S1-gp-u2,S1-proj-u1,S1-proj-u2,S2-noise-u1,S2-noise-u2,S2-gp-u1,S2-gp-u2,S2-proj-u1,S2-proj-u2,S3-noise-u1,S3-noise-u2,S3-gp-u1,S3-gp-u2,S3-proj-u1,S3-proj-u2,S4-noise-u1,S4-noise-u2,S4-gp-u1,S4-gp-u2,S4-proj-u1,S4-proj-u2,S5-noise-u1,S5-noise-u2,S5-gp-u1,S5-gp-u2,S5-proj-u1,S5-proj-u2,S6-noise-u1,S6-noise-u2,S6-gp-u1,S6-gp-u2,S6-proj-u1,S6-proj-u2,S7-noise-u1,S7-noise-u2,S7-gp-u1,S7-gp-u2,S7-proj-u1,S7-proj-u2,S8-noise-u1,S8-noise-u2,S8-gp-u1,S8-gp-u2,S8-proj-u1,S8-proj-u2,S9-noise-u1,S9-noise-u2,S9-gp-u1,S9-gp-u2,S9-proj-u1,S9-proj-u2,S10-noise-u1,S10-noise-u2,S10-gp-u1,S10-gp-u2,S10-proj-u1,S10-proj-u2,S11-noise-u1,S11-noise-u2,S11-gp-u1,S11-gp-u2,S11-proj-u1,S11-proj-u2,S12-noise-u1,S12-noise-u2,S12-gp-u1,S12-gp-u2,S12-proj-u1,S12-proj-u2,S13-noise-u1,S13-noise-u2,S13-gp-u1,S13-gp-u2,S13-proj-u1,S13-proj-u2,S14-noise-u1,S14-noise-u2,S14-gp-u1,S14-gp-u2,S14-proj-u1,S14-proj-u2,S15-noise-u1,S15-noise-u2,S15-gp-u1,S15-gp-u2,S15-proj-u1,S15-proj-u2,S16-noise-u1,S16-noise-u2,S16-gp-u1,S16-gp-u2,S16-proj-u1,S16-proj-u2,S17-noise-u1,S17-noise-u2,S17-gp-u1,S17-gp-u2,S17-proj-u1,S17-proj-u2,S18-noise-u1,S18-noise-u2,S18-gp-u1,S18-gp-u2,S18-proj-u1,S18-proj-u2,S19-noise-u1,S19-noise-u2,S19-gp-u1,S19-gp-u2,S19-proj-u1,S19-proj-u2,S20-noise-u1,S20-noise-u2,S20-gp-u1,S20-gp-u2,S20-proj-u1,S20-proj-u2,S21-noise-u1,S21-noise-u2,S21-gp-u1,S21-gp-u2,S21-proj-u1,S21-proj-u2,S22-noise-u1,S22-noise-u2,S22-gp-u1,S22-gp-u2,S22-proj-u1,S22-proj-u2,S23-noise-u1,S23-noise-u2,S23-gp-u1,S23-gp-u2,S23-proj-u1,S23-proj-u2,S24-noise-u1,S24-noise-u2,S24-gp-u1,S24-gp-u2,S24-proj-u1,S24-proj-u2,S25-noise-u1,S25-noise-u2,S25-gp-u1,S25-gp-u2,S25-proj-u1,S25-proj-u2,S26-noise-u1,S26-noise-u2,S26-gp-u1,S26-gp-u2,S26-proj-u1,S26-proj-u2,S27-noise-u1,S27-noise-u2,S27-gp-u1,S27-gp-u2,S27-proj-u1,S27-proj-u2,S28-noise-u1,S28-noise-u2,S28-gp-u1,S28-gp-u2,S28-proj-u1,S28-proj-u2,S29-noise-u1,S29-noise-u2,S29-gp-u1,S29-gp-u2,S29-proj-u1,S29-proj-u2,S30-noise-u1,S30-noise-u2,S30-gp-u1,S30-gp-u2,S30-proj-u1,S30-proj-u2
0,0,1,0.000832131,1.002107725,0.003900961,1.001511394,0.000503218,1.00000245,0.002694405,0.9990972,-0.001472037,0.996967429,-0.000984062,0.999629201,-0.001583693,1.005836886,-0.00109435,1.002219208,-0.000670801,1.000937089,-0.002895248,0.999218795,-0.001952108,1.000215134,-0.001121716,0.999459582,0.003433924,1.000479146,0.004500474,1.001248707,0.00077164,1.000658462,0.002882407,1.002616846,0.002253353,1.000697113,0.000843063,0.998711547,0.001199849,1.00519804,0.000188852,1.000170856,0.000427453,0.999366103,-0.001489888,1.000324006,0.0005454,1.003012623,0.000352464,1.001528785,-0.000821231,0.996707805,0.000250353,0.999543348,0.000661724,1.00000542,0.001955428,0.996918507,0.000717742,0.999202971,0.000249485,0.99983291,0.002775949,1.002777487,0.001240849,1.000808424,0.001730878,0.999525992,0.004657796,1.000960299,0.002595914,1.001160131,0.001553068,1.000282318,-0.001455652,0.999656715,-0.001434479,0.998302102,0.000100126,1.000072364,-0.000236985,1.001279017,-4.87E-05,0.997483738,0.00063503,0.999951668,0.001717714,1.003662812,0.002032583,1.002365892,0.000314995,1.000247601,-0.003219137,1.002876777,-0.000984951,1.003591336,-0.000541019,1.001120522,-0.002595314,1.000276496,-0.002382484,1.00348765,-1.99E-05,1.00026107,-0.005864086,0.996314831,-0.003762329,0.996356277,-0.002052507,0.999650801,0.005062887,1.005468015,0.001325382,1.004515717,4.48E-06,1.00091533,0.001136704,0.998042139,0.000628046,0.998749975,0.000755456,0.998131732,0.002945524,0.999789594,0.002323715,0.999422442,0.000346974,0.999790214,0.004770475,0.994146565,0.002410721,1.00015408,0.000342474,0.999645395,-0.005216202,0.999899394,-0.002106269,1.000546936,-0.000700012,1.000986591,0.000103117,0.99821045,-0.002516683,0.998749307,0.000415686,0.998953792,-0.002457337,0.999648642,-0.000589097,0.998700451,0.000182176,0.999598061,-0.00230785,1.000948019,-0.001165178,1.001690025,-0.00044409,1.000618661,0.001253803,1.001532436,0.002790856,1.004073749,0.001997522,1.000038416,0.002173985,0.999749618,0.000432538,0.997908707,-0.000713488,1.001048989,0.001505315,0.999476969,0.001869671,0.99765129,-0.000554518,0.999639279,0.003196656,1.002732725,0.002102196,1.003091127,0.000883035,1.000691612
0.01001001,0.010110712,1.020170299,0.018438337,1.022703471,0.013027942,1.021083628,0.010665817,1.020186551,0.003353733,1.018070436,0.008670435,1.018237106,0.00903796,1.019841691,0.006089814,1.020005287,0.009312394,1.021687988,0.009430865,1.020928993,0.010488761,1.020551305,0.007892655,1.020314638,0.009056195,1.01965174,0.011879625,1.023352367,0.014274044,1.021325062,0.010875095,1.020939966,0.010412534,1.018266976,0.012013579,1.020733996,0.010874352,1.018810648,0.009641179,1.011936449,0.010457608,1.020567307,0.01053598,1.019313245,0.010855026,1.025280014,0.010564549,1.022750889,0.010475384,1.021784543,0.010284512,1.018544941,0.010199765,1.020473599,0.010794358,1.020238363,0.007304108,1.021367099,0.010887364,1.020734261,0.010349695,1.020114913,0.01100167,1.019380342,0.011324596,1.02015334,0.011716027,1.01959271,0.011082075,1.02104188,0.012235437,1.0206603,0.01161355,1.02047317,0.010162927,1.016352694,0.009204108,1.019711307,0.010198154,1.020198575,0.00807601,1.015018438,0.010144966,1.017803651,0.010692073,1.019981605,0.009139773,1.021341482,0.012032968,1.021334585,0.01036819,1.0203397,0.011716495,1.023946682,0.009304707,1.023260344,0.00966883,1.021362891,0.008377759,1.022199918,0.008206051,1.023319042,0.010085718,1.020466912,0.00611736,1.014325515,0.006457302,1.018233936,0.008101278,1.019779641,0.005932725,1.020932957,0.010981886,1.022964219,0.009988051,1.020995649,0.010639602,1.022713427,0.010437203,1.019835442,0.010818292,1.018588369,0.009651354,1.020027351,0.012069751,1.020056898,0.010423395,1.019935672,0.012986627,1.029739301,0.012123281,1.021197699,0.010455194,1.020226337,0.008972113,1.019811921,0.008778852,1.020918413,0.009487089,1.021077646,0.007377986,1.020004413,0.007775507,1.019374272,0.010469637,1.019176778,0.009141757,1.019701953,0.009825803,1.019676067,0.010293549,1.019821508,0.009640293,1.021070199,0.008921522,1.021497562,0.00971327,1.020747051,0.011667495,1.026485271,0.012700349,1.023146503,0.012048717,1.020322093,0.011019206,1.017518864,0.010349892,1.019041097,0.009405886,1.0211139,0.008587316,1.014348752,0.01163641,1.018286953,0.009574801,1.019698417,0.012436044,1.028244985,0.01173679,1.022107472,0.010945066,1.020968207
0.02002002,0.020424832,1.040640888,0.024118725,1.040294013,0.022510344,1.041120355,0.020961751,1.040584311,0.018194033,1.036186614,0.019034027,1.039592127,0.01937385,1.040330171,0.023655062,1.037813751,0.019882652,1.041686443,0.019908217,1.041302585,0.018939453,1.043228389,0.018021695,1.040660695,0.019362299,1.040166713,0.022740353,1.043426741,0.024200995,1.041737035,0.021211535,1.041393779,0.024013181,1.041961033,0.022001281,1.041076594,0.021148178,1.039446911,0.020287995,1.042631587,0.020919486,1.041146765,0.020878907,1.040037222,0.023060014,1.045924118,0.020811551,1.04287741,0.020801383,1.042215369,0.022741936,1.04461846,0.020394621,1.041489559,0.021146224,1.040887277,0.023379167,1.044418544,0.021236809,1.042164036,0.020693969,1.040656203,0.017983879,1.035374946,0.021631154,1.039938087,0.021884241,1.039925215,0.024355407,1.040293132,0.022144054,1.040606939,0.0218874,1.0409342,0.020462483,1.042172916,0.019954865,1.041069725,0.02049572,1.040804531,0.019814336,1.038712366,0.020533006,1.038463048,0.020975521,1.040526797,0.02622251,1.038593506,0.022226061,1.040894683,0.020763172,1.040700717,0.021854695,1.043944164,0.01979673,1.043238818,0.020015122,1.041860238,0.017885515,1.045388291,0.018937392,1.043358482,0.020372524,1.041004687,0.019484197,1.041957303,0.016919711,1.039927903,0.018471453,1.040420917,0.019282466,1.044139504,0.020891306,1.042142984,0.02035568,1.04156268,0.018379856,1.042725744,0.020519937,1.040935907,0.021074849,1.039120278,0.026783768,1.041584274,0.022046579,1.040815283,0.020704179,1.040396418,0.018754218,1.041585556,0.022077041,1.042147918,0.020765677,1.040515271,0.021185695,1.041212015,0.019740032,1.041440074,0.019859174,1.041500004,0.018111562,1.03797495,0.018309297,1.040135056,0.020780727,1.039597547,0.022472654,1.037476868,0.020397309,1.040754434,0.020610156,1.040267741,0.022968583,1.042690744,0.019260095,1.041603059,0.020073574,1.04119853,0.025304262,1.042706696,0.022844362,1.042696526,0.02230691,1.040679592,0.02050122,1.041140955,0.020539038,1.040294662,0.019732837,1.041605458,0.022351947,1.039360126,0.021640437,1.039173235,0.019931097,1.040329807,0.023847165,1.041118501,0.021665673,1.041708935,0.021236635,1.041219009
0.03003003,0.030945362,1.061410939,0.029151006,1.059965108,0.032337437,1.061592652,0.031458244,1.061327503,0.030004823,1.061513539,0.029618251,1.061060245,0.029892691,1.061257576,0.034203174,1.064181999,0.030620512,1.062177101,0.030460068,1.06220448,0.027674955,1.062014722,0.028428961,1.061270611,0.029875683,1.060907878,0.033558242,1.061894628,0.034296929,1.062476533,0.03174936,1.062061106,0.02847136,1.061208462,0.032220433,1.061725095,0.031571497,1.060239229,0.02911991,1.062976958,0.031575981,1.061930633,0.03139778,1.060852567,0.028345801,1.061283373,0.031287006,1.063381763,0.031316668,1.062786907,0.028893535,1.064938262,0.030834749,1.062623925,0.031628027,1.061674495,0.031389572,1.062592113,0.031772521,1.063545738,0.0312134,1.061350845,0.03259147,1.059071164,0.03215939,1.060158625,0.032358614,1.060783148,0.03064549,1.065887214,0.032318846,1.06098524,0.032358223,1.061849391,0.029040633,1.063107961,0.030829081,1.062433628,0.030995069,1.061610023,0.027673168,1.054935106,0.031118948,1.059452969,0.031437115,1.061196046,0.030296877,1.059192364,0.032616554,1.061012784,0.031168601,1.061451376,0.028566971,1.06209832,0.030490808,1.063539258,0.030517837,1.062589021,0.03210773,1.0699536,0.029818942,1.06363837,0.030935652,1.06187725,0.030070755,1.063369755,0.027620104,1.061513099,0.029021381,1.061220346,0.032324181,1.063172188,0.03105607,1.061997014,0.030922296,1.062314214,0.032171032,1.05751844,0.030870617,1.062090341,0.031574618,1.05968128,0.030755207,1.05957402,0.032255658,1.061725907,0.031191098,1.061098763,0.029382568,1.061466833,0.032275151,1.063083001,0.031292336,1.061290206,0.026711207,1.061497742,0.030791849,1.062146447,0.030382117,1.062185415,0.027314702,1.062264505,0.029080096,1.061059135,0.031270677,1.060470419,0.032608992,1.062186035,0.031132059,1.061960915,0.031129151,1.06119722,0.03295087,1.062652725,0.029843506,1.062017866,0.030636405,1.061908581,0.036098622,1.066184888,0.033221792,1.062707147,0.032769027,1.061508125,0.030223428,1.057356727,0.030990792,1.061684358,0.030266349,1.062222096,0.031733162,1.059721192,0.031883318,1.06031619,0.030476692,1.061125398,0.030962098,1.058446939,0.031882435,1.061850853,0.031671793,1.061863791
0.04004004,0.041675295,1.082479013,0.042819523,1.080237305,0.042498873,1.082472461,0.042211868,1.082375851,0.043715691,1.078941373,0.040422814,1.082667709,0.040635886,1.082315455,0.039192994,1.080841532,0.041530328,1.083122427,0.041115293,1.083130956,0.03761805,1.077727456,0.039108679,1.082159418,0.040610424,1.081882529,0.051108954,1.081966264,0.044576754,1.083534953,0.042581313,1.083070222,0.044666609,1.080620401,0.042674709,1.082679147,0.042278979,1.081321672,0.041988058,1.083466557,0.042428837,1.082938182,0.042187821,1.081960835,0.042929339,1.083858152,0.04199148,1.084252178,0.042060379,1.083845549,0.041292343,1.086554952,0.041519867,1.083906336,0.042391511,1.082789739,0.045165582,1.084273229,0.042500788,1.084930792,0.041962519,1.082429831,0.041990981,1.083651351,0.042908362,1.080807905,0.042974109,1.08196232,0.042582118,1.077763798,0.042757158,1.081779789,0.043046234,1.082708341,0.041239761,1.084997127,0.041837956,1.083855995,0.041716598,1.082727686,0.046888139,1.080989432,0.041906288,1.08076417,0.042187908,1.082375501,0.045575464,1.084294666,0.043209107,1.081653683,0.04194792,1.082635405,0.039745487,1.085215391,0.041386982,1.084171259,0.041285715,1.083760672,0.038158776,1.084854264,0.040858091,1.084186577,0.041584546,1.082769187,0.038605867,1.081399885,0.038554158,1.083060127,0.0397585,1.082233925,0.041627382,1.082779471,0.041478354,1.082471295,0.041638661,1.08336578,0.039904077,1.0826252,0.041484007,1.083336548,0.042244859,1.081008831,0.038274001,1.084377459,0.042698589,1.082815454,0.041888163,1.082200266,0.042365642,1.082521958,0.042720407,1.084074934,0.042033307,1.082382619,0.044844615,1.086699074,0.041948519,1.083068349,0.041211261,1.083300245,0.0400342,1.083407027,0.040083694,1.08217188,0.042026288,1.081558742,0.037635668,1.084395243,0.042036677,1.083319545,0.041851662,1.082355411,0.035665987,1.084642592,0.040665559,1.082750707,0.04140198,1.082955709,0.040630478,1.077589659,0.043831732,1.083160463,0.043434032,1.082322355,0.038597817,1.082395193,0.041696754,1.083224719,0.040995719,1.083329683,0.044582701,1.085863379,0.042366513,1.081720404,0.041244171,1.082375093,0.036943151,1.074030032,0.042380832,1.082489899,0.042296163,1.082751246
0.05005005,0.052617601,1.103843005,0.056600129,1.101887786,0.052984745,1.103733,0.053177022,1.103743374,0.049959458,1.106184172,0.051447619,1.104438758,0.051533134,1.103864891,0.053444233,1.104800318,0.052616695,1.104485483,0.05214609,1.104547959,0.049334444,1.10671191,0.050055395,1.103339642,0.05158095,1.103393185,0.055965451,1.102072156,0.055054606,1.104903316,0.05345215,1.104359158,0.048392978,1.103716304,0.053367474,1.103937782,0.053120371,1.102805729,0.055256095,1.101450935,0.053480035,1.104186268,0.053191071,1.103301616,0.059115055,1.104789866,0.05292552,1.105475795,0.053019198,1.105141492,0.051206272,1.107571427,0.0524496,1.105363139,0.05333509,1.104176438,0.056064686,1.10896209,0.0534277,1.10636782,0.052912936,1.1038819,0.057585496,1.105191137,0.053877331,1.101876105,0.053884513,1.103335685,0.051317698,1.103599167,0.053456612,1.102974685,0.05394144,1.104200358,0.047508353,1.108201494,0.052992533,1.105385596,0.052631275,1.104165726,0.056202653,1.102861021,0.052898477,1.102387153,0.053081685,1.1037513,0.05308816,1.100926978,0.054008323,1.102781106,0.052822114,1.103843049,0.052962181,1.103884217,0.05248564,1.10514147,0.052289325,1.105078185,0.051166097,1.102155502,0.052062172,1.105026243,0.052542938,1.104006542,0.05294859,1.107631861,0.049718042,1.104634313,0.050763074,1.103722602,0.050737359,1.10744133,0.052160066,1.103511602,0.052561792,1.104834756,0.053499055,1.101704829,0.052355296,1.104710452,0.053165532,1.102337141,0.054366548,1.102969744,0.053377091,1.104108497,0.052798651,1.103502095,0.053233728,1.106372076,0.053415242,1.105188464,0.052981076,1.103834298,0.053875246,1.104933638,0.053223829,1.104232513,0.052178348,1.104507388,0.048167272,1.105316459,0.051316289,1.103496168,0.052916367,1.102956566,0.052848736,1.107321959,0.053117736,1.104852625,0.052800391,1.10382458,0.049502487,1.098145593,0.051720907,1.103807626,0.05238526,1.104117278,0.055494281,1.105437994,0.054673483,1.104037676,0.05432128,1.103835629,0.05070357,1.108689017,0.052649365,1.1049296,0.051970603,1.104763443,0.055652891,1.103039749,0.053091378,1.103388943,0.052216048,1.103661928,0.052542051,1.103619347,0.053154841,1.103584651,0.053259439,1.104280535
0.06006006,0.063775232,1.125500091,0.06165164,1.129769822,0.063785643,1.125349067,0.064307487,1.125561045,0.059759354,1.130698656,0.062692773,1.126395173,0.062675524,1.125656558,0.063036845,1.125488742,0.063884408,1.126230519,0.063302676,1.126159984,0.062212055,1.12278251,0.061264005,1.124821104,0.062781067,1.124957908,0.067946118,1.121945437,0.065743769,1.126572381,0.064628068,1.125917702,0.068558018,1.129286938,0.064301787,1.125499308,0.064283944,1.124654758,0.064275259,1.125281593,0.064731783,1.125689101,0.064334941,1.125045662,0.061603806,1.130561773,0.064089662,1.127038911,0.064162566,1.126863118,0.065628313,1.12600373,0.063623507,1.127017206,0.064544193,1.125771403,0.059780242,1.132612596,0.064559121,1.127901955,0.064051734,1.12560021,0.066546152,1.12703436,0.065065775,1.123350882,0.064920996,1.125000696,0.063610808,1.12339289,0.064415098,1.12455365,0.065057699,1.125829122,0.068148174,1.122978783,0.064303627,1.127066212,0.06380949,1.125713156,0.069104474,1.125580928,0.064098909,1.124312196,0.064215888,1.125433836,0.068145889,1.125701049,0.065018733,1.124358401,0.064020085,1.125584013,0.065130547,1.123502026,0.063787516,1.126453603,0.063489064,1.126700245,0.065162769,1.132182801,0.06343842,1.126175682,0.063730525,1.125884148,0.057080914,1.128028287,0.06110844,1.126294888,0.061883202,1.125371944,0.065856323,1.119371314,0.063102839,1.125065208,0.063783428,1.126261839,0.067457762,1.12639478,0.063480125,1.126245446,0.06430429,1.124204709,0.066745274,1.124747153,0.06429299,1.125627054,0.063924724,1.125136136,0.06581732,1.125031123,0.064361736,1.126480348,0.064147544,1.125439981,0.067008426,1.132669853,0.064631081,1.1256613,0.063390495,1.126267359,0.061330559,1.124467466,0.062774505,1.125052047,0.064100814,1.124570329,0.070296771,1.127090845,0.06438172,1.126580363,0.063967374,1.125483153,0.061203882,1.128631081,0.063005066,1.125191982,0.063580793,1.125909366,0.068338703,1.123688719,0.065746556,1.125319406,0.065422817,1.125394816,0.063946497,1.124488704,0.063841939,1.126811925,0.063168901,1.126244705,0.065709185,1.124386707,0.06405917,1.125323322,0.063397048,1.125344754,0.06508078,1.128428253,0.06419871,1.125096068,0.064398733,1.1259836
0.07007007,0.075151102,1.147446662,0.071771527,1.148492891,0.074892699,1.147297276,0.075684533,1.147439552,0.074824325,1.146420056,0.074158587,1.148555892,0.074076704,1.14754971,0.068950611,1.147974167,0.075338435,1.148323477,0.07460501,1.148108369,0.074593493,1.146212088,0.072729786,1.146610769,0.074187099,1.146938099,0.078452395,1.149876414,0.076656616,1.148532729,0.076000205,1.148099754,0.077090717,1.146706639,0.075480402,1.14736121,0.075592498,1.146526926,0.077442942,1.151302679,0.076186498,1.147458058,0.075762831,1.147121634,0.075041699,1.147233203,0.075484441,1.148927209,0.075547281,1.148616343,0.072756884,1.149200796,0.075041095,1.148887826,0.075880828,1.147779358,0.072047086,1.146375388,0.075900656,1.149574232,0.075438772,1.147322789,0.072586602,1.14333557,0.0764734,1.145217654,0.076133916,1.146773958,0.07199781,1.144293131,0.075630781,1.146500093,0.076386264,1.147765341,0.071727269,1.150196969,0.075781759,1.148935991,0.07514836,1.147794099,0.076617298,1.144498008,0.075510913,1.146529349,0.075529184,1.147313067,0.074503905,1.147616105,0.07624478,1.146349191,0.075306313,1.14752161,0.078085504,1.15313308,0.075293683,1.148108468,0.074915579,1.148915285,0.07765172,1.141815709,0.074993936,1.14764836,0.075110378,1.147469007,0.071194715,1.149063086,0.072722558,1.14809435,0.073316149,1.14731955,0.074817948,1.14220087,0.07430802,1.147081498,0.075125647,1.148232849,0.074983771,1.153067969,0.074854605,1.147971801,0.075623017,1.14645402,0.077702434,1.146542752,0.075448193,1.147390198,0.075269632,1.147055867,0.075276387,1.150061907,0.075561615,1.14799881,0.07552378,1.147487269,0.072636204,1.146037107,0.076183043,1.147372508,0.074758064,1.14790994,0.07388092,1.146421998,0.074455409,1.146856456,0.075489578,1.146532742,0.076874262,1.147967337,0.075835,1.148520551,0.075337883,1.147449102,0.07448306,1.151111244,0.074514414,1.14690447,0.074995012,1.147829249,0.076100688,1.150240463,0.077050679,1.14698597,0.076738416,1.147447227,0.076760091,1.150463158,0.075268697,1.148883447,0.074579553,1.148234368,0.075695605,1.151017806,0.075271052,1.147523478,0.074795284,1.147461354,0.073798659,1.147973206,0.075507004,1.146987844,0.075703508,1.14783897
0.08008008,0.086748088,1.169678267,0.088863079,1.168282549,0.086297628,1.169556174,0.087320107,1.169614739,0.086356858,1.173565282,0.085845572,1.170936682,0.085670852,1.169950697,0.083372816,1.171733796,0.086983876,1.170732413,0.086279346,1.170374124,0.080921549,1.166077705,0.084448419,1.16871264,0.085720771,1.169136193,0.087592688,1.17489412,0.08780455,1.17077483,0.087574601,1.170445811,0.090175205,1.171580702,0.086905769,1.169520033,0.087151554,1.168903753,0.09080644,1.175784475,0.087846792,1.169501555,0.087412699,1.169447419,0.087516689,1.16897059,0.087110409,1.17112595,0.087148961,1.170779618,0.089309942,1.169171749,0.086701847,1.170990645,0.087548242,1.169973259,0.08468952,1.168148583,0.087457628,1.17142109,0.087045654,1.169534802,0.089093173,1.163635382,0.088100147,1.167459883,0.087703441,1.168938296,0.088476994,1.166567547,0.087102086,1.168797165,0.087947734,1.170010557,0.092797929,1.165825313,0.087437097,1.171026966,0.086767615,1.169916633,0.084515612,1.17353969,0.087137738,1.169028418,0.087066572,1.169707075,0.083341324,1.17123761,0.087690797,1.168717951,0.086848385,1.169795938,0.083869197,1.168879886,0.087005541,1.170104048,0.086464391,1.170980801,0.085808561,1.165200927,0.086735652,1.169452969,0.086640966,1.169703106,0.084278733,1.166238362,0.084558132,1.170077976,0.084956964,1.169451429,0.085660889,1.165585754,0.085776669,1.169512464,0.086713717,1.170497883,0.08255155,1.164939312,0.086475331,1.169916155,0.087161732,1.168277352,0.087945418,1.170267419,0.086844667,1.169413735,0.086836453,1.169287242,0.084287164,1.171092169,0.087016272,1.169783207,0.087119564,1.169716649,0.093769272,1.161429266,0.087891905,1.16937926,0.086461341,1.169867323,0.085417028,1.168036694,0.086356521,1.168923006,0.08707954,1.168763764,0.089961041,1.166640846,0.087483796,1.170688292,0.086937261,1.169627268,0.091096075,1.165781977,0.086246171,1.168943171,0.08663014,1.169860097,0.086796218,1.168643288,0.088585797,1.169017612,0.088278616,1.169578211,0.0842617,1.175985448,0.086924782,1.171154529,0.086165058,1.170500705,0.088435962,1.168686904,0.086728095,1.16998776,0.086423419,1.169605251,0.089612071,1.171115491,0.087074646,1.169226659,0.087321119,1.170059945
0.09009009,0.098569017,1.192189546,0.093487999,1.192237835,0.097992757,1.192106284,0.099106627,1.192167577,0.100191704,1.192110726,0.097754443,1.193549894,0.097507108,1.192450784,0.107765531,1.195612041,0.098825928,1.193427821,0.098355435,1.192907141,0.094980957,1.190085824,0.09641601,1.191127688,0.09758865,1.191687008,0.096202741,1.195616337,0.099197969,1.193289069,0.099362415,1.192884109,0.097302259,1.190609394,0.098580045,1.191971262,0.098897338,1.191371981,0.100871868,1.192006095,0.099715451,1.191824956,0.099226205,1.191874819,0.099660659,1.193076417,0.098968137,1.193620148,0.098972939,1.193280961,0.097376238,1.192295003,0.098605237,1.193337664,0.099334538,1.192524402,0.100064311,1.194996644,0.099235052,1.193473969,0.098886384,1.192160148,0.10355794,1.190290789,0.099946195,1.190059368,0.099469198,1.19156594,0.102531449,1.190786543,0.098827696,1.191427776,0.099730003,1.192572703,0.10074592,1.191657724,0.099279402,1.193364728,0.098566212,1.192513593,0.098363605,1.191712899,0.098982549,1.191798934,0.098869986,1.192133214,0.09628874,1.19369854,0.099360995,1.191430506,0.098673295,1.192308867,0.097503113,1.195829003,0.098924804,1.192435598,0.098337042,1.193663022,0.099688689,1.193950387,0.098670295,1.191593565,0.098480132,1.192366645,0.09432113,1.200062569,0.096613427,1.192283512,0.096792099,1.192237974,0.101080473,1.196441649,0.097509555,1.192313094,0.098592852,1.193227998,0.097497049,1.194677444,0.098339388,1.192101095,0.098970694,1.191205052,0.099433167,1.192709967,0.098484424,1.191709943,0.098628186,1.191777684,0.10146289,1.194167281,0.098726769,1.191863911,0.098958557,1.192266803,0.102960974,1.189341186,0.099769244,1.191689989,0.098290806,1.192438457,0.099745699,1.194305177,0.098475816,1.191261811,0.098937363,1.191385733,0.098321784,1.196521818,0.099334157,1.193095778,0.098754953,1.192393533,0.095988661,1.191147245,0.098198385,1.191303628,0.098478682,1.192378776,0.10170632,1.191114975,0.10035207,1.191394692,0.10004684,1.192079364,0.103500239,1.194071257,0.098806261,1.193633937,0.098074965,1.192869618,0.099308386,1.192343096,0.098431285,1.192712927,0.098266178,1.19218296,0.097745114,1.191361341,0.098896959,1.191782309,0.099057835,1.192479703
